# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi) -> 2e + H2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.66203E+00    6.73640E+01   1.61230E+02   2.13220E-09   9.62780E+01   2.44340E+02   2.04860E-10   1.15680E-01
   1  3.64330E+00    5.34760E+01   1.33030E+02   4.30820E-08   3.82480E-04   8.20370E+01   8.32650E-08   7.94670E-01
   2  3.36810E+00    7.33770E+01   7.69010E+01   4.89420E-05   3.48250E-03   8.59760E+01   2.72830E-01   1.06670E+00
   3  3.36370E+00    7.03210E+01   7.93880E+01   5.04760E+01   3.79830E-04   3.19570E-06   6.67230E+01   9.52410E-01
   4  3.35860E+00    4.09890E+01   8.77860E+01   2.74800E+02   3.11420E-07   2.36380E-07   1.49730E+02   2.91930E-01
   5  3.35260E+00    4.58530E+01   7.35880E+01   3.02430E+02   4.25600E-06   5.45240E-05   1.25910E+02   3.11320E-01
   6  3.34620E+00    4.95070E+01   6.13020E+01   3.18930E+02   5.99740E-04   2.67000E-04   1.19380E+02   3.19330E-01
   7  3.33960E+00    5.60800E+01   4.85950E+01   3.15260E+02   2.88900E-04   1.13710E-07   7.33090E+01   3.76100E-01
   8  3.33320E+00    7.99700E+01   8.68190E+01   6.64570E-07   1.22950E+02   1.59350E-04   8.72320E-08   9.09100E-01
   9  3.32700E+00    6.91940E+01   1.04830E+02   4.78940E-08   1.39060E+02   3.78080E-08   2.33850E-11   8.56790E-01
  10  3.32180E+00    5.46290E+01   1.27820E+02   4.55750E-07   1.61670E+02   3.42300E-03   4.27920E-06   7.93850E-01
  11  3.31800E+00    4.87340E+01   1.35810E+02   1.97730E-08   1.57190E+02   8.57610E-03   4.59440E-08   8.26310E-01
  12  3.31620E+00    5.00420E+01   1.30110E+02   1.38070E-08   1.38910E+02   5.47500E-06   5.41490E-08   9.20980E-01
  13  3.31730E+00    5.22290E+01   1.18060E+02   1.45630E-07   1.25930E+02   1.04270E-03   1.58200E-06   1.04310E+00
  14  3.32240E+00    5.47210E+01   9.71310E+01   1.26940E-07   1.15480E+02   1.35480E-07   1.60740E-07   1.22460E+00
  15  3.33250E+00    5.87880E+01   6.43560E+01   4.41750E-04   1.03440E+02   4.28120E-08   1.69660E-05   1.48510E+00
  16  3.28030E+00    6.33420E+01   7.34690E+00   1.71190E+00   1.23730E+02   4.95030E-07   3.75800E-08   2.45890E+00
