# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=9) -> e + D2(C1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  9  9.50260E+00   -2.68300E-06   1.63600E-04  -1.67460E-03   6.15690E-03  -9.52970E-03   5.23730E-03
   1 <-  9  9.70865E+00   -1.83390E-05   1.98110E-02  -1.07600E-01   2.54850E-01  -2.73450E-01   1.09100E-01
   2 <-  9  9.90627E+00    2.74230E-01   4.62270E-01  -2.76210E+00   6.77910E+00  -7.35120E+00   2.96460E+00
   3 <-  9  1.00956E+01    9.63120E-01   2.96840E+00  -1.85630E+01   4.55270E+01  -4.87210E+01   1.94960E+01
   4 <-  9  1.02768E+01    1.33840E+00   2.97270E+00  -2.06180E+01   5.13900E+01  -5.40790E+01   2.12230E+01
   5 <-  9  1.04499E+01    6.10610E-07   9.41020E-05  -5.46720E-04   2.43760E-03  -5.55070E-03   4.26880E-03
   6 <-  9  1.06150E+01    7.73720E-01   1.35980E+00  -8.65760E+00   2.10250E+01  -2.19680E+01   8.53690E+00
   7 <-  9  1.07721E+01    4.90190E-01   2.78020E-01  -2.00860E+00   4.90000E+00  -4.92280E+00   1.81570E+00
   8 <-  9  1.09211E+01    6.54960E-02   1.17410E-01  -6.20830E-01   1.44040E+00  -1.52780E+00   6.08910E-01
   9 <-  9  1.10620E+01    4.62640E-01   5.22520E-01  -3.17660E+00   7.48610E+00  -7.61460E+00   2.87770E+00
  10 <-  9  1.11947E+01    5.14040E-01   3.21740E-01  -2.25360E+00   5.42050E+00  -5.36510E+00   1.95360E+00
  11 <-  9  1.13189E+01    3.42440E-01   5.17130E-02  -5.42290E-01   1.37840E+00  -1.31090E+00   4.47400E-01
  12 <-  9  1.14344E+01    9.59350E-02  -7.21570E-03   1.11340E-02  -7.23600E-03   1.44100E-02  -1.03600E-02
  13 <-  9  1.15407E+01    1.14010E-01   2.19650E-02  -1.33090E-01   3.03800E-01  -2.97350E-01   1.09360E-01
  14 <-  9  1.16375E+01    2.51190E-01   4.43480E-02  -3.53780E-01   8.51550E-01  -8.10030E-01   2.83580E-01
  15 <-  9  1.17240E+01    3.10010E-01   5.08660E-02  -4.61830E-01   1.13540E+00  -1.07080E+00   3.68150E-01
  16 <-  9  1.17993E+01    3.10330E-01   5.10770E-02  -4.66550E-01   1.15170E+00  -1.08990E+00   3.75100E-01
  17 <-  9  1.18623E+01    2.75280E-01   4.68370E-02  -4.02050E-01   9.87170E-01  -9.42640E-01   3.27890E-01
  18 <-  9  1.19113E+01    2.21780E-01   3.72190E-02  -2.96150E-01   7.21870E-01  -6.97890E-01   2.46740E-01
  DE <-  9  1.19367E+01    1.05750E+00   1.50250E+00  -1.14000E+01   2.80980E+01  -2.94470E+01   1.13010E+01
