   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44
           0 4.8762e+006 6.2180e+006 2.7027e+006 7.4939e+005 2.1534e+005 8.2938e+004 3.3274e+004 9.3666e+003 1.2381e+003 1.6427e+001 9.1908e+000 1.2876e+000 3.8298e+001 5.8203e+001 3.1378e+001 4.7153e+000 5.7304e-001 5.2011e+000 5.8830e+000 2.9169e+000 5.1287e-001 1.6518e-002 4.0283e-001 6.3296e-001 4.9907e-001 2.4040e-001 6.2950e-002 2.8591e-003 5.6127e-003 1.8273e-002 2.0598e-002 1.4602e-002 7.3592e-003 2.6519e-003 6.2787e-004 7.3252e-005 6.3239e-007 1.1468e-006 7.8810e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 3.8330e+004 7.8069e+005 2.4434e+006 4.7264e+006 1.7168e+006 2.1828e+005 2.9321e+004 4.0665e+004 6.2124e+004 3.9693e+004 8.2128e+003 1.6024e+001 2.2384e+003 1.9042e+003 2.9591e+002 8.1862e+001 5.3609e+002 5.7085e+002 2.5768e+002 3.1969e+001 8.4346e+000 5.8913e+001 7.5907e+001 5.1209e+001 1.9417e+001 2.5785e+000 3.1588e-001 3.4221e+000 5.3789e+000 4.8022e+000 2.9806e+000 1.3183e+000 3.7290e-001 3.8311e-002 5.3365e-003 4.4165e-002 6.1918e-002 5.1310e-002 3.0873e-002 1.4338e-002 5.2104e-003 1.4723e-003 3.2257e-004 5.7135e-005 9.2949e-006
           2 4.5994e+006 2.4079e+006 1.9120e+005 3.0957e+004 2.3372e+006 3.0507e+006 1.0842e+006 8.8178e+004 1.0609e+003 1.1398e+002 1.4124e+004 3.4857e+004 2.4591e+004 5.3711e+003 5.0642e+001 2.6907e+003 3.3060e+003 1.4352e+003 1.1315e+002 1.3065e+002 5.1972e+002 5.6827e+002 3.2545e+002 9.0512e+001 2.1959e+000 1.8108e+001 5.1805e+001 5.9554e+001 4.3514e+001 2.1799e+001 6.7963e+000 7.1044e-001 1.7815e-001 1.3502e+000 2.1263e+000 2.0693e+000 1.5224e+000 9.0769e-001 4.5034e-001 1.8696e-001 6.4432e-002 1.8108e-002 4.0635e-003 7.2754e-004 1.1482e-004
           3 3.1349e+005 3.1134e+006 2.3389e+005 9.8412e+002 3.3832e+004 1.1082e+006 2.5601e+006 2.0204e+006 7.0217e+005 9.2711e+004 1.3451e+003 9.7414e+000 5.1077e+003 1.7102e+004 1.8445e+004 8.9190e+003 1.3111e+003 1.5374e+002 1.4811e+003 1.7737e+003 9.4663e+002 1.8546e+002 4.5179e+000 1.5799e+002 2.8356e+002 2.5715e+002 1.4654e+002 4.8846e+001 4.6355e+000 2.4205e+000 1.4779e+001 2.3126e+001 2.2629e+001 1.6494e+001 9.3811e+000 4.0878e+000 1.2190e+000 1.5313e-001 9.6887e-003 1.5018e-001 2.6848e-001 2.8760e-001 2.3035e-001 1.3596e-001 4.8076e-002
           4 1.0830e+006 1.4557e+005 2.2155e+006 2.1893e+005 3.9098e+004 1.0906e+003 2.3197e+005 1.3996e+006 2.0802e+006 1.3738e+006 4.4119e+005 5.1625e+004 1.8705e+000 1.1736e+003 6.8815e+002 8.9632e+003 1.5523e+004 1.2113e+004 4.6252e+003 4.1446e+002 2.8272e+002 1.3405e+003 1.5866e+003 9.9723e+002 3.2534e+002 1.8930e+001 3.9452e+001 1.5852e+002 2.1746e+002 1.8850e+002 1.1640e+002 5.0064e+001 1.1935e+001 2.0713e-001 2.8661e+000 8.8851e+000 1.2497e+001 1.2562e+001 1.0268e+001 7.2135e+000 4.4844e+000 2.5086e+000 1.2659e+000 5.4415e-001 1.6389e-001
           5 4.9975e+004 1.0528e+006 2.2358e+004 2.3084e+006 1.7724e+004 5.9368e+004 4.6320e+003 7.6729e+004 6.6121e+005 1.5140e+006 1.5890e+006 9.1882e+005 2.9098e+005 3.7912e+004 6.4447e+001 1.2462e+003 8.2823e+000 3.6261e+003 9.5316e+003 1.0495e+004 6.4700e+003 2.0448e+003 1.0158e+002 2.6516e+002 9.3327e+002 1.1279e+003 8.1532e+002 3.7040e+002 8.0173e+001 1.7652e-003 4.2899e+001 1.0553e+002 1.3261e+002 1.1871e+002 8.2985e+001 4.6065e+001 1.9459e+001 5.2868e+000 3.8280e-001 3.3558e-001 1.7418e+000 2.7742e+000 2.8284e+000 1.9468e+000 7.4144e-001
           6 4.2737e+005 3.5077e+005 4.8476e+005 2.2783e+004 2.2312e+006 3.4427e+003 5.8799e+004 1.2121e+004 2.0332e+004 2.5813e+005 8.9930e+005 1.3654e+006 1.1651e+006 6.0378e+005 1.8013e+005 2.1864e+004 9.9733e+000 1.8054e+003 2.0307e+002 1.2744e+003 5.7069e+003 8.3513e+003 6.9786e+003 3.6052e+003 9.4924e+002 1.5497e+001 2.4861e+002 7.1309e+002 8.7788e+002 7.0771e+002 4.0290e+002 1.5003e+002 2.2879e+001 1.7379e+000 3.1633e+001 6.6112e+001 8.2800e+001 7.9475e+001 6.3714e+001 4.4359e+001 2.7348e+001 1.5074e+001 7.4141e+000 3.0847e+000 9.0753e-001
           7 2.0397e+004 1.6591e+005 3.8933e+005 2.7116e+005 4.9117e+002 2.2709e+006 5.6505e+001 2.5070e+004 1.9155e+004 1.3905e+004 1.1815e+005 5.1004e+005 1.0027e+006 1.1326e+006 8.1672e+005 3.8426e+005 1.0865e+005 1.2407e+004 6.3932e+001 1.7090e+003 4.3488e+002 3.9489e+002 3.1861e+003 5.8646e+003 6.0940e+003 4.2114e+003 1.8994e+003 4.1919e+002 8.5996e-002 2.0575e+002 5.1597e+002 6.4738e+002 5.7055e+002 3.8479e+002 1.9816e+002 7.0497e+001 1.1104e+001 4.9207e-001 1.2711e+001 2.8187e+001 3.7089e+001 3.7198e+001 3.0137e+001 1.8367e+001 6.6397e+000
           8 1.0233e+005 3.9999e+005 1.0018e+004 5.6499e+005 1.1608e+005 1.6496e+004 2.5571e+006 1.0181e+003 8.2240e+003 2.6022e+004 1.3477e+004 5.9906e+004 2.8123e+005 6.7131e+005 9.4156e+005 8.6394e+005 5.4690e+005 2.3638e+005 6.2038e+004 5.9753e+003 2.3556e+002 1.7159e+003 6.4456e+002 6.7258e+001 1.6804e+003 3.9209e+003 4.8717e+003 4.1208e+003 2.5000e+003 1.0202e+003 1.9575e+002 1.3749e+000 1.4885e+002 3.5435e+002 4.6271e+002 4.4624e+002 3.4827e+002 2.2688e+002 1.2323e+002 5.3930e+001 1.7254e+001 2.9857e+000 2.1508e-002 3.2573e-001 2.8844e-001
           9 1.1294e+005 5.2758e+004 2.3733e+005 2.9606e+004 5.2052e+005 1.9361e+004 6.2972e+004 2.9370e+006 3.1979e+004 6.3352e+000 2.7884e+004 1.2011e+004 3.6415e+004 1.6514e+005 4.4520e+005 7.2670e+005 7.8993e+005 6.1279e+005 3.4448e+005 1.3473e+005 3.1481e+004 2.1497e+003 5.0048e+002 1.6434e+003 6.9661e+002 3.6914e+000 9.2815e+002 2.6041e+003 3.6735e+003 3.5799e+003 2.6296e+003 1.4576e+003 5.5504e+002 9.5668e+001 2.6806e+000 9.9690e+001 2.3089e+002 3.1102e+002 3.2043e+002 2.7717e+002 2.0987e+002 1.4176e+002 8.5003e+001 4.1886e+001 1.3588e+001
          10 1.0081e+004 4.2224e+004 1.5941e+005 1.1000e+005 1.1770e+005 4.2050e+005 1.5891e+000 1.2177e+005 3.5532e+006 1.8308e+005 2.0250e+004 3.6541e+004 9.6566e+003 2.8918e+004 1.0850e+005 3.0619e+005 5.4780e+005 6.6888e+005 5.9863e+005 4.0160e+005 2.0067e+005 7.0390e+004 1.3946e+004 4.2333e+002 7.8156e+002 1.4601e+003 6.1118e+002 8.4559e-001 5.3990e+002 1.7392e+003 2.6926e+003 2.8950e+003 2.4082e+003 1.6002e+003 8.3430e+002 3.0950e+002 5.5322e+001 6.6733e-001 4.7110e+001 1.1508e+002 1.5975e+002 1.6671e+002 1.3929e+002 8.6729e+001 3.1688e+001
          11 1.3602e+004 1.3936e+005 1.0732e+004 2.2525e+005 1.3174e+004 2.4452e+005 2.6214e+005 6.1080e+003 1.2726e+005 4.2887e+006 6.5279e+005 1.3182e+005 7.5016e+004 3.7566e+003 2.8838e+004 7.7415e+004 2.2242e+005 4.1450e+005 5.4515e+005 5.3730e+005 4.0569e+005 2.3797e+005 1.0542e+005 3.1814e+004 4.6525e+003 2.1042e-002 9.8803e+002 1.2385e+003 4.8567e+002 2.5862e+000 3.5195e+002 1.1982e+003 1.9456e+003 2.2317e+003 2.0314e+003 1.5317e+003 9.6475e+002 4.9689e+002 1.9476e+002 4.6337e+001 1.5881e+000 6.3493e+000 2.0217e+001 2.1267e+001 9.5345e+000
          12 4.1254e+004 9.0734e+004 2.1770e+004 1.1959e+005 1.3117e+005 1.6775e+004 3.1359e+005 8.7241e+004 2.6959e+003 3.9819e+004 4.6575e+006 1.6917e+006 5.2784e+005 2.2245e+005 1.7442e+003 4.1148e+004 5.5081e+004 1.7679e+005 3.2034e+005 4.3988e+005 4.5747e+005 3.7205e+005 2.4243e+005 1.2364e+005 4.6864e+004 1.1308e+004 8.2711e+002 2.5907e+002 1.1029e+003 9.4986e+002 3.0615e+002 1.6138e-002 2.7320e+002 8.7478e+002 1.4220e+003 1.6721e+003 1.5938e+003 1.2947e+003 9.1725e+002 5.7091e+002 3.1110e+002 1.4674e+002 5.8927e+001 1.9465e+001 4.8515e+000
          13 3.2605e+004 1.8323e+004 6.6699e+004 1.6174e+004 1.5419e+005 2.3569e+004 1.0722e+005 2.5649e+005 4.2763e+003 7.5281e+003 4.6023e+004 3.7802e+006 3.1011e+006 1.5528e+006 7.3838e+005 8.0460e+004 1.0286e+005 2.7157e+004 1.6646e+005 2.4894e+005 3.5962e+005 3.7508e+005 3.1942e+005 2.2022e+005 1.2174e+005 5.2869e+004 1.6115e+004 2.4451e+003 8.9699e-004 6.2900e+002 9.8334e+002 6.2367e+002 1.4301e+002 7.5326e+000 2.5383e+002 6.7306e+002 1.0354e+003 1.2068e+003 1.1706e+003 9.8825e+002 7.4393e+002 5.0469e+002 3.0548e+002 1.5199e+002 4.9591e+001
          14 1.2527e+004 1.5646e+002 6.4229e+004 2.8144e+003 8.9400e+004 8.5386e+004 6.5782e+003 1.9303e+005 1.0379e+005 2.8479e+003 4.0618e+004 7.4628e+005 1.3802e+006 3.3466e+006 2.9975e+006 2.0406e+006 5.5674e+005 3.8579e+005 8.7356e+001 2.2495e+005 1.7122e+005 3.1356e+005 2.9225e+005 2.6149e+005 1.8097e+005 1.0521e+005 4.8964e+004 1.6627e+004 3.4111e+003 1.0048e+002 3.1049e+002 7.7415e+002 6.8246e+002 3.0835e+002 3.4219e+001 3.6855e+001 2.5920e+002 5.3916e+002 7.4533e+002 8.2211e+002 7.7435e+002 6.3870e+002 4.5693e+002 2.5801e+002 9.0001e+001
          15 1.9296e+003 1.0343e+004 3.7390e+004 2.3763e+004 3.0348e+004 9.9494e+004 7.5897e+003 7.9995e+004 1.6402e+005 5.4682e+003 8.7359e+002 1.0266e-001 1.8571e+006 1.7275e+004 1.1144e+006 2.7388e+006 3.4225e+006 1.7891e+006 1.3485e+006 1.5942e+005 5.1134e+005 5.2105e+004 3.4342e+005 1.8737e+005 2.1790e+005 1.2906e+005 8.2380e+004 3.6981e+004 1.3676e+004 2.9889e+003 1.4668e+002 1.6888e+002 5.7780e+002 5.9662e+002 3.4043e+002 8.7976e+001 1.7985e-001 8.4255e+001 2.5215e+002 4.0784e+002 4.9145e+002 4.8414e+002 3.9504e+002 2.4388e+002 8.8904e+001
          16 1.4549e+001 1.8898e+004 1.5648e+004 3.5667e+004 5.0162e+003 7.7150e+004 2.9646e+004 2.0108e+004 1.3416e+005 4.0809e+004 1.4505e+003 2.0366e+004 4.0869e+005 9.8455e+005 1.3398e+006 1.6595e+005 2.6079e+005 1.9352e+006 2.1612e+006 2.6649e+006 8.6925e+005 1.3952e+006 2.8165e+004 6.0521e+005 4.3742e+004 2.3862e+005 5.9450e+004 6.8813e+004 1.9887e+004 9.9972e+003 1.5761e+003 9.2736e+001 1.5557e+002 4.3806e+002 4.6247e+002 2.8867e+002 9.1873e+001 3.0356e+000 2.8299e+001 1.1854e+002 2.1046e+002 2.5821e+002 2.4265e+002 1.6361e+002 6.2164e+001
          17 8.9034e+002 1.9188e+004 4.8830e+003 3.3373e+004 1.1430e+001 4.8206e+004 3.8685e+004 2.0305e+003 8.2233e+004 6.3586e+004 7.9046e+001 6.0684e+003 2.9415e+004 1.0770e+006 8.9887e+004 4.6754e+005 1.2132e+006 9.0414e+005 1.1266e+004 1.7693e+005 1.4331e+006 9.2560e+005 2.2019e+006 4.0614e+005 1.2863e+006 4.5180e+004 4.5462e+005 4.5910e+001 1.0430e+005 7.0063e+002 1.2787e+004 2.1955e+000 1.8926e+002 3.2179e+002 2.8246e+002 3.2982e+002 2.0314e+002 5.7101e+001 4.0904e+000 1.3441e+001 6.1508e+001 1.0346e+002 1.1631e+002 8.7140e+001 3.4684e+001
          18 1.4374e+003 1.4049e+004 1.0870e+003 2.3366e+004 8.8122e+002 2.5418e+004 3.2357e+004 5.6716e+001 4.1731e+004 5.5825e+004 9.2281e+002 4.2854e+002 2.2311e+001 5.4337e+005 5.3705e+004 6.8114e+005 4.1682e+005 2.6864e+003 5.0801e+005 7.1311e+005 8.1753e+005 3.7899e+004 2.2690e+004 5.4843e+005 1.5886e+005 1.1326e+006 2.4349e+005 7.5385e+005 1.3446e+005 2.6537e+005 4.6513e+004 5.1760e+004 1.1717e+004 3.8550e+003 1.9719e+003 3.8216e+001 9.5061e+001 3.9293e+002 4.5853e+001 1.3389e+002 1.3328e+002 6.1980e-001 6.3516e+001 5.0750e+001 1.7577e+001
          19 9.2964e+002 6.5925e+003 1.6317e+002 1.0710e+004 1.0426e+003 9.7797e+003 1.6283e+004 4.7876e+002 1.5551e+004 2.8280e+004 1.5446e+003 2.5035e-001 1.3554e+003 1.8005e+005 9.8793e+004 3.0718e+005 5.4694e+004 5.8110e+004 3.9833e+005 2.4087e+005 9.3628e+004 6.8700e+004 7.4147e+004 5.1382e+005 8.3956e+004 2.8596e+005 8.8349e+002 1.4902e+004 8.3448e+004 2.9515e+004 1.2217e+005 6.6298e+004 6.8913e+004 3.7558e+004 1.4161e+004 4.5413e+003 3.2600e+002 3.4582e+003 1.4444e+004 2.2851e+004 3.1123e+004 3.5319e+004 2.8152e+004 1.5911e+004 6.2056e+002
