   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63
          10 3.6777e+003 1.1067e+005 5.7050e+005 9.1701e+005 6.5975e+005 8.7751e+004 1.7941e+005 2.6935e+005 5.2311e+001 1.4324e+005 4.7059e+004 6.2640e+004 4.7231e+004 1.0456e+004 4.0960e+004 1.1135e+003 1.8683e+004 3.2807e+002 4.6153e+003 7.5412e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 1.1065e+005 1.0293e+006 1.6960e+006 6.9233e+005 3.1107e+005 1.1110e+003 5.6533e+005 4.0885e+004 9.7159e+004 8.7658e+004 4.3599e+002 1.6661e+005 8.0962e+003 3.6286e+004 4.7148e+003 4.2469e+004 6.3615e+002 1.1199e+004 2.0826e+003 3.0083e+003 7.2852e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 8.4054e+005 4.4065e+006 1.1183e+006 1.4913e+006 7.3171e+004 2.0458e+005 3.5573e+005 3.9885e+005 2.5365e+003 1.2291e+005 6.8961e+004 6.2749e+004 1.5325e+005 1.0372e+005 1.3556e+004 5.5845e+003 1.5842e+004 4.9782e+003 1.6485e+002 3.7094e+000 4.0250e+002 2.1544e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 3.1897e+003 5.7358e+004 1.3985e+006 2.1040e+006 1.8614e+004 3.3158e+005 1.1537e+005 3.4854e+004 3.1997e+005 2.8045e+004 1.7736e+005 5.2497e+003 1.5051e+004 7.3262e+004 6.4370e+004 6.4914e+003 8.6520e+003 1.4033e+004 9.4238e+003 3.1446e+003 1.5048e+003 9.0978e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 2.9283e+004 9.1110e+005 3.4486e+006 7.9463e+005 9.8582e+005 2.7147e+005 4.4983e+004 1.1599e+003 2.7704e+005 1.4291e+005 9.6369e+004 1.2062e+005 4.5812e+002 1.5657e+003 1.0312e+005 5.6860e+004 1.2531e+003 1.8618e+003 1.1830e+004 7.6033e+003 1.1653e+003 1.0628e+003 3.4184e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 5.9582e+004 8.3473e+005 1.0877e+006 3.7934e+005 2.0378e+006 2.7083e+005 5.2360e+005 1.0884e+005 5.8189e+003 2.0718e+005 8.1056e+004 1.1233e+005 1.8328e+005 7.4100e+003 1.6903e+003 7.5592e+004 7.4523e+004 8.5481e+002 3.3048e+003 3.3961e+003 8.5180e+003 5.5709e-001 1.1100e+003 1.4843e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 1.4965e+004 5.5430e+004 9.9641e+004 1.6091e+006 1.5929e+005 1.6030e+006 2.9544e+004 5.3590e+005 4.7281e+003 3.1681e+002 1.8539e+005 3.5613e+004 1.4418e+005 1.4764e+005 3.8331e+002 3.2290e+002 5.2135e+004 6.3831e+004 4.5645e+002 6.7876e+003 8.0537e+002 7.9021e+003 1.6120e+002 1.0303e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 3.6374e+002 2.9354e+004 6.6574e+005 8.4175e+005 4.0958e+005 1.2965e+006 5.7752e+005 3.3678e+005 3.1177e+005 3.7888e+002 1.6955e+004 1.6859e+005 3.0781e+003 1.7419e+005 1.1653e+005 1.5555e+002 1.3522e+000 4.7844e+004 5.5311e+004 8.2000e+002 5.6448e+003 1.8286e+002 5.9658e+003 4.5903e+002 6.0860e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 1.9007e+003 8.9578e+004 4.1755e+005 1.0755e+004 1.1919e+006 6.4821e+004 1.5591e+006 4.6743e+004 5.6815e+005 1.7221e+005 1.6065e+003 3.1833e+004 1.2300e+005 1.2735e+003 1.8733e+005 1.0551e+005 3.6741e+002 1.0555e+001 3.8695e+004 5.0439e+004 1.9489e+003 4.7169e+003 2.5648e+001 4.0234e+003 8.6424e+002 2.6091e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          19 2.7550e+003 4.0979e+004 3.0565e+004 2.4511e+005 5.8372e+005 4.0939e+005 7.4206e+005 9.5138e+005 6.6954e+004 5.8143e+005 5.4825e+004 4.3611e+003 4.3272e+004 8.6166e+004 1.1516e+004 1.8768e+005 8.5340e+004 2.5969e+001 3.8017e+001 3.0387e+004 4.4444e+004 2.6205e+003 4.2171e+003 3.8678e+002 2.5135e+003 1.1141e+003 8.3737e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
