   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 1.4552e+007 5.9960e+007 1.0334e+008 9.7399e+007 5.4781e+007 1.8708e+007 3.7412e+006 3.9004e+005 1.4990e+004 9.0647e+000 2.6456e+001 7.1015e-001 3.0261e-003 2.3764e-004 4.1067e-003 1.1802e-003 2.3550e-005 4.5938e-007
           1 3.5404e+007 7.8558e+007 4.2309e+007 2.0855e+004 3.3248e+007 6.2325e+007 4.0539e+007 1.2218e+007 1.6225e+006 5.8938e+004 3.0622e+002 3.9630e+002 2.7192e+000 7.6666e-001 1.2493e-002 1.0955e-003 7.8206e-003 8.8577e-004
           2 5.0390e+007 5.4353e+007 1.1214e+006 3.0734e+007 3.6060e+007 5.0710e+005 2.3058e+007 4.0929e+007 2.0129e+007 3.3866e+006 8.9926e+004 9.7842e+003 2.8040e+003 4.6780e-003 7.0199e+000 7.6527e-003 2.1401e-002 5.8291e-005
           3 5.5052e+007 2.4198e+007 8.0969e+006 3.5874e+007 1.2821e+006 2.3195e+007 2.2096e+007 1.9320e+005 2.0998e+007 2.0668e+007 4.3743e+006 2.8303e+004 9.3793e+004 1.3031e+004 6.1800e+001 9.1281e-001 1.7567e-002 3.6343e-003
           4 5.0761e+007 6.3898e+006 2.1460e+007 1.5073e+007 7.3363e+006 2.3443e+007 6.8980e+003 2.0662e+007 8.5660e+006 2.8090e+006 1.2482e+007 3.1912e+006 1.1937e+005 5.8826e+005 5.2387e+004 6.4908e+002 2.0227e+001 2.2764e+000
           5 4.0045e+007 5.0732e+005 2.2700e+007 2.2165e+006 1.6372e+007 6.1616e+006 9.0495e+006 1.1821e+007 1.5984e+006 1.3529e+007 1.2827e+006 2.4802e+006 4.7258e+005 2.5652e+006 3.4683e+006 3.3055e+005 9.7912e+002 9.3218e+000
           6 2.2101e+007 6.0376e+004 1.3080e+007 2.9623e+001 1.1054e+007 2.5438e+005 9.1616e+006 1.4307e+006 5.9849e+006 3.6441e+006 1.6700e+006 4.0115e+006 2.1849e+005 1.1212e+006 1.7047e+007 2.8897e+007 9.7641e+006 2.2693e+004
           7 2.9209e+006 3.0253e+004 1.7130e+006 1.4325e+004 1.4690e+006 7.3272e+002 1.2885e+006 6.3721e+004 9.7244e+005 2.6730e+005 4.3388e+005 4.3791e+005 2.5757e+002 1.2517e+004 4.4121e+004 6.3054e+006 1.0177e+008 1.1931e+008
           8 2.8874e+006 4.2595e+004 1.6825e+006 2.7880e+004 1.4457e+006 1.2376e+003 1.2892e+006 3.1195e+004 1.0170e+006 1.9058e+005 5.1562e+005 3.7526e+005 9.6916e+003 3.1998e+001 1.8370e+004 7.8103e+006 2.7754e+007 1.9048e+008
           9 1.9805e+006 3.6034e+004 1.1478e+006 2.7334e+004 9.8638e+005 4.1235e+003 8.8794e+005 1.0787e+004 7.1935e+005 9.9937e+004 3.9295e+005 2.2753e+005 1.6605e+004 2.4943e+003 6.7885e+004 5.1678e+006 6.2135e+006 3.6848e+007
          10 1.2623e+006 2.5944e+004 7.2887e+005 2.1198e+004 6.2604e+005 4.7499e+003 5.6650e+005 3.7762e+003 4.6606e+005 5.2453e+004 2.6566e+005 1.3254e+005 1.6048e+004 4.2480e+003 7.1832e+004 3.0495e+006 1.5556e+006 1.7465e+007
