   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
           0 6.3624e+006 2.3107e-006 6.8527e-004 3.5189e+005 1.8444e-002 4.1891e-002 2.4303e+002 5.5943e-002 1.8174e+000 4.0716e+002 3.0254e+000 8.0594e-001 3.6752e-002 2.1757e-001 2.3037e-001 7.5240e-002 3.0084e-003 3.7030e-004 3.4225e-005 7.6754e-004 1.9161e-003 1.4379e-003 4.4806e-004 2.8498e-005 1.3638e-005 3.8862e-005 2.9657e-005 1.8578e-005 1.8212e-005 2.7840e-005 4.2909e-005 5.3276e-005 5.0843e-005 3.7272e-005 2.0910e-005 8.7319e-006 2.4992e-006 3.8110e-007 6.0293e-009 1.5944e-008 1.5332e-008 1.7037e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.1735e+006 6.4000e-005 1.6794e-002 4.1717e+006 5.9352e-002 1.9299e+000 4.8153e+005 3.7828e+001 9.1245e+001 5.5714e+003 1.3562e+000 3.3562e+002 1.3838e+003 2.4189e+002 4.9980e+001 2.6245e+000 1.3563e+000 2.1272e+000 7.5446e-001 6.2270e-002 4.1942e-003 1.3983e-002 3.3713e-003 6.6685e-005 1.4079e-003 1.0314e-003 1.0372e-004 1.4372e-004 6.7774e-004 9.3532e-004 7.8796e-004 4.8026e-004 2.2343e-004 7.9350e-005 2.0409e-005 3.2204e-006 1.4759e-007 3.1333e-008 8.9052e-008 6.8740e-008 4.6576e-008 4.1466e-008 4.4937e-008 4.4217e-008 3.1593e-008 1.3210e-008 1.8130e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.3697e+005 5.8204e-003 4.9066e-002 1.8809e+006 1.5304e-001 2.1978e+001 2.5578e+006 6.7428e+001 5.0003e+002 4.0856e+005 8.5349e+003 1.6562e+004 2.6629e+004 5.3802e+002 7.7830e+002 1.9062e+003 9.9429e+002 2.4219e+002 1.5483e+001 3.6628e+000 9.3982e+000 4.0388e+000 3.6919e-001 7.8923e-002 2.8934e-001 1.6002e-001 2.0831e-002 2.8593e-003 1.8368e-002 1.4870e-002 3.7991e-003 3.0158e-006 1.9109e-003 3.4309e-003 2.7445e-003 1.2536e-003 2.8004e-004 3.9753e-006 4.5967e-005 1.0163e-004 9.2468e-005 5.2657e-005 1.9944e-005 4.4543e-006 2.6625e-007 1.1648e-007 4.3095e-007 4.2868e-007 2.6846e-007 1.2825e-007 4.8550e-008
           3 1.4447e+004 7.6794e-001 5.2733e+000 3.5964e+005 2.0753e+001 8.2115e+001 2.1769e+006 1.1849e+002 4.7806e+003 1.4358e+006 1.0363e+004 5.2883e+003 1.4758e+005 9.3757e+004 7.6338e+004 3.3857e+004 2.7769e+003 5.6421e+002 2.4921e+003 1.8541e+003 5.7603e+002 5.1576e+001 5.7416e+000 2.7320e+001 1.6802e+001 3.1175e+000 1.5472e-002 1.0533e+000 1.1721e+000 4.7564e-001 4.4237e-002 2.0288e-002 9.2286e-002 9.2555e-002 4.5043e-002 8.8033e-003 4.5334e-005 4.8765e-003 8.9516e-003 8.2031e-003 4.9340e-003 1.9863e-003 4.4073e-004 1.0693e-005 6.0470e-005 1.6993e-004 2.0087e-004 1.6555e-004 1.0980e-004 6.1821e-005 2.8247e-005
           4 1.4612e+003 2.4803e+001 1.5755e+002 5.5459e+004 5.1939e+002 1.1278e+003 5.9240e+005 3.3215e+003 1.5185e+004 2.1123e+006 2.3596e+004 1.3982e+005 5.5217e+005 7.9101e+004 5.5707e+001 6.5424e+004 1.1294e+005 8.3144e+004 3.1507e+004 3.4017e+003 4.5566e+002 2.7930e+003 2.4958e+003 9.7857e+002 1.3605e+002 2.2105e+000 4.8921e+001 4.8436e+001 1.8435e+001 1.6798e+000 6.5570e-001 2.9787e+000 2.8810e+000 1.3352e+000 2.3865e-001 3.2411e-003 1.4523e-001 2.3995e-001 1.9659e-001 9.9271e-002 2.7638e-002 1.3368e-003 3.0617e-003 1.1418e-002 1.5566e-002 1.4271e-002 1.0276e-002 6.1751e-003 3.2008e-003 1.4502e-003 5.4944e-004
           5 1.4516e+002 5.0378e+002 2.6556e+003 7.8105e+003 7.4947e+003 1.5237e+004 1.2944e+005 2.2884e+004 2.2395e+004 6.8244e+005 1.2356e+005 4.4914e+005 1.2442e+006 2.7476e+005 2.3873e+005 1.8108e+005 3.2788e+004 4.9429e+003 6.2022e+004 9.2128e+004 6.2909e+004 2.2138e+004 2.2870e+003 4.6123e+002 2.6565e+003 2.6382e+003 1.2575e+003 2.6720e+002 2.2427e+000 4.3247e+001 7.5487e+001 4.9928e+001 1.5721e+001 9.7219e-001 1.1406e+000 4.1260e+000 4.4622e+000 2.7484e+000 9.9095e-001 1.2968e-001 1.4818e-002 1.6945e-001 2.7864e-001 2.6728e-001 1.8544e-001 9.8069e-002 3.8536e-002 9.6581e-003 7.3636e-004 2.5453e-004 1.0167e-003
           6 2.2305e-045 4.2912e-030 2.4850e-026 8.6283e-040 3.1942e-024 3.8347e-022 1.7748e-030 2.8296e-020 1.4616e-018 9.4331e-021 3.5651e-017 9.4170e-016 1.0314e-015 3.7655e-014 3.9937e-013 2.5773e-012 2.6276e-011 2.9778e-010 2.0364e-009 2.7292e-008 1.8090e-007 1.3854e-006 1.1744e-005 8.5911e-005 6.1177e-004 4.0121e-003 2.6387e-002 1.4294e-001 8.1151e-001 3.8866e+000 1.7165e+001 7.3902e+001 3.0373e+002 1.0724e+003 3.6175e+003 1.1028e+004 3.0955e+004 7.7292e+004 1.7488e+005 3.5213e+005 6.2178e+005 9.5141e+005 1.2332e+006 1.3053e+006 1.0695e+006 6.1607e+005 2.0247e+005 1.9785e+004 7.5951e+002 7.9937e+002 1.9985e+002
           7 1.0111e-045 4.9035e-028 2.6180e-024 1.4524e-037 3.2033e-022 3.5873e-020 2.0567e-028 2.4701e-018 1.1898e-016 8.2618e-019 2.7707e-015 6.7372e-014 7.4538e-014 2.4955e-012 2.5020e-011 1.5606e-010 1.5050e-009 1.5877e-008 1.0469e-007 1.2620e-006 8.0431e-006 5.7843e-005 4.5039e-004 3.0494e-003 1.9926e-002 1.1975e-001 7.0796e-001 3.5218e+000 1.7743e+001 7.6916e+001 3.0637e+002 1.1613e+003 4.0970e+003 1.2630e+004 3.5944e+004 9.1160e+004 2.0566e+005 4.0443e+005 6.8232e+005 9.5351e+005 1.0450e+006 8.0284e+005 3.1281e+005 1.6667e+003 2.8169e+005 8.9422e+005 9.9537e+005 4.1513e+005 1.7197e+004 1.3338e+004 1.3204e+001
           8 5.5604e-044 2.5960e-026 1.2817e-022 1.1588e-035 1.4940e-020 1.5620e-018 1.1057e-026 1.0044e-016 4.5149e-015 3.3675e-017 1.0038e-013 2.2491e-012 2.5116e-012 7.7215e-011 7.3214e-010 4.4128e-009 4.0265e-008 3.9574e-007 2.5142e-006 2.7327e-005 1.6724e-004 1.1291e-003 8.0819e-003 5.0649e-002 3.0381e-001 1.6731e+000 8.9074e+000 4.0616e+001 1.8201e+002 7.1221e+002 2.5465e+003 8.4748e+003 2.5674e+004 6.8328e+004 1.6267e+005 3.3765e+005 5.9983e+005 8.8693e+005 1.0346e+006 8.6211e+005 3.9684e+005 2.1934e+004 1.4709e+005 5.3835e+005 4.4823e+005 1.5282e+004 4.0542e+005 1.1030e+006 4.8181e+005 2.3920e+003 2.2697e+004
           9 4.9878e-042 8.6662e-025 3.9697e-021 5.8318e-034 4.4121e-019 4.3120e-017 3.7538e-025 2.5916e-015 1.0881e-013 8.7016e-016 2.3101e-012 4.7754e-011 5.3780e-011 1.5207e-009 1.3645e-008 7.9459e-008 6.8637e-007 6.2911e-006 3.8486e-005 3.7817e-004 2.2197e-003 1.4067e-002 9.2666e-002 5.3768e-001 2.9625e+000 1.4954e+001 7.1840e+001 2.9974e+002 1.1977e+003 4.2180e+003 1.3472e+004 3.9227e+004 1.0188e+005 2.3105e+005 4.5398e+005 7.5211e+005 1.0104e+006 1.0315e+006 6.9008e+005 1.8799e+005 9.3341e+003 3.2297e+005 5.4436e+005 2.0661e+005 2.5074e+004 4.0868e+005 2.0440e+005 1.8195e+005 1.1846e+006 2.5756e+005 1.2417e+005
