   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
          12 2.0151e-042 6.6712e-043 3.8908e-040 4.3049e-038 3.6312e-037 6.9711e-037 1.6716e-037 1.6562e-036 3.5847e-037 7.4789e-038 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 1.7679e-040 1.9845e-039 1.3439e-037 3.7769e-036 2.0307e-035 2.3850e-035 1.8313e-038 1.0913e-034 4.5798e-036 1.5549e-035 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 5.9743e-038 1.6176e-036 5.6049e-035 9.1618e-034 3.4189e-033 2.0553e-033 1.1950e-033 2.1874e-032 6.0809e-035 5.7076e-033 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 1.0351e-034 3.4163e-033 8.2199e-032 9.5232e-031 2.4436e-030 3.7241e-031 4.3016e-030 1.9353e-029 2.3180e-030 7.3884e-030 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 3.5585e-023 1.1759e-021 2.4932e-020 2.5707e-019 5.5438e-019 1.9065e-020 1.6163e-018 4.8944e-018 1.1559e-018 2.0981e-018 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 7.5934e-033 2.3992e-031 4.2392e-030 3.7175e-029 5.9008e-029 2.8979e-030 3.5456e-028 6.3838e-028 3.4058e-028 3.1519e-028 2.6082e-030 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 1.9543e-031 5.2878e-030 6.7685e-029 4.5167e-028 3.1373e-028 8.8640e-028 8.0522e-027 6.2269e-027 1.1070e-026 3.6354e-027 7.9371e-028 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          19 1.9661e-029 4.2828e-028 3.7357e-027 1.7939e-026 5.3877e-028 1.7493e-025 6.2242e-025 1.6903e-025 1.1500e-024 1.0402e-025 1.8397e-025 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          20 1.3155e-026 2.2103e-025 1.1541e-024 3.2653e-024 5.1842e-024 1.5231e-022 2.8688e-022 9.5170e-024 7.0645e-022 3.1757e-024 1.7064e-022 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          21 1.3651e-015 2.0727e-014 8.5383e-014 1.7517e-013 9.8850e-013 1.6493e-011 2.5395e-011 7.5821e-014 6.9608e-011 1.2467e-014 1.8528e-011 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
