   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 6.9314e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.7266e+003 9.8407e+001 1.5062e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 5.9888e+004 6.6424e+000 9.3280e+003 5.2870e+001 9.6532e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 4.3334e+005 5.1993e+001 2.6379e+004 5.6666e+003 1.9183e-001 2.2993e+002 2.7505e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.2272e+006 7.4605e+002 9.2205e+003 1.1014e+003 1.7122e+004 1.5600e+001 9.1020e+002 1.5194e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 1.0794e+006 1.3641e+003 5.8020e+005 4.9210e+004 6.5367e+002 1.6197e+004 1.4626e+000 1.3788e+003 1.3170e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 4.7802e+004 3.1856e+002 1.0205e+006 2.0893e+005 3.3183e+005 2.9251e+004 8.9171e+003 2.4401e+000 1.8182e+003 3.6413e+000 3.2904e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.3075e+005 1.2480e+002 1.0305e+004 2.4742e+004 5.3086e+005 5.0262e+005 1.6062e+005 2.9055e+002 1.8021e+002 2.2351e+003 1.0685e+001 1.7633e+001 0.0000e+000 0.0000e+000 0.0000e+000
           9 3.7964e+003 8.9628e+000 1.6448e+005 4.2329e+004 6.2031e+004 9.9683e+003 2.8569e+005 2.5676e+005 3.3396e+004 4.8052e+003 4.1330e+003 1.9596e+002 8.4724e+000 0.0000e+000 0.0000e+000
          10 8.4161e+002 1.0617e+001 2.9374e+004 4.3632e+003 8.5741e+002 3.4075e+004 7.7587e+004 1.0363e+004 1.1650e+004 1.1596e+004 4.3101e+003 3.1554e+003 6.6506e+002 6.1700e+000 0.0000e+000
          11 1.2728e+003 9.2867e+000 1.8502e+004 2.2559e+003 2.9430e+003 3.1401e+004 5.0681e+004 1.9280e+003 1.7391e+004 1.1057e+004 2.8741e+003 1.4992e+003 1.1958e+002 4.5830e+000 0.0000e+000
          12 1.4506e+003 7.4372e+000 1.0853e+004 1.0361e+003 4.5709e+003 2.5854e+004 3.0091e+004 8.4820e-002 1.9231e+004 8.3506e+003 1.3043e+003 4.2492e+002 2.0939e+000 3.6349e+001 0.0000e+000
          13 1.3728e+003 5.6665e+000 6.4101e+003 4.7182e+002 4.9761e+003 1.9890e+004 1.7629e+004 6.0507e+002 1.7501e+004 5.5446e+003 4.4480e+002 6.3984e+001 6.4779e+001 5.2883e+001 2.1715e-003
          14 1.1542e+003 4.1491e+000 3.8461e+003 2.1875e+002 4.5009e+003 1.4579e+004 1.0387e+004 1.3002e+003 1.4157e+004 3.4604e+003 1.1277e+002 4.6931e-001 1.0940e+002 4.7006e+001 4.1722e-004
          15 9.4453e+002 3.0933e+000 2.4540e+003 1.0882e+002 3.8440e+003 1.0843e+004 6.4856e+003 1.6342e+003 1.1197e+004 2.2075e+003 1.7097e+001 9.9604e+000 1.1882e+002 3.5792e+001 3.7455e-002
