   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28
          13 5.5386e-002 8.0244e-007 1.1067e-001 8.8998e-001 4.9413e-001 3.4655e-001 1.9319e-001 1.4863e+001 6.6860e+001 1.0249e+003 2.8696e+005 9.1755e+005 4.1156e+003 2.0424e+005 4.3175e+003 2.4582e+004 7.1281e+003 1.4215e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 1.0059e-001 1.3497e-001 8.9946e-002 6.5007e-001 1.0203e+000 3.2437e-001 1.1485e+000 2.3398e+001 3.1295e+001 1.6963e-005 3.6197e+004 6.7116e+005 3.8650e+005 6.8073e+004 8.5727e+004 2.0085e+004 8.0506e+003 4.3926e+003 1.8511e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 8.8645e-002 4.9452e-001 2.9142e-003 4.0352e-001 8.1138e-001 2.1669e-001 2.2829e+000 9.2128e+000 1.7309e+000 5.8818e+001 1.0409e+003 2.4486e+005 6.6009e+005 3.2359e+004 1.2967e+005 1.3069e+004 2.3765e+004 1.4607e+003 2.3907e+003 1.3928e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 4.7662e-002 7.2104e-001 1.8736e-001 2.1987e-001 5.0866e-001 5.3730e-002 1.4657e+000 3.6172e-001 3.2264e+001 1.2420e+002 5.3744e+001 5.2599e+004 5.0618e+005 2.5909e+005 2.3957e+004 8.0885e+004 5.3192e+002 1.5660e+004 1.1039e+001 1.1130e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 1.6282e-002 6.4741e-001 4.3912e-001 1.0789e-001 3.6950e-001 6.2031e-004 4.6159e-001 1.1082e+000 3.7844e+001 5.5731e+001 2.2621e+001 6.3348e+003 2.5811e+005 3.8598e+005 1.1037e+004 7.4597e+004 1.6929e+004 8.2299e+003 5.9099e+003 2.2757e+002 4.3012e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 3.1671e-003 4.2667e-001 5.1750e-001 5.0589e-002 3.1889e-001 4.1766e-003 6.1242e-002 2.8150e+000 2.1290e+001 6.0241e+000 1.0361e+001 2.3142e+002 1.0519e+005 3.3550e+005 7.6783e+004 2.6665e+004 4.0306e+004 4.3335e+001 8.4113e+003 8.9029e+002 3.7891e+002 1.4077e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          19 1.6117e-004 2.2865e-001 4.2977e-001 2.3925e-002 2.7044e-001 3.9943e-003 1.5902e-005 2.6652e+000 8.0548e+000 6.5276e-001 5.0256e+001 3.2040e+001 3.8478e+004 2.2226e+005 1.1310e+005 2.7308e+003 3.7770e+004 3.1857e+003 4.3724e+003 2.7996e+003 2.3970e-002 2.2106e+002 5.0945e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          20 6.2262e-005 1.1318e-001 3.0008e-001 1.2186e-002 2.0887e-001 1.0596e-003 8.7629e-003 1.8196e+000 2.5490e+000 4.6417e+000 5.6864e+001 9.2345e+001 1.4444e+004 1.3211e+005 1.0432e+005 2.6488e+002 2.4772e+004 6.6687e+003 1.3068e+003 2.8960e+003 1.9178e+002 9.1760e+001 6.9763e+001 2.3677e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          21 2.5020e-004 5.8567e-002 2.0346e-001 6.9959e-003 1.5581e-001 4.0289e-005 1.4623e-002 1.1624e+000 7.9334e-001 6.2278e+000 4.6317e+001 8.0626e+001 6.1706e+003 8.0091e+004 8.2710e+004 2.3725e+003 1.4938e+004 7.2708e+003 2.5427e+002 2.1967e+003 3.9192e+002 1.6649e+001 5.7361e+001 2.4182e+001 8.4168e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          22 3.2692e-004 3.2031e-002 1.3809e-001 4.3492e-003 1.1408e-001 1.0702e-004 1.4651e-002 7.4103e-001 2.4400e-001 5.9085e+000 3.4004e+001 5.6364e+001 2.9491e+003 5.0194e+004 6.1918e+004 3.7518e+003 8.9430e+003 6.3932e+003 1.6405e+001 1.5060e+003 4.4468e+002 1.0791e-001 3.6766e+001 2.0444e+001 1.0453e+001 1.9945e+000 0.0000e+000 0.0000e+000 0.0000e+000
          23 2.8342e-004 1.6867e-002 8.5638e-002 2.5803e-003 7.4717e-002 3.2102e-004 1.1106e-002 4.3602e-001 6.8991e-002 4.4085e+000 2.1803e+001 3.3826e+001 1.4174e+003 2.9469e+004 4.0861e+004 3.5798e+003 4.9688e+003 4.6049e+003 4.1846e+000 9.0976e+002 3.6351e+002 2.6308e+000 1.9077e+001 1.4555e+001 7.7500e+000 3.1186e+000 3.2661e-001 0.0000e+000 0.0000e+000
          24 1.5165e-004 6.9177e-003 3.8853e-002 1.1482e-003 3.5002e-002 2.6198e-004 5.5538e-003 1.9125e-001 1.6598e-002 2.1962e+000 1.0014e+001 1.4799e+001 5.5197e+002 1.2955e+004 1.9181e+004 2.0102e+003 2.0951e+003 2.2572e+003 1.2089e+001 4.0147e+002 1.8917e+002 3.4917e+000 7.3238e+000 6.9622e+000 3.8697e+000 1.8261e+000 3.9630e-001 2.9729e-002 0.0000e+000
