   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46
           0 1.7244e+007 1.4489e-004 1.0966e-002 5.7667e+005 3.3581e-001 2.8435e-001 8.9832e+001 2.5703e-001 2.8918e+000 9.8787e+001 2.4564e+000 2.4230e-002 1.3972e-001 7.4819e-002 4.0187e-003 2.2785e-003 2.6237e-003 1.2377e-004 3.2464e-004 5.5927e-004 2.4077e-004 4.1258e-005 3.7627e-006 1.7280e-006 3.3420e-006 3.0936e-006 1.0040e-006 6.1785e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 5.8153e+005 1.8164e-002 1.0349e+000 1.6081e+007 2.1988e+000 3.2383e+001 1.0154e+006 5.7757e+002 5.0367e+002 5.1180e+003 1.0882e-002 2.7352e+002 4.9489e+002 9.3278e+001 5.2432e+000 6.5749e-001 1.6439e+000 4.2033e-001 1.3433e-003 5.0551e-002 4.0848e-002 5.8804e-003 6.5650e-004 4.2957e-003 3.2482e-003 8.6553e-004 2.3722e-005 6.4356e-005 1.0787e-004 5.2262e-005 1.0006e-005 3.8503e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 3.3692e+004 2.4121e-001 4.2900e+000 9.8045e+005 7.9249e+001 1.5705e+003 1.5245e+007 2.8059e+003 6.5205e+003 1.0327e+006 8.3232e+004 5.1566e+004 3.1376e+004 8.1276e+002 7.2524e+002 1.2109e+003 4.3217e+002 3.7802e+001 2.8707e+000 1.2635e+001 5.2791e+000 2.4966e-001 3.6867e-001 7.5473e-001 3.8006e-001 5.4362e-002 2.5170e-003 2.9013e-002 2.7319e-002 1.0601e-002 1.4178e-003 1.7807e-005 3.8373e-004 3.0558e-004 8.2409e-005 4.7126e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.2878e+003 3.2108e+000 4.5315e+001 9.2754e+004 3.4125e+002 1.8895e+003 1.0838e+006 2.5293e+004 3.1526e+005 1.4085e+007 4.2024e+005 4.8818e+003 3.9123e+005 3.5734e+005 1.8865e+005 5.7142e+004 3.6045e+003 9.1515e+002 2.5384e+003 1.2816e+003 1.9113e+002 1.6814e+000 4.9269e+001 3.9751e+001 9.5054e+000 1.0751e-002 2.3072e+000 3.3389e+000 1.8360e+000 4.2646e-001 5.5489e-003 6.2387e-002 1.1665e-001 8.3249e-002 3.2741e-002 6.4842e-003 2.2364e-004 1.8996e-004 2.8746e-004 7.8541e-005 8.9096e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.5585e+002 3.0457e+001 3.4378e+002 8.4471e+003 2.1404e+003 1.0043e+004 1.7563e+005 3.1897e+004 9.1717e+004 4.9844e+005 9.9498e+005 4.2480e+006 7.5273e+006 1.5341e+006 3.4339e+004 1.8904e+005 3.7521e+005 2.4132e+005 7.6899e+004 7.4928e+003 6.9469e+002 4.0152e+003 2.9352e+003 8.0793e+002 2.6702e+001 6.4506e+001 1.3306e+002 8.2246e+001 2.0401e+001 2.2379e-001 3.8522e+000 7.6892e+000 6.0878e+000 2.7209e+000 6.1220e-001 1.4482e-002 6.8705e-002 1.6185e-001 1.4691e-001 8.3565e-002 3.2897e-002 8.7987e-003 1.3989e-003 7.6059e-005 2.3689e-006 8.0563e-006 2.4067e-006
           5 2.0826e+001 2.0201e+002 1.8545e+003 7.9267e+002 9.1447e+003 3.2262e+004 1.6285e+004 9.6267e+004 2.6056e+005 2.9791e+005 2.3389e+005 1.6867e+005 5.5800e+005 2.9278e+006 4.5089e+006 3.4606e+006 9.5941e+005 1.9045e+004 1.4465e+005 3.0464e+005 2.2318e+005 8.3108e+004 1.2073e+004 1.0118e+002 4.0205e+003 4.5568e+003 2.1754e+003 4.1773e+002 5.7902e-004 1.2091e+002 1.8901e+002 1.2790e+002 4.5962e+001 5.5488e+000 7.1346e-001 6.5414e+000 9.1688e+000 7.2686e+000 3.9558e+000 1.4991e+000 3.4132e-001 1.8666e-002 1.5230e-002 5.6666e-002 6.6413e-002 4.9657e-002 2.1420e-002
           6 4.1816e-001 9.3863e+002 6.8367e+003 1.1004e+002 2.6415e+004 7.1440e+004 2.7202e+003 1.4715e+005 2.2873e+005 2.3488e+004 3.6738e+005 2.3349e+005 1.7471e+003 3.9621e+004 1.7191e+005 1.8002e+006 3.4649e+006 3.1731e+006 1.6284e+006 3.4363e+005 2.0458e+002 1.3820e+005 2.3140e+005 1.7273e+005 7.2752e+004 1.4483e+004 1.0210e+002 2.4566e+003 4.4462e+003 3.2521e+003 1.2973e+003 2.1483e+002 1.6254e+000 1.0375e+002 1.6956e+002 1.3897e+002 7.2977e+001 2.3607e+001 2.8545e+000 3.0593e-001 3.3971e+000 5.5591e+000 5.5156e+000 4.1912e+000 2.6611e+000 1.4336e+000 5.2182e-001
           7 5.8976e-002 3.0588e+003 1.6794e+004 1.6480e+001 4.7843e+004 9.1361e+004 1.9763e+002 1.2484e+005 1.1084e+005 5.5100e+001 3.9353e+004 2.8040e+004 2.4827e+005 2.7346e+004 3.8457e+004 2.3919e+004 1.4814e+005 1.2021e+006 2.6182e+006 2.9202e+006 1.9011e+006 6.8695e+005 7.3746e+004 2.2177e+004 1.4070e+005 1.8061e+005 1.2780e+005 5.6542e+004 1.3550e+004 5.0288e+002 1.1920e+003 3.3591e+003 3.3237e+003 1.9689e+003 7.2224e+002 1.1744e+002 9.6367e-001 6.3890e+001 1.1817e+002 1.1724e+002 8.3125e+001 4.5441e+001 1.9280e+001 5.9483e+000 1.0761e+000 3.7150e-002 1.6399e-002
           8 5.1060e-001 7.0194e+003 2.6370e+004 1.5734e+000 4.9043e+004 5.4394e+004 7.1865e+001 3.1575e+004 2.0493e+003 7.7307e+003 1.1353e+004 6.3883e+004 1.6321e+002 1.5418e+005 1.6928e+005 9.2490e+003 4.2193e+004 1.7619e+004 1.1027e+005 9.1064e+005 2.0346e+006 2.4729e+006 1.9187e+006 9.4249e+005 2.3461e+005 3.6212e+003 5.1681e+004 1.3255e+005 1.4209e+005 9.6704e+004 4.4542e+004 1.2384e+004 9.9452e+002 4.3792e+002 2.2560e+003 2.9303e+003 2.3146e+003 1.2919e+003 5.0267e+002 1.1013e+002 2.2845e+000 1.8483e+001 5.4092e+001 6.9527e+001 6.3110e+001 4.4311e+001 1.9094e+001
           9 1.3977e-001 1.1345e+004 2.3988e+004 2.8940e-003 2.1499e+004 5.8290e+003 4.0445e+001 1.3602e+003 2.2995e+004 1.6900e+001 4.5578e+004 1.2997e+004 2.6694e+004 1.6747e+004 3.0279e+004 1.5813e+005 7.9591e+004 4.8043e+002 4.4804e+004 7.6969e+003 1.1024e+005 7.3859e+005 1.6365e+006 2.0986e+006 1.7967e+006 1.0528e+006 3.8426e+005 5.2321e+004 5.7336e+003 6.9558e+004 1.1584e+005 1.1000e+005 7.3448e+004 3.5668e+004 1.1600e+004 1.6709e+003 3.9269e+001 1.1593e+003 2.1095e+003 2.1710e+003 1.6498e+003 1.0020e+003 4.9829e+002 1.9989e+002 6.1619e+001 1.3071e+001 1.5648e+000
