   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
           0 1.7184e+007 3.0171e-006 1.6408e-003 6.4177e+005 2.5580e-002 2.4169e-002 5.6897e+000 8.8465e-002 8.0136e-001 1.0629e+002 3.3641e-001 1.7947e-002 2.9210e-001 3.4837e-002 9.5834e-004 1.0400e-002 1.8581e-003 9.3099e-004 3.6770e-003 2.0995e-003 2.4554e-004 2.0586e-005 6.7628e-005 2.6642e-006 3.4869e-005 8.0087e-005 5.2909e-005 1.2720e-005 3.3428e-007 2.6150e-007 3.9895e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 6.4184e+005 1.6430e-003 1.2169e-001 1.5906e+007 5.6404e-002 7.6377e+000 1.1542e+006 6.0972e+001 6.5731e+001 1.6377e+003 1.5288e+001 2.2745e+002 6.2857e+002 6.0861e+001 2.9541e+000 7.0862e-001 1.2901e+000 3.0515e-001 1.7251e-003 2.4698e-002 1.5199e-002 5.1560e-004 2.1233e-003 3.7112e-003 1.6927e-003 1.7151e-004 5.1578e-005 2.4268e-004 2.2674e-004 1.1041e-004 3.2243e-005 5.4134e-006 4.2282e-007 8.5849e-009 5.5309e-012 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 3.8153e+004 2.4463e-002 4.8821e-001 1.0948e+006 1.0068e+001 2.6333e+002 1.4950e+007 1.3584e+002 3.0038e+003 1.3816e+006 1.9156e+004 2.0559e+004 2.2409e+004 4.2585e+001 1.1767e+003 1.4002e+003 3.9105e+002 2.8850e+001 2.7739e+000 9.2487e+000 3.0167e+000 3.4491e-002 3.9376e-001 4.7805e-001 1.4515e-001 2.0903e-003 2.1265e-002 3.2903e-002 1.5422e-002 1.9722e-003 2.1370e-004 1.6284e-003 1.5927e-003 7.2485e-004 1.6351e-004 1.1106e-005 3.4966e-007 7.9974e-007 1.0086e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.6052e+003 3.7767e-001 6.0851e+000 1.0409e+005 5.2457e+001 3.1816e+002 1.2875e+006 4.6805e+003 8.1390e+004 1.4356e+007 5.5053e+004 5.7737e+004 7.4834e+005 3.0219e+005 1.6104e+005 4.7415e+004 1.3922e+003 1.7224e+003 2.8242e+003 1.1399e+003 1.2402e+002 5.8758e+000 4.1198e+001 2.2602e+001 2.3655e+000 6.8258e-001 2.8821e+000 2.0986e+000 5.4029e-001 4.4795e-003 1.0402e-001 1.7960e-001 1.1445e-001 3.3915e-002 2.0426e-003 1.6897e-003 5.3683e-003 4.6629e-003 2.1848e-003 5.8670e-004 7.4223e-005 1.6851e-006 4.2064e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.9687e+002 4.2318e+000 5.5264e+001 9.5834e+003 3.9622e+002 2.1449e+003 1.9063e+005 8.1989e+003 2.5352e+004 9.4622e+005 3.7430e+005 3.1926e+006 9.7084e+006 9.8292e+005 2.9802e+002 3.2578e+005 4.4246e+005 2.4670e+005 6.7752e+004 3.7426e+003 1.9439e+003 4.7568e+003 2.5726e+003 4.6088e+002 2.1287e-001 1.0255e+002 1.0611e+002 3.5714e+001 1.4708e+000 3.6211e+000 8.9273e+000 6.7629e+000 2.3934e+000 2.2271e-001 7.8436e-002 3.9617e-001 4.3228e-001 2.5285e-001 8.5125e-002 1.1430e-002 2.4518e-004 5.4897e-003 7.1765e-003 4.7492e-003 1.9884e-003 5.2830e-004 7.6451e-005 3.3700e-006 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.9938e+001 3.4624e+001 3.7412e+002 9.3569e+002 2.1709e+003 9.0399e+003 2.0285e+004 3.1779e+004 1.0551e+005 3.1852e+005 1.6128e+005 1.9643e+005 4.8212e+005 2.5287e+006 5.1097e+006 4.2957e+006 9.9332e+005 4.4151e+003 2.3366e+005 3.9571e+005 2.4991e+005 7.6774e+004 6.4388e+003 1.4492e+003 6.1054e+003 4.5883e+003 1.4086e+003 7.7051e+001 8.0243e+001 2.2303e+002 1.6539e+002 5.3329e+001 2.9436e+000 4.4713e+000 1.4462e+001 1.4394e+001 7.9661e+000 2.4276e+000 1.9903e-001 9.5627e-002 4.7141e-001 5.8701e-001 4.3862e-001 2.3059e-001 8.6184e-002 2.0401e-002 1.6917e-003 2.4351e-004 1.5310e-003 1.7743e-003 1.1337e-003
           6 1.0646e+000 2.0358e+002 1.8053e+003 1.4842e+002 8.5177e+003 2.8426e+004 2.7812e+003 7.4441e+004 1.5905e+005 2.3217e+004 3.3806e+005 5.3337e+005 5.9183e+004 1.2657e+005 1.7529e+004 1.4558e+006 3.5455e+006 3.7465e+006 2.0787e+006 4.1971e+005 2.6400e+003 2.0782e+005 3.1249e+005 2.0675e+005 7.1396e+004 8.4917e+003 5.6758e+002 5.5428e+003 5.8323e+003 2.8060e+003 5.6831e+002 4.0254e-001 1.5520e+002 2.6402e+002 1.9179e+002 7.4997e+001 1.0722e+001 7.1515e-001 1.0384e+001 1.6203e+001 1.3884e+001 8.0727e+000 3.2099e+000 7.2342e-001 2.1374e-002 8.7805e-002 2.6547e-001 3.2832e-001 2.8385e-001 1.9535e-001 1.0342e-001
           7 3.8814e-001 8.6733e+002 6.1381e+003 7.1961e+000 2.2806e+004 5.8581e+004 3.2753e+002 1.1497e+005 1.7682e+005 3.6774e+003 1.8449e+005 4.6206e+004 2.1776e+005 1.8380e+005 1.7419e+003 3.4103e+004 2.5811e+004 8.0908e+005 2.5353e+006 3.3168e+006 2.3619e+006 9.0236e+005 9.5088e+004 3.5230e+004 2.0056e+005 2.4067e+005 1.5366e+005 5.6306e+004 8.3678e+003 1.2251e+002 3.9808e+003 5.5007e+003 3.6280e+003 1.3233e+003 1.7593e+002 1.2656e+001 1.6044e+002 2.3069e+002 1.7751e+002 8.6873e+001 2.4182e+001 1.3848e+000 2.0607e+000 8.3404e+000 1.1509e+001 1.0559e+001 7.5739e+000 4.5180e+000 2.3156e+000 1.0327e+000 3.8402e-001
           8 3.0471e-001 2.6980e+003 1.4421e+004 1.2848e+001 3.9634e+004 7.2286e+004 8.4968e+001 9.2937e+004 7.8104e+004 2.8335e+003 3.2538e+004 2.2681e+003 1.7872e+004 4.4767e+004 2.4091e+005 1.2208e+005 3.9369e+003 4.2954e+004 1.3778e+004 5.7519e+005 1.8538e+006 2.7429e+006 2.3919e+006 1.2502e+006 3.1627e+005 3.6164e+003 7.9116e+004 1.8912e+005 1.8756e+005 1.1317e+005 4.2190e+004 7.1059e+003 1.2690e+001 2.7599e+003 4.6782e+003 3.8404e+003 1.9657e+003 5.8428e+002 4.7346e+001 2.6316e+001 1.3516e+002 1.8488e+002 1.5634e+002 9.5752e+001 4.3036e+001 1.2728e+001 1.4219e+000 2.0075e-001 1.9484e+000 3.0922e+000 2.5606e+000
           9 6.9251e-002 6.0964e+003 2.2444e+004 3.7787e+000 4.0505e+004 4.3128e+004 1.0112e+001 2.3896e+004 1.8055e+003 1.1683e+002 1.1531e+004 5.5261e+004 2.1540e+001 6.6177e+004 8.3283e+003 9.1243e+004 1.9194e+005 4.9911e+004 8.2452e+003 3.0636e+004 1.3241e+004 4.3330e+005 1.4388e+006 2.2690e+006 2.2039e+006 1.3991e+006 5.3216e+005 7.0598e+004 1.0537e+004 1.0636e+005 1.6554e+005 1.4391e+005 8.3804e+004 3.2137e+004 6.1801e+003 1.2363e+001 1.7462e+003 3.6948e+003 3.6836e+003 2.4411e+003 1.1293e+003 3.2228e+002 2.6296e+001 1.4728e+001 8.1778e+001 1.2501e+002 1.2495e+002 9.8025e+001 6.4887e+001 3.7116e+001 1.7241e+001
