   v'->v''           0           1           2           3           4           5           6           7           8           9          10
           0 4.4235e+006 3.5550e+004 1.1989e+004 2.4976e+000 1.7204e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.4132e+005 5.4777e+006 1.6707e+005 8.5651e+004 2.7629e+003 1.3584e+002 2.0231e+001 8.2183e-001 4.2901e-001 1.7542e-001 7.7184e-002
           2 5.7122e+000 2.3060e+004 6.3889e+006 4.1535e+005 5.8341e+003 1.4108e+004 1.3082e+003 6.8767e+001 4.3649e+001 2.1429e+001 1.0888e+001
           3 5.4181e+003 3.5956e+004 1.6517e+004 6.1754e+006 9.2814e+004 1.5015e+004 1.5595e+003 4.3767e+002 5.0178e+002 3.6888e+002 2.4287e+002
           4 2.5045e+003 3.3455e+004 6.1388e+004 9.9721e+003 6.5403e+006 2.3069e+004 3.6091e+004 4.5224e+003 4.0429e+003 2.5288e+003 1.5059e+003
           5 8.5879e+002 3.7832e+002 1.7599e+004 2.6432e+004 2.3709e+005 5.6017e+006 8.0607e+005 4.7798e+004 3.1813e+004 1.6111e+004 8.3390e+003
           6 1.0685e+003 2.0761e+004 4.6691e+004 2.7905e+002 3.6205e+003 1.2224e+006 1.6894e+006 3.1436e+005 3.2761e+005 2.2804e+005 1.4551e+005
           7 1.1439e+003 4.0595e+003 3.4357e+003 6.3705e+004 1.8008e+004 2.3505e+005 1.9827e+006 1.2997e+005 7.6398e+004 3.2061e+004 1.3704e+004
           8 7.1867e+000 4.9637e+003 4.4412e+004 1.6342e+004 5.2527e+004 1.4415e+005 1.3105e+006 4.9843e+003 3.5826e+003 1.3649e+004 1.5509e+004
           9 7.2308e+002 1.0779e+004 1.5946e+004 8.5521e+003 2.9940e+004 9.4729e+004 1.0201e+006 2.6437e+004 9.1748e+004 9.5281e+004 7.1921e+004
          10 6.1164e+002 2.5812e+003 1.0151e+003 3.7809e+004 5.8493e+002 1.4587e+004 7.3628e+005 1.7858e+005 2.8123e+005 2.1042e+005 1.3224e+005
          11 8.1600e+001 2.8570e+002 1.6738e+004 2.4200e+004 1.3142e+004 1.1712e+004 1.2233e+005 5.6299e+005 5.4570e+005 2.9916e+005 1.5199e+005
          12 3.1809e+001 3.1895e+003 1.9486e+004 2.9453e+003 2.7100e+004 8.8813e+002 1.2489e+005 6.6241e+005 3.6781e+005 1.0940e+005 2.9347e+004
          13 1.7595e+002 4.0570e+003 9.5678e+003 1.2265e+003 1.9737e+004 9.6950e+003 1.4000e+004 7.0782e+005 1.7456e+005 1.0037e+004 8.4298e+002
          14 2.1445e+002 2.7243e+003 2.0552e+003 7.1144e+003 7.9105e+003 1.4476e+004 7.9123e+001 3.2291e+005 3.1480e+003 2.9409e+004 4.3169e+004
          15 1.6248e+002 1.2722e+003 2.3098e+001 9.7665e+003 1.6866e+003 1.2872e+004 3.5427e+003 8.7632e+003 9.8179e+003 2.8152e+004 2.0189e+004
          16 9.6835e+001 4.5274e+002 3.4857e+002 8.5564e+003 6.3861e+001 8.6129e+003 5.5324e+003 4.4976e+004 8.1515e+004 2.0993e+003 1.8375e+002
          17 4.7970e+001 1.2460e+002 7.1564e+002 5.5954e+003 8.1189e+001 4.6324e+003 3.6277e+003 5.8089e+004 5.3128e+005 1.2874e+005 8.5556e+004
          18 1.6248e+001 2.4862e+001 4.3840e+002 2.2385e+003 1.2271e+002 1.6478e+003 1.5018e+003 2.0907e+001 2.1334e+005 1.4160e+006 2.8813e+004
