   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 1.9860e+006 5.2760e+003 6.6799e+002 2.3815e+001 3.5424e+000 5.4102e-002 1.0603e-001 7.5495e-003 2.8753e-003 6.4481e-005 1.1771e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 4.8573e+003 2.1236e+006 2.9096e+004 5.8057e+003 4.6750e+002 2.2180e+001 6.8850e+000 1.0479e+000 2.2766e-001 1.8482e-002 1.1442e-002 4.3056e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.2498e+003 2.7925e+003 2.4668e+006 1.3845e+005 3.6284e+004 2.8056e+003 8.6930e+000 1.1230e+002 1.6347e+000 4.5499e+000 9.1752e-001 1.9591e-002 4.3569e-002 1.2635e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 3.7165e+000 1.0795e+004 2.6432e+002 3.1803e+006 5.4992e+005 1.4131e+005 4.7925e+003 1.0706e+003 1.1303e+002 1.2666e+002 8.0661e-001 7.8082e+000 2.3887e+000 3.0418e-002 2.7223e-002 4.0350e-003 0.0000e+000 0.0000e+000 0.0000e+000
           4 3.8170e+000 9.8800e+001 2.3498e+004 2.1544e+003 3.9483e+006 1.3267e+006 2.8325e+005 1.8950e+003 2.8340e+003 8.2996e+001 1.5709e+002 7.9558e+001 1.2778e+000 3.5569e+000 2.5198e+000 4.0831e-001 1.2044e-002 4.9284e-004 1.5339e-004
           5 1.7857e+001 7.0172e+001 5.3549e+003 6.9671e+003 2.3592e+004 3.8548e+006 1.9368e+006 3.7878e+005 3.9153e+002 2.4405e+003 5.7388e+002 9.4498e+000 1.0337e+002 3.3755e+001 1.4536e+000 7.1569e-001 1.2428e+000 5.7459e-001 1.5881e-001
           6 2.7303e-005 1.0714e+002 8.5378e+002 3.6053e+004 8.8690e+003 2.3714e+005 3.2549e+006 2.4840e+006 4.9472e+005 1.6653e+001 1.6909e+003 1.1279e+003 6.4355e+001 4.1387e+001 6.2124e+001 2.3479e+001 3.3981e+000 2.3222e-002 1.9667e-001
           7 1.5293e+000 7.2850e+001 1.9551e+002 9.9084e+002 3.2995e+004 2.1193e+004 5.7640e+005 2.5994e+006 2.9756e+006 6.1482e+005 2.0187e+001 7.0340e+002 1.2795e+003 3.3439e+002 2.8634e+000 2.6874e+001 3.6337e+001 2.0098e+001 7.3397e+000
           8 1.3553e-001 1.7359e+000 4.3340e+002 3.8611e+003 3.1895e+004 6.8162e+002 2.5214e+003 9.3426e+005 1.9019e+006 3.4181e+006 7.6953e+005 1.2805e+001 1.3123e+002 1.0403e+003 6.2628e+002 1.1186e+002 1.7282e+000 8.7060e+000 1.5115e+001
           9 1.5835e-032 2.0370e-031 4.9971e-029 4.4413e-028 3.6533e-027 8.1386e-029 2.9747e-028 1.0685e-025 2.1906e-025 3.8942e-025 8.3588e-026 7.3095e-028 3.0065e-026 2.3092e-024 5.7880e-022 2.1495e-018 5.2746e-015 1.0909e-009 4.3864e-004
          10 2.2203e-033 3.4127e-032 2.5225e-030 1.6866e-029 8.3049e-029 3.3123e-029 5.3258e-029 2.0423e-027 9.4809e-027 2.8700e-027 1.0728e-026 1.6368e-025 5.1057e-024 3.4538e-022 7.1026e-020 1.9750e-016 3.9060e-013 4.8306e-008 8.9378e-003
          11 4.8165e-031 7.2400e-030 3.3381e-028 1.6708e-027 4.8092e-027 1.0009e-026 8.8562e-027 1.0683e-025 1.0644e-024 3.4845e-027 3.5562e-024 2.1622e-023 4.4992e-022 2.4864e-020 4.2241e-018 8.7426e-015 1.3873e-011 1.0198e-006 8.5923e-002
          12 1.9890e-028 2.8220e-027 9.9109e-026 3.4995e-025 4.6812e-025 5.1589e-024 2.3593e-024 1.1150e-023 2.7305e-022 9.1173e-023 1.0855e-021 2.4298e-021 2.6334e-020 1.1625e-018 1.6166e-016 2.4772e-013 3.1395e-010 1.3653e-005 5.2112e-001
          13 1.3549e-015 1.8026e-014 5.2919e-013 1.1954e-012 2.8065e-013 4.2120e-011 8.7739e-012 1.5237e-011 1.3186e-009 1.3599e-009 4.1110e-009 1.0437e-009 5.0615e-014 5.5686e-015 5.1724e-013 1.0897e-011 6.0542e-009 1.6485e-004 3.0570e+000
          14 1.9702e-024 2.6043e-023 7.5312e-022 1.6137e-021 2.6051e-022 6.2292e-020 1.1858e-020 1.8190e-020 1.8631e-018 2.0764e-018 5.5712e-018 8.6746e-019 1.1438e-018 3.9760e-017 4.4777e-015 5.0571e-012 5.0961e-009 1.3065e-004 2.2658e+000
          15 1.0222e-024 1.2448e-023 3.0405e-022 2.5683e-022 4.5707e-022 3.9791e-020 1.6011e-021 1.1888e-023 7.1795e-019 1.6843e-018 9.2828e-019 2.0653e-018 4.2503e-017 1.0758e-015 9.6754e-014 7.9889e-011 6.3705e-008 9.6026e-004 7.6634e+000
          16 2.5537e-023 2.8073e-022 5.7024e-021 3.9567e-023 7.9653e-020 1.2703e-018 2.9303e-021 1.8809e-019 1.4222e-017 6.0481e-017 9.2494e-019 2.0030e-016 1.4259e-015 2.4203e-014 1.7074e-012 1.0237e-009 6.4237e-007 5.6817e-003 2.1399e+001
          17 1.7878e-021 1.6898e-020 2.6125e-019 6.3674e-019 1.8178e-017 1.2269e-016 1.3348e-017 5.0680e-017 8.4638e-016 6.3815e-015 8.2203e-016 2.3936e-014 5.5653e-014 4.7305e-013 2.5499e-011 1.0999e-008 5.3985e-006 2.8003e-002 5.1822e+001
          18 1.1329e-009 8.4066e-009 7.6847e-008 2.5806e-006 2.9966e-005 1.1653e-004 4.5502e-005 7.6252e-005 5.0484e-004 6.6381e-003 3.3583e-003 1.9818e-002 5.8947e-003 3.3191e-006 8.6312e-007 3.4027e-007 6.4070e-005 1.3671e-001 1.4392e+002
          19 1.1468e-018 8.0301e-018 6.2880e-017 3.3524e-015 3.5519e-014 1.2779e-013 5.8501e-014 8.8218e-014 5.1157e-013 7.4043e-012 4.2967e-012 2.0824e-011 3.0285e-012 7.9375e-012 3.3085e-010 1.0191e-007 3.8851e-005 1.1828e-001 1.1365e+002
          20 1.7477e-019 3.7097e-019 4.0802e-018 3.8527e-015 2.4105e-014 4.9296e-014 6.5107e-014 4.6277e-014 9.5804e-014 3.3792e-012 4.2460e-012 4.7025e-012 6.5807e-012 1.3693e-010 3.8605e-009 8.3158e-007 2.4410e-004 4.3748e-001 2.3331e+002
          21 1.1446e-020 1.3847e-017 1.5061e-015 9.7614e-014 4.1413e-013 4.6227e-013 1.6574e-012 5.2187e-013 2.2840e-013 4.2167e-011 9.1020e-011 1.1816e-011 3.4322e-010 2.3383e-009 4.1128e-008 6.0901e-006 1.3633e-003 1.4464e+000 4.5978e+002
          22 1.2329e-016 5.7891e-015 2.7238e-013 7.8193e-012 2.3516e-011 1.1813e-011 1.3547e-010 1.4141e-011 1.3687e-012 1.8357e-009 6.2432e-009 1.0876e-010 2.4778e-008 5.3830e-008 4.1303e-007 4.0743e-005 6.8713e-003 4.3516e+000 8.8168e+002
          23 5.0846e-004 1.5910e-002 5.8240e-001 1.1272e+001 2.5610e+001 4.3053e+000 2.0000e+002 4.1846e+000 2.3324e+001 1.6639e+003 8.0710e+003 1.5986e+003 2.5421e+004 9.2746e+003 1.9671e+001 2.7597e+000 1.1453e-004 2.1821e+001 1.8721e+003
          24 1.5325e-013 4.5728e-012 1.6042e-010 2.8790e-009 6.1097e-009 6.8366e-010 5.1413e-008 5.5498e-010 7.6369e-009 3.8177e-007 2.0150e-006 5.2424e-007 5.8453e-006 8.9867e-007 3.6513e-006 2.5203e-004 3.1682e-002 1.2117e+001 1.6545e+003
          25 1.8495e-013 4.8233e-012 1.4139e-010 1.8033e-009 2.5669e-009 4.9226e-011 3.3528e-008 4.1902e-010 1.0579e-008 1.3381e-007 1.1393e-006 7.6332e-007 1.7656e-006 1.4713e-006 3.7466e-005 1.4834e-003 1.3552e-001 3.1745e+001 3.0428e+003
          26 3.0183e-012 7.6298e-011 1.9386e-009 1.8550e-008 1.5627e-008 1.1917e-008 3.6365e-007 4.1240e-008 1.6163e-007 7.1898e-007 1.0944e-005 1.2964e-005 5.5640e-006 5.7574e-005 4.0397e-004 8.4087e-003 5.4465e-001 7.9408e+001 5.4834e+003
