   v'->v''           0           1           2           3           4           5           6           7           8           9
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 4.4557e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 7.5247e-001 1.1222e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.3060e+001 5.3183e+001 6.5266e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 6.9443e+000 4.1209e+000 1.6946e+001 2.9198e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 2.3194e+000 1.1803e+002 3.2140e+002 4.5258e+001 7.8263e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.1765e+001 1.6797e+002 1.1930e+002 4.8744e+001 6.7051e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 4.7728e+000 1.2185e+001 1.0172e+002 4.6609e+002 2.0053e+001 4.0206e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 1.0581e-001 5.2472e+001 5.8998e+002 4.1219e+002 7.8195e+001 1.0418e+002 9.9050e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 5.0827e+000 1.5045e+002 5.7936e+002 4.9143e+001 3.5494e+002 1.6628e+001 8.2898e+001 5.3390e-001 0.0000e+000 0.0000e+000
          12 8.5339e+000 1.2850e+002 2.1172e+002 5.8765e+001 4.0553e+002 3.2135e+001 9.1038e+001 2.8159e+001 0.0000e+000 0.0000e+000
          13 6.6836e+000 5.5263e+001 1.1689e+001 2.9416e+002 2.2392e+002 1.6981e+002 3.0622e+001 7.0761e+001 2.8246e+000 0.0000e+000
          14 3.3119e+000 1.1327e+001 2.1436e+001 4.0852e+002 6.2924e+001 2.5259e+002 3.0089e-001 7.2872e+001 1.7118e+001 4.1164e-004
          15 1.1577e+000 3.3309e-001 6.8134e+001 3.4097e+002 5.7991e+000 2.1997e+002 8.3874e+000 4.6072e+001 2.6813e+001 4.7595e-001
          16 2.9896e-001 3.6147e-001 6.0217e+001 1.8534e+002 1.0259e-001 1.2205e+002 1.3862e+001 1.9645e+001 1.9715e+001 1.1472e+000
          17 4.8949e-002 2.4341e-001 1.7178e+001 4.4908e+001 3.2636e-001 2.9767e+001 4.6503e+000 4.2159e+000 5.3159e+000 4.3995e-001
