   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30
          12 6.3052e-005 1.3649e-001 3.3348e-002 2.6439e-002 3.3449e-002 5.7425e-001 1.5343e-002 5.4952e-003 5.6151e+000 5.2067e+001 4.0795e+002 2.9374e+002 1.1107e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 1.6470e-001 9.5564e-002 7.8233e-003 1.8692e-001 3.5071e-005 4.3006e-002 3.7393e-001 1.6659e-001 2.6636e-001 8.9803e+000 7.0238e+001 4.6250e+002 1.6514e+002 1.0657e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 1.0491e-001 6.7646e-001 1.3448e-001 2.8297e-002 1.8162e-001 1.1151e-001 2.2954e-002 7.4317e-001 1.3976e-001 5.6246e-001 1.2391e+001 9.3332e+001 5.0790e+002 6.1740e+001 1.0075e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 1.1490e-002 1.9651e-001 3.8408e-002 1.2516e-001 1.0713e-002 3.9088e-001 7.5340e-003 6.3475e-003 4.3552e-001 5.9932e-001 1.9292e+000 1.8394e+001 1.2273e+002 5.3691e+002 4.8320e+000 9.3628e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 1.6507e-001 9.2867e-002 1.0249e-002 7.5299e-002 5.6948e-002 2.4430e-001 1.7434e-001 1.1144e-001 6.9948e-008 4.9192e-001 6.1627e-001 2.9541e+000 2.6627e+001 1.5983e+002 5.4043e+002 1.6704e+001 8.5257e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 1.2048e-001 4.5403e-001 2.4394e-002 1.5196e-002 3.5046e-003 7.5676e-002 3.0032e-002 1.9975e-001 9.7928e-003 1.5600e-003 5.6268e-002 1.8014e+000 4.9222e+000 3.7760e+001 2.0314e+002 5.0926e+002 1.1823e+002 7.5729e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 3.7724e-003 2.4729e-001 1.3476e-004 6.5320e-002 5.3521e-002 1.4562e-001 3.5706e-002 1.4858e-001 1.2470e-001 1.0969e-001 9.1504e-004 4.4437e-003 3.2673e+000 8.4456e+000 5.3079e+001 2.4944e+002 4.3870e+002 3.2490e+002 6.5230e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          19 4.0719e-002 7.9480e-003 1.0101e-002 2.9073e-003 4.6601e-002 9.0611e-003 3.8690e-003 5.0764e-002 2.4379e-002 1.0350e-001 3.7716e-003 1.4826e-002 9.6997e-002 4.5643e+000 1.3661e+001 7.6434e+001 2.9253e+002 3.2850e+002 6.3718e+002 5.4084e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          20 8.6452e-002 4.1347e-002 4.0507e-003 3.5147e-002 1.0671e-003 1.6229e-001 5.6144e-002 1.1459e-001 8.1908e-002 1.6103e-001 4.5781e-002 1.3157e-001 7.6059e-002 5.8903e-001 6.5145e+000 1.9933e+001 1.0688e+002 3.2501e+002 1.9310e+002 1.0300e+003 4.2760e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          21 4.6293e-002 6.2521e-002 5.5681e-003 6.0772e-002 5.8735e-002 6.6717e-002 8.2142e-002 1.6073e-003 9.1670e-002 2.6516e-002 8.2085e-003 6.0811e-003 2.9594e-001 3.1811e-001 1.6416e+000 1.0437e+001 3.0080e+001 1.4202e+002 3.2925e+002 6.5387e+001 1.4475e+003 3.1788e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          22 2.3403e-003 1.3165e-002 4.4940e-002 1.5059e-002 7.6779e-002 9.6004e-003 6.5894e-003 1.2225e-001 5.6468e-006 2.5670e-001 5.3453e-002 6.7835e-002 1.8707e-002 4.8797e-001 8.1664e-001 3.1040e+000 1.5883e+001 4.7806e+001 1.8272e+002 2.8949e+002 6.6418e-001 1.8033e+003 2.1750e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          23 1.4010e-002 5.6038e-003 8.0809e-002 4.3690e-003 3.1204e-002 1.3094e-001 2.6226e-002 1.0755e-001 4.9950e-002 1.3943e-001 1.2329e-001 1.0862e-003 4.7900e-002 1.4426e-001 7.4422e-001 1.1981e+000 5.8333e+000 2.3173e+001 7.0339e+001 2.1314e+002 1.9582e+002 5.6691e+001 1.9927e+003 1.3327e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          24 5.4511e-002 5.0048e-002 8.0933e-002 4.6359e-002 1.6608e-003 1.7937e-001 8.5787e-002 8.7322e-003 5.1514e-002 4.5407e-003 6.6100e-002 1.2532e-001 1.4055e-002 7.6551e-004 3.5108e-001 1.2014e+000 1.9794e+000 9.8759e+000 3.5004e+001 1.0156e+002 2.1736e+002 7.7518e+001 2.6348e+002 1.8912e+003 7.2049e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          25 8.1115e-002 8.8024e-002 5.6835e-002 8.1132e-002 3.8022e-003 1.1347e-001 8.9471e-002 2.2028e-002 8.9009e-003 1.7156e-002 1.4862e-002 1.9721e-001 2.9506e-002 1.6234e-003 8.2616e-002 9.8288e-001 1.4662e+000 3.9722e+000 1.7113e+001 5.1996e+001 1.2878e+002 1.6330e+002 2.1793e+000 5.7461e+002 1.4819e+003 3.2881e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          26 8.0822e-002 9.1271e-002 3.1123e-002 8.1254e-002 1.2410e-002 4.0081e-002 5.6010e-002 8.3689e-002 2.3493e-003 2.8220e-002 2.1291e-003 1.2921e-001 1.3292e-001 4.6436e-003 2.0079e-002 4.8577e-001 1.3931e+000 2.2291e+000 7.5315e+000 2.6987e+001 7.2442e+001 1.3158e+002 6.8646e+001 5.7529e+001 7.7309e+002 9.5162e+002 1.1318e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          27 6.2990e-002 7.0182e-002 1.4176e-002 5.9808e-002 1.4171e-002 6.8220e-003 2.5695e-002 1.0421e-001 1.8461e-002 1.3354e-002 8.3905e-004 5.3955e-002 1.6025e-001 3.0571e-002 1.4393e-002 1.7510e-001 1.0228e+000 1.5739e+000 3.5861e+000 1.3381e+001 4.0511e+001 8.5368e+001 8.2638e+001 1.1256e+000 2.4622e+002 7.1487e+002 4.3483e+002 2.7173e+001 0.0000e+000 0.0000e+000 0.0000e+000
          28 3.9842e-002 4.2856e-002 5.5864e-003 3.5059e-002 1.0356e-002 1.2049e-004 9.5936e-003 8.0353e-002 2.4976e-002 2.5909e-003 1.1300e-003 1.7733e-002 1.1374e-001 4.3049e-002 1.5855e-002 5.8384e-002 5.6831e-001 1.0267e+000 1.8829e+000 6.4051e+000 2.0863e+001 4.8601e+001 6.0108e+001 1.4850e+001 5.5797e+001 3.4927e+002 3.9958e+002 1.2115e+002 3.2364e+000 0.0000e+000 0.0000e+000
          29 1.8760e-002 1.9529e-002 1.8658e-003 1.5528e-002 5.1205e-003 2.3083e-004 3.0067e-003 4.0949e-002 1.6356e-002 1.5642e-004 1.0319e-003 5.0850e-003 5.3992e-002 2.8528e-002 1.1255e-002 1.9134e-002 2.3778e-001 4.9787e-001 8.5907e-001 2.6435e+000 8.7659e+000 2.1698e+001 3.0212e+001 1.2872e+001 1.0605e+001 1.2921e+002 2.0492e+002 9.8681e+001 1.3671e+001 4.6653e-002 0.0000e+000
          30 7.3596e-003 7.5277e-003 6.1605e-004 5.9046e-003 2.0366e-003 2.5060e-004 9.5556e-004 1.6502e-002 7.2767e-003 7.4350e-007 5.4343e-004 1.5574e-003 2.0987e-002 1.2705e-002 5.2910e-003 6.5357e-003 8.7732e-002 1.9775e-001 3.3822e-001 9.8939e-001 3.2792e+000 8.3304e+000 1.2183e+001 6.1308e+000 2.4293e+000 4.4717e+001 8.1320e+001 4.6309e+001 8.9354e+000 3.5971e-001 0.0000e+000
