   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.3647e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.9549e-002 5.2853e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 3.1376e+000 6.1113e+000 7.0840e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 1.1306e-002 6.8447e+000 1.8505e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 2.3986e+000 4.1358e+001 4.2267e+001 4.4076e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 7.9589e-001 2.3336e+000 2.8895e+001 1.0695e+002 6.1268e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 5.5210e-001 2.7907e+001 2.1973e+002 1.2899e+002 1.2447e+001 6.2738e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 2.5743e+000 4.3771e+001 1.0421e+002 4.9780e+000 1.6081e+002 2.8682e+000 1.8593e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 1.5354e+000 6.9736e+000 4.9874e+000 2.5766e+002 1.4324e+002 5.1574e+001 1.8049e+001 5.2929e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 4.7981e-002 5.6815e+000 1.4243e+002 3.8840e+002 5.6718e+000 1.8988e+002 4.2257e-004 1.6007e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 5.1897e-001 2.8261e+001 2.0831e+002 1.8587e+002 7.3982e+001 1.7395e+002 5.1197e+001 1.6207e+001 5.3310e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 1.4413e+000 3.1565e+001 1.2562e+002 1.2589e+001 2.3691e+002 4.9798e+001 1.4707e+002 1.1451e-002 2.0328e+001 3.3180e-001 0.0000e+000 0.0000e+000
          15 1.5084e+000 1.8263e+001 3.2999e+001 2.8409e+001 2.7831e+002 3.1767e-001 1.7045e+002 2.2882e+001 1.5848e+001 7.9790e+000 0.0000e+000 0.0000e+000
          16 9.8795e-001 6.0962e+000 6.2998e-001 1.1192e+002 2.0035e+002 4.1113e+001 1.1645e+002 6.7370e+001 3.0148e+000 1.5784e+001 5.8451e-001 0.0000e+000
          17 4.7509e-001 9.3881e-001 5.6253e+000 1.4757e+002 1.0425e+002 8.5313e+001 5.3692e+001 8.6476e+001 3.7779e-001 1.4148e+001 3.4252e+000 0.0000e+000
          18 1.8145e-001 4.6493e-003 1.2667e+001 1.1997e+002 4.2511e+001 8.4729e+001 1.7985e+001 7.0018e+001 3.8644e+000 8.0439e+000 4.7522e+000 1.5898e-002
          19 5.2845e-002 5.1961e-002 8.7892e+000 5.8124e+001 1.2969e+001 4.5138e+001 4.4081e+000 3.3825e+001 3.6616e+000 2.9665e+000 2.8520e+000 6.6984e-002
          20 1.1424e-002 2.6596e-002 2.5709e+000 1.5313e+001 2.8569e+000 1.2259e+001 8.6787e-001 8.8989e+000 1.1623e+000 6.9955e-001 7.9962e-001 2.8467e-002
