   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 1.6066e+006 1.6632e+005 9.1843e+005 5.0807e+005 1.5839e+005 6.1573e+004 1.4550e+004 1.9109e+004 9.6382e-001 4.9009e+003 2.4843e+003 1.3602e+001 4.8260e+002 4.6201e+002 8.2519e+001 3.6341e+000 4.0521e+001 3.0798e+001 7.5262e+000 1.4474e-001 4.9416e-001 5.8907e-001 1.7419e-001 1.1852e-002 8.2015e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.3414e+007 1.6198e+007 4.7187e+006 2.1911e+006 3.7510e+005 1.2007e+005 5.3083e+004 1.3319e+004 1.1440e+003 9.4011e+000 9.8761e+000 8.0478e+001 9.1746e+001 3.2111e+001 1.3979e+000 2.0795e+000 3.8575e+000 1.6653e+000 1.5954e-001 3.0387e-002 1.2106e-001 7.5099e-002 1.7939e-002 1.2242e-003 1.4926e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 3.0963e+006 2.0887e+006 8.2821e+006 1.8686e+005 2.3543e+006 4.1953e+004 5.7881e+003 6.6454e+004 5.1602e+004 4.5564e+003 1.5807e+003 2.5767e+003 2.2049e+002 2.9174e+002 6.8909e+002 3.3162e+002 2.9841e+001 1.2436e+001 4.3641e+001 3.0394e+001 8.3857e+000 3.9069e-001 3.4119e-001 7.1105e-001 3.5662e-001 6.7035e-002 2.4898e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 6.4528e+006 2.0194e+005 5.1763e+006 1.2707e+007 9.8933e+005 2.5696e+006 5.0185e+005 3.6474e+004 1.8267e+004 3.3685e+004 2.2393e+004 3.8543e+003 4.7262e+001 9.0824e+002 4.2500e+002 3.9734e+000 1.0771e+002 1.6865e+002 8.4666e+001 1.3660e+001 2.3010e-001 5.6838e+000 6.1052e+000 2.7945e+000 5.9491e-001 2.9856e-002 3.8179e-003 3.5763e-003 5.8868e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 2.0086e+005 1.7094e+006 9.5559e+002 2.3659e+006 1.1119e+007 2.7450e+005 2.0489e+006 5.7384e+005 4.3858e+004 3.1866e+003 1.4088e+004 2.4122e+004 1.2518e+004 1.4682e+003 2.2846e+002 1.0275e+003 5.3686e+002 3.9973e+001 4.1786e+001 1.3041e+002 1.0276e+002 3.6184e+001 3.6358e+000 5.7234e-001 3.2296e+000 2.9255e+000 1.2814e+000 2.8840e-001 2.3852e-002 7.3822e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 4.6642e+005 2.1810e+006 9.2931e+005 1.5505e+005 2.5888e+006 1.1594e+007 3.6248e+005 1.9263e+006 7.4634e+005 1.3637e+005 8.7431e+003 5.3463e+003 1.3292e+004 1.4194e+004 6.0884e+003 6.2061e+002 1.3615e+002 5.8731e+002 3.8343e+002 6.7980e+001 3.2252e+000 5.0517e+001 6.2091e+001 3.5374e+001 1.0325e+001 8.4308e-001 2.0045e-001 8.7235e-001 7.2035e-001 2.8241e-001 5.1019e-002 2.0750e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 5.1957e+005 2.0225e+005 1.3032e+006 2.7890e+005 1.4553e+005 2.1435e+006 1.0232e+007 1.1926e+005 1.7085e+006 6.2425e+005 1.8444e+005 1.1534e+004 1.8173e+003 5.0576e+003 1.0134e+004 8.1017e+003 2.7270e+003 1.6314e+002 1.6255e+002 4.4173e+002 2.9441e+002 7.2393e+001 2.2086e-001 1.9862e+001 3.6567e+001 2.8183e+001 1.2506e+001 2.9956e+000 1.7360e-001 8.0019e-002 2.3481e-001 1.5582e-001 4.2824e-002 2.7087e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 7.6877e+004 1.5502e+005 5.6555e+005 9.0355e+005 7.7686e+004 1.8821e+005 2.6793e+006 8.1642e+006 1.3522e+004 1.8121e+006 3.9396e+005 2.2100e+005 1.2177e+004 2.3447e+003 2.0726e+003 6.3894e+003 6.8867e+003 3.7553e+003 8.2019e+002 9.7555e-001 1.9795e+002 3.0427e+002 1.7783e+002 4.2546e+001 2.6161e-001 1.0164e+001 2.0647e+001 1.7849e+001 9.3987e+000 3.0905e+000 5.0845e-001 5.2459e-003 4.0944e-002 5.3349e-002 2.0600e-002 1.8093e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 6.3716e+003 4.1738e+005 4.8478e+004 7.7052e+005 3.9799e+005 1.5597e+002 3.1785e+005 3.6780e+006 4.7481e+006 6.4134e+003 2.0051e+006 1.0944e+005 2.6619e+005 1.3857e+003 5.9742e+003 2.4977e+002 4.7724e+003 4.2066e+003 3.5195e+003 1.0371e+003 9.5018e+001 4.7364e+001 1.8324e+002 1.7388e+002 8.1613e+001 1.5337e+001 2.3897e-002 6.4067e+000 1.1232e+001 9.5020e+000 5.2032e+000 1.9361e+000 4.4238e-001 3.6758e-002 1.8055e-003 1.0978e-002 5.8045e-003 6.2104e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 3.9213e+004 2.5976e+005 1.2652e+004 3.2753e+005 4.2844e+005 5.9203e+004 2.8340e+004 7.0773e+005 3.9287e+006 1.0136e+006 4.3676e+003 1.6025e+006 1.6967e+003 3.3828e+005 2.6514e+004 3.1034e+004 4.5256e+003 1.1138e+004 2.8148e+002 4.4135e+003 1.9638e+002 2.7888e+002 7.0175e+001 5.1898e+001 1.4601e+002 5.0634e+001 2.3914e+001 6.8176e-001 9.6378e-001 5.1548e+000 5.4666e+000 3.9305e+000 1.9470e+000 6.6475e-001 1.5039e-001 1.4696e-002 5.9415e-005 1.7715e-003 9.5823e-004 1.1180e-004 5.2361e-009 0.0000e+000 0.0000e+000
