   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28
           0 9.8539e+005 1.0510e+006 7.5079e+004 8.7477e+003 2.1410e+004 5.6663e+003 3.7492e+001 5.2220e+002 4.8035e+002 1.2262e+002 6.6908e+000 3.7015e-001 2.5088e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.1596e+006 8.2967e+005 7.9275e+005 5.7564e+004 4.5975e+003 1.4748e+004 5.1798e+003 2.4935e+002 1.8409e+002 3.4740e+002 1.5282e+002 2.4441e+001 4.0488e-001 3.1163e-001 5.9547e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 5.4744e+005 1.6636e+006 4.7258e+005 7.1386e+005 9.3174e+004 1.2291e+001 1.0199e+004 7.3547e+003 1.6034e+003 2.0903e+001 1.3122e+002 1.7699e+002 8.1547e+001 1.7780e+001 1.3584e+000 9.7812e-005 9.5208e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 1.7905e+002 5.1870e+005 1.4202e+006 3.9026e+005 6.9830e+005 1.1527e+005 8.3213e+002 8.5687e+003 9.4079e+003 3.3340e+003 3.4196e+002 2.5667e+001 1.7573e+002 1.4957e+002 6.2431e+001 1.4509e+001 1.5528e+000 2.0420e-002 5.9287e-003 1.4553e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.5675e+005 1.1880e+004 7.0955e+005 1.3025e+006 3.1065e+005 6.2485e+005 1.1795e+005 2.9225e+003 5.4631e+003 8.6856e+003 4.2238e+003 8.6334e+002 1.4980e+001 7.3546e+001 1.3192e+002 9.0822e+001 3.8250e+001 1.0738e+001 1.8965e+000 1.6566e-001 1.6507e-003 9.3222e-004 1.1505e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.5180e+005 6.0557e+004 9.7362e+004 8.0812e+005 1.0873e+006 2.2816e+005 5.5460e+005 1.2313e+005 7.6242e+003 2.1337e+003 6.8594e+003 4.8668e+003 1.7229e+003 2.6408e+002 1.8525e-002 5.3560e+001 8.0494e+001 5.9546e+001 3.0610e+001 1.2269e+001 4.0383e+000 1.1413e+000 2.8867e-001 7.0334e-002 1.8022e-002 5.2585e-003 1.8496e-003 7.5567e-004 3.2177e-004
           6 2.7598e+004 1.0131e+005 9.4893e+003 1.7921e+005 7.9406e+005 8.8706e+005 1.7729e+005 5.1330e+005 1.3031e+005 1.3639e+004 4.8807e+002 5.3509e+003 5.3437e+003 2.7107e+003 8.0045e+002 1.0042e+002 1.0340e+000 3.7796e+001 5.5669e+001 4.6279e+001 2.9426e+001 1.6123e+001 8.0789e+000 3.8584e+000 1.7702e+000 7.7871e-001 3.4731e-001 1.6079e-001 7.2845e-002
           7 6.4186e+003 4.2190e+004 8.3813e+004 1.1304e+000 2.4889e+005 7.7263e+005 7.4577e+005 1.4573e+005 4.7569e+005 1.2959e+005 1.8541e+004 3.2465e+000 3.7523e+003 5.1059e+003 3.3635e+003 1.4269e+003 3.8830e+002 4.6900e+001 7.1641e-001 2.0918e+001 3.3362e+001 3.1518e+001 2.3376e+001 1.4943e+001 8.3904e+000 4.1661e+000 1.9795e+000 9.4574e-001 4.3502e-001
           8 5.2633e+004 1.0443e+003 8.4328e+004 6.1632e+004 1.2496e+004 3.3143e+005 7.4918e+005 6.2193e+005 1.1541e+005 4.3246e+005 1.2315e+005 2.2988e+004 3.6079e+002 2.0618e+003 4.1649e+003 3.5038e+003 1.9609e+003 8.1243e+002 2.4301e+002 4.3588e+001 1.2211e+000 3.2091e+000 8.8465e+000 9.7457e+000 7.2612e+000 4.1696e+000 2.1253e+000 1.0502e+000 4.9082e-001
           9 6.3750e+004 1.1960e+004 3.2038e+004 9.9819e+004 2.3484e+004 5.4238e+004 3.9998e+005 6.9002e+005 5.0127e+005 8.8105e+004 3.9464e+005 1.1570e+005 2.7632e+004 1.6174e+003 7.3421e+002 2.8923e+003 3.1893e+003 2.2795e+003 1.2630e+003 5.8058e+002 2.2602e+002 7.4878e+001 2.0621e+001 4.5905e+000 8.1095e-001 1.2368e-001 2.0495e-002 4.2537e-003 1.1069e-003
          10 3.2661e+004 3.1718e+004 1.2873e+003 6.4414e+004 7.3148e+004 1.5521e+003 1.0881e+005 4.3168e+005 6.0833e+005 3.9882e+005 6.7184e+004 3.6604e+005 1.0733e+005 3.2087e+004 3.6058e+003 6.7247e+001 1.6533e+003 2.5434e+003 2.2729e+003 1.5763e+003 9.3834e+002 5.0713e+002 2.5627e+002 1.2405e+002 5.7485e+001 2.5417e+001 1.1360e+001 5.2638e+000 2.3857e+000
          11 4.5171e+003 3.0386e+004 6.8778e+003 1.6707e+004 7.1673e+004 4.0436e+004 3.7740e+003 1.6053e+005 4.3892e+005 5.2545e+005 3.1731e+005 5.0832e+004 3.4485e+005 9.6642e+004 3.5753e+004 5.9475e+003 1.0345e+002 6.7164e+002 1.6838e+003 1.8961e+003 1.5789e+003 1.1199e+003 7.1390e+002 4.1936e+002 2.2476e+002 1.0897e+002 5.1193e+001 2.4327e+001 1.1161e+001
          12 1.7325e+003 1.4878e+004 2.3076e+004 1.2580e-001 3.7073e+004 6.6559e+004 1.5653e+004 2.3661e+004 2.0851e+005 4.3076e+005 4.4527e+005 2.5153e+005 3.6749e+004 3.2982e+005 8.2634e+004 3.8457e+004 8.3260e+003 7.6394e+002 9.5111e+001 8.1611e+002 1.2303e+003 1.2108e+003 9.6240e+002 6.5931e+002 3.9082e+002 2.0081e+002 9.7177e+001 4.6858e+001 2.1650e+001
          13 1.4017e+004 2.5548e+003 2.8809e+004 9.9271e+003 8.2777e+003 5.6515e+004 4.9502e+004 1.3256e+003 5.8072e+004 2.4825e+005 4.0670e+005 3.6670e+005 1.9707e+005 2.3890e+004 3.2279e+005 6.5132e+004 4.0621e+004 1.0491e+004 1.9188e+003 5.3441e+001 1.7800e+002 5.1537e+002 6.2387e+002 5.3383e+002 3.5868e+002 1.9700e+002 9.8502e+001 4.8253e+001 2.2463e+001
          14 2.3996e+004 2.6891e+002 2.2198e+004 2.4161e+004 1.4720e+001 3.0344e+004 6.0232e+004 2.4312e+004 3.6386e+003 1.0060e+005 2.7262e+005 3.6602e+005 2.9042e+005 1.5211e+005 1.2485e+004 3.2916e+005 4.4256e+004 4.2940e+004 1.2275e+004 3.2996e+003 5.8242e+002 1.3779e+001 5.0585e+001 1.2862e+002 1.2824e+002 8.3738e+001 4.5232e+001 2.2962e+001 1.0868e+001
          15 2.4413e+004 4.2775e+003 1.1417e+004 2.9077e+004 5.5082e+003 9.3741e+003 4.7701e+004 4.4341e+004 4.6438e+003 2.3671e+004 1.4091e+005 2.7607e+005 3.1123e+005 2.1942e+005 1.1590e+005 3.5931e+003 3.5908e+005 2.1403e+004 4.5539e+004 1.3902e+004 4.6508e+003 1.4512e+003 3.5494e+002 6.4779e+001 7.3910e+000 3.2071e-001 8.1533e-003 5.1662e-002 4.3266e-002
          16 1.7925e+004 8.5313e+003 3.4783e+003 2.4315e+004 1.3224e+004 6.7220e+002 2.7599e+004 4.6826e+004 2.0523e+004 7.5279e+002 5.4973e+004 1.6898e+005 2.5742e+005 2.4740e+005 1.5669e+005 8.6861e+004 8.0353e+000 4.2747e+005 2.7151e+003 4.9019e+004 1.4637e+004 5.7600e+003 2.4650e+003 9.7370e+002 3.7407e+002 1.4503e+002 6.0117e+001 2.6778e+001 1.1902e+001
          17 1.0107e+004 9.9619e+003 2.7743e+002 1.5693e+004 1.6732e+004 7.5366e+002 1.1757e+004 3.6964e+004 3.0299e+004 3.1932e+003 1.4094e+004 8.7017e+004 1.7804e+005 2.1931e+005 1.8024e+005 1.0616e+005 6.0038e+004 4.5288e+003 5.5514e+005 8.3391e+003 5.6542e+004 1.5305e+004 5.7431e+003 2.7235e+003 1.2684e+003 5.6480e+002 2.5387e+002 1.1804e+002 5.3593e+001
          18 4.4672e+003 8.8597e+003 2.0609e+002 8.2503e+003 1.5725e+004 3.6731e+003 3.3995e+003 2.4228e+004 3.0607e+004 1.0566e+004 1.2810e+003 3.8343e+004 1.0965e+005 1.6632e+005 1.6950e+005 1.1767e+005 7.2028e+004 3.1450e+004 1.3596e+004 7.7521e+005 9.0389e+004 6.4687e+004 1.7765e+004 5.9875e+003 2.5642e+003 1.1306e+003 5.0977e+002 2.3780e+002 1.0818e+002
          19 1.5159e+003 6.7786e+003 1.1340e+003 3.6603e+003 1.2606e+004 5.9352e+003 4.4334e+002 1.4161e+004 2.5727e+004 1.4942e+004 2.8685e+002 1.4628e+004 6.3157e+004 1.1648e+005 1.3857e+005 1.1655e+005 7.1525e+004 4.8013e+004 7.7028e+003 1.2745e+004 1.0626e+006 3.1292e+005 5.9449e+004 2.4686e+004 7.8456e+003 2.8904e+003 1.1952e+003 5.3517e+002 2.3883e+002
          20 3.3634e+002 4.9200e+003 2.0059e+003 1.3875e+003 9.5585e+003 7.0184e+003 1.8852e+001 7.9106e+003 2.0280e+004 1.6319e+004 2.3522e+003 4.7555e+003 3.6121e+004 8.0787e+004 1.0933e+005 1.0585e+005 7.2354e+004 4.6220e+004 2.8622e+004 2.7276e+002 8.9974e+002 1.3704e+006 6.4412e+005 1.4598e+004 2.3295e+004 1.0832e+004 4.6820e+003 2.1144e+003 9.4491e+002
          21 1.1403e+001 3.4379e+003 2.5435e+003 3.8784e+002 6.9765e+003 7.1552e+003 4.5357e+002 4.1891e+003 1.5344e+004 1.5722e+004 4.4415e+003 1.0614e+003 2.0345e+004 5.5484e+004 8.4428e+004 9.0671e+004 6.9674e+004 4.4377e+004 3.0890e+004 8.4937e+003 5.7610e+003 4.5439e+003 1.7813e+006 8.5944e+005 2.5961e+004 1.5560e+002 1.2741e+003 1.0008e+003 5.4824e+002
          22 4.8403e+001 2.3001e+003 2.6853e+003 4.7019e+001 4.8778e+003 6.5593e+003 9.9915e+002 2.0588e+003 1.1110e+004 1.3808e+004 5.6283e+003 5.8037e+001 1.1101e+004 3.7259e+004 6.3110e+004 7.3490e+004 6.2446e+004 4.1287e+004 2.7550e+004 1.6983e+004 3.6185e+000 3.8942e+003 4.4003e+003 2.5900e+006 5.4590e+005 1.6767e+005 4.6755e+004 1.6225e+004 6.3098e+003
          23 1.7112e+002 1.4591e+003 2.4469e+003 2.8311e+000 3.2303e+003 5.4224e+003 1.3021e+003 9.2524e+002 7.6066e+003 1.1048e+004 5.6713e+003 6.3878e+001 5.8020e+003 2.4080e+004 4.4821e+004 5.5651e+004 5.1198e+004 3.5493e+004 2.2863e+004 1.7306e+004 3.0420e+003 2.5566e+003 7.4220e+000 1.9971e+004 3.8308e+006 6.4851e+003 5.0331e+004 3.2910e+004 1.6450e+004
          24 2.2921e+002 8.5034e+002 1.8798e+003 3.7830e+001 1.9561e+003 3.8994e+003 1.2220e+003 3.7561e+002 4.7421e+003 7.7596e+003 4.6202e+003 2.3724e+002 2.8432e+003 1.4401e+004 2.8929e+004 3.7701e+004 3.6727e+004 2.6563e+004 1.6932e+004 1.3172e+004 5.2617e+003 3.2919e+002 1.4193e+003 2.5739e+003 4.4254e+005 4.1684e+006 4.1952e+005 7.5095e+004 1.9791e+004
          25 1.7469e+002 4.1339e+002 1.0967e+003 4.6179e+001 9.7811e+002 2.1858e+003 7.9441e+002 1.3346e+002 2.4215e+003 4.2856e+003 2.7836e+003 2.3861e+002 1.2131e+003 7.1651e+003 1.5161e+004 2.0392e+004 2.0577e+004 1.5328e+004 9.7945e+003 7.4950e+003 4.0097e+003 3.5767e+000 1.0863e+003 8.6304e+001 5.4942e+003 2.0311e+006 2.7966e+006 6.4285e+005 2.1236e+005
          26 6.6284e+001 1.2931e+002 3.7381e+002 2.0302e+001 3.1029e+002 7.3183e+002 2.8341e+002 3.4957e+001 7.7623e+002 1.4252e+003 9.6176e+002 9.9031e+001 3.5494e+002 2.2699e+003 4.9235e+003 6.7203e+003 6.8892e+003 5.2045e+003 3.3375e+003 2.5203e+003 1.4861e+003 2.8572e+001 3.3817e+002 6.9222e+000 1.5957e+003 2.3000e+003 2.9270e+006 2.0884e+006 2.2731e+005
