   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 4.1503e+006 1.8584e+007 3.5928e+007 3.9543e+007 2.7435e+007 1.2517e+007 3.7917e+006 7.4990e+005 9.2136e+004 6.2931e+003 1.7571e+002 7.8172e-003 2.3000e+000 2.4324e+000 6.6603e-001 1.5535e-001 3.4866e-001 8.2644e-002 6.4358e-002 1.2096e-001 2.7477e-002 1.7890e-005 4.5135e-003 8.5354e-004
           1 1.1320e+007 2.7007e+007 1.6860e+007 2.0004e+005 1.2021e+007 3.0193e+007 2.6915e+007 1.2615e+007 3.3950e+006 5.1826e+005 4.0358e+004 1.1601e+003 1.1684e+000 1.8355e+000 1.1573e+000 8.4658e-001 5.2518e-002 2.8086e-001 9.7581e-003 1.2469e-001 3.8581e-002 5.8849e-005 4.2625e-003 8.4604e-004
           2 1.7742e+007 1.9647e+007 5.0133e+005 1.1539e+007 1.5365e+007 3.7002e+005 1.2046e+007 2.9348e+007 2.2736e+007 8.4299e+006 1.5872e+006 1.3698e+005 3.5181e+003 7.1907e-001 5.5395e+000 1.2450e+000 1.2393e+000 1.0199e-001 4.5319e-001 1.1753e-003 1.4398e-001 8.9079e-002 1.9809e-002 1.1654e-003
           3 2.1122e+007 8.2464e+006 3.8279e+006 1.3862e+007 2.1219e+005 1.1767e+007 1.0618e+007 4.2940e+005 1.9744e+007 2.9042e+007 1.5193e+007 3.5057e+006 3.2428e+005 6.3929e+003 6.4570e+001 1.2481e+001 6.0992e-001 1.7357e+000 4.7776e-002 7.0462e-001 5.3108e-002 5.1649e-002 7.9553e-002 9.9543e-003
           4 2.1325e+007 1.3415e+006 1.0607e+007 4.1288e+006 5.6739e+006 9.2697e+006 8.1679e+005 1.4344e+007 3.2133e+006 7.5385e+006 2.9070e+007 2.2272e+007 6.2488e+006 5.9138e+005 6.5111e+003 5.0411e+002 5.1469e+000 1.8898e+000 9.1071e-001 2.9475e-002 1.2964e-001 1.2763e-002 7.2552e-004 4.0730e-004
           5 1.9343e+007 1.1886e+005 1.1409e+007 6.0981e+003 1.0341e+007 2.8992e+005 9.7925e+006 2.6281e+006 7.1165e+006 1.0630e+007 7.0665e+005 2.3965e+007 2.8355e+007 9.5436e+006 8.5970e+005 1.7347e+003 1.8778e+003 1.0264e+001 2.5761e+000 5.3437e+000 6.7781e-001 1.7022e-002 7.3769e-002 9.1105e-003
           6 1.6315e+007 2.2283e+006 7.5725e+006 2.9145e+006 6.1037e+006 2.8903e+006 6.6075e+006 2.1326e+006 8.8899e+006 6.2491e+005 1.3229e+007 7.4852e+005 1.6776e+007 3.2889e+007 1.2947e+007 9.8374e+005 3.0137e+003 3.4599e+003 3.1204e+002 6.8440e+000 5.6622e+000 5.6697e+000 1.6859e+000 1.2583e-001
           7 1.3086e+007 5.1643e+006 3.1812e+006 6.6477e+006 1.0633e+006 7.2938e+006 4.5659e+005 7.8666e+006 4.2203e+005 8.7309e+006 1.0651e+006 9.8813e+006 4.5675e+006 1.0281e+007 3.6222e+007 1.5911e+007 8.0923e+005 4.4929e+004 1.7361e+003 1.3430e+003 2.6160e+002 2.2502e+001 4.2819e-001 9.0846e-004
           8 1.0132e+007 7.4743e+006 5.7302e+005 7.6481e+006 1.6701e+005 6.4263e+006 1.2814e+006 5.2561e+006 2.5657e+006 4.7216e+006 3.6749e+006 5.2791e+006 4.5903e+006 8.4579e+006 5.8381e+006 3.9332e+007 1.7743e+007 3.3349e+005 1.5583e+005 2.1757e+003 9.2403e+002 8.8703e+002 3.2480e+002 2.8437e+001
           9 7.6584e+006 8.6912e+006 2.7402e+004 6.1181e+006 2.2139e+006 2.8000e+006 4.7189e+006 7.3775e+005 6.2662e+006 1.9668e+004 7.1380e+006 2.1107e+005 8.0719e+006 9.8328e+005 1.0453e+007 3.5174e+006 4.3410e+007 1.7404e+007 2.3199e+003 2.3581e+005 4.6086e+004 3.4853e+003 6.3406e+001 1.4126e-001
