   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 9.9098e+006 7.6641e+005 4.4326e+003 4.5012e+002 4.5454e+002 2.9381e+001 3.7766e+001 2.0626e+000 5.9174e+000 3.2653e-001 1.1260e-001 7.2251e-002 3.9530e-003 2.0308e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 8.0306e+005 8.0315e+006 1.3276e+006 1.4961e+001 2.3406e+004 2.9718e+003 1.5435e+003 2.7833e+002 4.0397e+002 1.2264e+001 2.4594e+001 2.1763e+001 4.6551e+000 3.5644e-001 4.4907e-003 7.5906e-004 7.1369e-004 6.7620e-004 4.5557e-004
           2 6.2984e+004 1.6286e+006 5.3031e+006 9.6130e+005 1.3848e+005 7.7859e+004 9.0472e+003 7.0313e+003 4.4537e+003 1.5023e+000 6.8607e+002 4.6539e+002 9.3194e+001 4.2138e+000 4.6884e-001 8.8269e-001 4.2910e-001 3.4390e-001 2.1449e-001
           3 1.0584e+004 1.1118e+005 3.2514e+006 1.6989e+006 1.9827e+005 3.0728e+005 2.5642e+003 3.4423e+004 4.2378e+003 1.4148e+003 3.0254e+003 9.9177e+002 6.0847e+001 1.4731e+001 3.9539e+001 2.1720e+001 8.5247e+000 6.2600e+000 3.7072e+000
           4 5.3798e+002 4.8936e+004 1.5400e+005 4.7136e+006 3.9138e+005 1.5965e+005 1.9820e+005 1.0176e+002 1.4028e+004 4.9053e+003 1.1987e+001 6.5278e+002 6.6931e+002 2.9123e+002 8.5564e+001 2.0940e+001 6.1448e+000 3.8823e+000 2.0777e+000
           5 1.9601e+000 1.8614e+004 4.6010e+003 1.1326e+006 2.7066e+006 1.9727e+005 6.3013e+004 2.5780e+005 7.1561e+003 6.9716e+003 1.2267e+004 3.9916e+003 2.4533e+002 7.4251e+001 2.0357e+002 1.1611e+002 4.6306e+001 3.4296e+001 2.0429e+001
           6 3.8716e+001 4.1557e+000 6.3080e+004 1.1497e+002 2.2151e+006 1.8431e+006 1.7589e+004 4.1800e+004 2.3358e+005 4.7038e+003 1.9980e+003 7.4764e+003 4.2769e+003 1.2524e+003 2.4147e+002 3.9306e+001 9.1358e+000 4.9667e+000 2.3668e+000
           7 1.3260e+002 2.8843e+003 7.4425e+004 3.8281e+004 5.2486e+005 1.9870e+006 8.6076e+005 8.8431e+000 2.4135e+003 2.5065e+005 7.3376e+003 8.0240e+002 1.7516e+003 2.8522e+003 1.7585e+003 6.7329e+002 2.3806e+002 1.6645e+002 9.5546e+001
           8 3.6487e+001 6.4327e+002 9.1961e+003 4.7344e+003 5.7859e+003 8.7583e+005 1.5528e+006 4.7152e+005 1.2127e+004 3.1581e+003 3.5702e+005 2.3448e+003 5.7993e+003 6.7821e+001 7.6169e+002 4.8505e+002 1.9933e+002 1.4979e+002 9.0066e+001
           9 4.8224e+000 4.1996e+002 5.8070e+003 8.6640e+004 3.3559e+004 1.6815e+005 1.2188e+006 9.8676e+005 1.5033e+005 6.2484e+004 6.3337e+004 6.0541e+005 2.0577e+004 2.5416e+004 1.6282e+002 3.4728e+001 7.4887e+000 3.3892e+000 1.2909e+000
          10 1.6942e+000 7.6441e+001 8.9595e+002 5.6055e+003 1.7873e+003 1.2788e+003 3.8833e+004 5.1610e+004 1.7462e+004 1.4462e+002 6.0709e+003 4.5402e+004 4.9179e+005 2.0709e+006 8.7887e+006 5.8941e+006 4.3754e+005 1.1751e+005 3.1792e+004
          11 1.4695e+001 6.3118e+002 7.2075e+003 4.0872e+004 1.1912e+004 5.2992e+003 2.5396e+005 3.7384e+005 1.4275e+005 4.3700e+003 4.4841e+004 2.0540e+005 1.1911e+006 6.6525e+005 2.6728e+005 8.5987e+006 3.0528e+004 9.4655e+004 6.9920e+004
          12 7.2774e+000 3.0366e+002 3.4077e+003 1.8188e+004 4.9345e+003 1.5007e+003 1.0546e+005 1.6663e+005 6.8857e+004 3.4700e+003 1.8599e+004 5.7069e+004 1.7787e+005 6.1292e+004 8.4170e+005 2.7320e+006 9.5717e+006 1.0326e+006 3.8876e+005
