   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33
           0 2.2875e+007 2.8385e+006 7.5201e+004 3.9579e+002 3.0605e-002 1.4405e-001 2.4326e-002 5.2151e-002 3.8472e-002 3.2610e-003 1.1888e-003 5.3583e-006 1.5802e-007 1.0158e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.6025e+006 1.7536e+007 5.2730e+006 2.2655e+005 1.6240e+003 1.8895e-001 2.7242e-002 1.7385e-002 1.4492e-002 1.2812e-002 4.1121e-003 3.9067e-004 7.2366e-004 5.3917e-005 9.2778e-007 1.1281e-013 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.5648e+005 4.4614e+006 1.3010e+007 7.2945e+006 4.5150e+005 4.2155e+003 1.7555e-001 6.5876e-002 1.3189e-003 3.9703e-002 1.8784e-002 9.3923e-005 2.0757e-003 1.2497e-003 1.7325e-004 1.5345e-004 1.8125e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.5841e+004 6.9105e+005 5.6584e+006 9.2680e+006 8.9175e+006 7.4628e+005 8.5796e+003 3.3341e-001 2.2571e-001 2.6055e-002 2.3278e-002 5.3687e-002 1.4567e-002 3.8834e-004 1.9286e-003 2.9967e-007 1.8535e-005 1.0618e-005 7.3093e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 2.7192e+003 9.6843e+004 1.2314e+006 6.2735e+006 6.2635e+006 1.0151e+007 1.1066e+006 1.5178e+004 6.3543e-003 2.8654e-001 1.7228e-002 1.2121e-001 5.2054e-002 1.3153e-002 2.0095e-003 7.2866e-003 1.9958e-004 7.7225e-004 9.3214e-006 7.9790e-006 1.1745e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 3.0817e+002 1.3283e+004 2.2297e+005 1.8060e+006 6.4071e+006 3.9475e+006 1.1020e+007 1.5223e+006 2.4305e+004 8.2147e-001 8.8883e-001 6.2893e-006 1.3738e-003 2.0357e-002 9.1816e-003 1.1119e-004 1.6679e-004 9.6254e-005 5.9956e-005 1.6713e-004 1.1603e-005 3.5015e-006 1.5096e-006 3.6389e-010 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 3.7815e+001 1.9768e+003 3.7825e+004 4.0614e+005 2.3544e+006 6.1524e+006 2.2459e+006 1.1557e+007 1.9871e+006 3.5744e+004 9.3271e+000 1.5164e+000 3.2300e-003 6.9708e-002 2.9936e-002 2.2218e-002 4.0220e-003 6.3765e-003 7.8199e-004 1.1913e-003 9.1798e-006 3.7932e-005 4.7151e-006 5.5832e-007 1.0432e-006 3.4290e-007 7.6853e-008 1.8494e-008 6.6197e-009 3.5903e-009 1.9533e-009 1.0564e-009 5.7479e-010 3.1726e-010
           7 7.3063e+000 2.4953e+002 6.6819e+003 8.3829e+004 6.4198e+005 2.8227e+006 5.6100e+006 1.0870e+006 1.1795e+007 2.4883e+006 4.9385e+004 4.2648e+001 4.1657e+000 4.2060e-005 5.8877e-002 1.1487e-001 5.2308e-002 9.3290e-004 4.5970e-003 6.3555e-004 1.0608e-003 8.0684e-005 5.2169e-004 1.7979e-004 7.7014e-006 4.3940e-006 9.3041e-006 6.6913e-006 4.4328e-006 3.8464e-006 3.1506e-006 2.3829e-006 1.6722e-006 1.1044e-006
           8 1.7807e+000 3.2973e+001 1.0802e+003 1.7130e+004 1.5511e+005 9.1380e+005 3.1759e+006 4.8784e+006 3.8494e+005 1.1783e+007 3.0155e+006 6.3898e+004 1.4855e+002 6.3341e+000 5.4001e-002 4.5927e-002 1.2532e-002 2.9259e-002 2.1141e-003 5.0806e-003 8.2346e-004 2.0274e-003 2.7706e-004 1.2409e-009 5.1364e-006 3.4410e-007 2.6347e-007 5.7368e-007 5.3570e-007 5.6624e-007 5.3363e-007 4.4514e-007 3.3368e-007 2.2997e-007
           9 1.4654e-001 8.0578e+000 1.9179e+002 3.3628e+003 3.6807e+004 2.5777e+005 1.2086e+006 3.3865e+006 4.0402e+006 5.5782e+004 1.1561e+007 3.5540e+006 7.7987e+004 4.2980e+002 1.2048e+001 2.3564e-001 1.0178e-001 1.4852e-001 6.0981e-002 7.8863e-003 4.0218e-003 4.4511e-004 4.1055e-003 1.0040e-003 1.6974e-005 3.2267e-004 3.1904e-004 1.8745e-004 1.1407e-004 9.3678e-005 7.3547e-005 5.3901e-005 3.6994e-005 2.4071e-005
