   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63
           0 4.2175e+005 2.6593e+005 9.1267e+004 1.8270e+004 1.0570e+003 3.0835e+002 1.1766e+003 1.1974e+003 8.3394e+002 4.8201e+002 2.4517e+002 1.1252e+002 4.7919e+001 1.9646e+001 7.9883e+000 3.2301e+000 1.2676e+000 4.7004e-001 1.6539e-001 5.8338e-002 2.2462e-002 9.7392e-003 4.3469e-003 1.6789e-003 4.4666e-004 4.8711e-005 1.1558e-006 1.6033e-005 1.4323e-005 5.9330e-006 1.6868e-006 7.2134e-007 8.7410e-007 1.3593e-006 1.5120e-006 1.0568e-006 4.2522e-007 7.4881e-008 1.0503e-009 9.6906e-010 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.5723e+006 6.5154e+004 4.4136e+004 8.3839e+004 4.8016e+004 1.2325e+004 4.4343e+002 9.5445e+002 2.5351e+003 2.6145e+003 1.9464e+003 1.2286e+003 6.9546e+002 3.6110e+002 1.7409e+002 7.8566e+001 3.3451e+001 1.3652e+001 5.5248e+000 2.3255e+000 1.0481e+000 4.9015e-001 2.1613e-001 7.8625e-002 1.9709e-002 2.3041e-003 1.9000e-006 1.0341e-004 5.5573e-006 1.0321e-004 3.2669e-004 3.3887e-004 1.6516e-004 2.5725e-005 2.5446e-006 2.8736e-005 3.7149e-005 2.2654e-005 7.0122e-006 6.3732e-007 7.6514e-008 3.2170e-007 1.4004e-007 6.4134e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.5011e+006 8.3132e+005 4.4384e+005 1.7876e+004 1.2705e+004 3.3514e+004 2.5281e+004 7.4942e+003 9.5733e+001 1.8023e+003 4.0968e+003 4.0644e+003 2.9114e+003 1.8467e+003 1.1457e+003 6.9845e+002 3.9616e+002 1.9753e+002 8.4723e+001 3.2330e+001 1.2208e+001 5.3073e+000 2.8379e+000 1.6809e+000 9.3113e-001 4.2306e-001 1.4236e-001 3.0633e-002 2.6753e-003 3.3037e-005 4.1619e-004 1.9803e-004 3.3283e-006 7.3505e-005 2.1148e-004 2.6302e-004 2.1657e-004 1.2757e-004 5.0052e-005 8.8832e-006 9.2273e-008 5.7195e-006 1.0393e-005 9.1827e-006 4.9327e-006 1.5459e-006 2.0507e-007 1.5144e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.5574e+006 5.4497e+006 1.2160e+005 6.8514e+005 1.1259e+005 9.1847e+002 4.7183e+003 1.1372e+004 1.2255e+004 5.0087e+003 2.7654e+001 2.5742e+003 5.8970e+003 5.7370e+003 3.8181e+003 2.2102e+003 1.3193e+003 8.6101e+002 5.7766e+002 3.5997e+002 1.9251e+002 8.4166e+001 2.9404e+001 8.4600e+000 2.4389e+000 1.1126e+000 9.6542e-001 1.0241e+000 9.1434e-001 5.9438e-001 2.5361e-001 5.3873e-002 3.9325e-004 1.0919e-002 2.1110e-002 1.6194e-002 6.4868e-003 9.1106e-004 7.4779e-005 9.3068e-004 1.3571e-003 1.0564e-003 5.2675e-004 1.5786e-004 1.6189e-005 2.4757e-006 1.8214e-005 2.2333e-005 1.4611e-005 5.6200e-006 9.8251e-007 1.0694e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.7329e+006 1.0125e+007 7.2182e+006 1.8571e+005 8.2225e+005 3.1263e+005 6.9054e+003 2.6079e+003 1.3830e+003 1.8413e+003 4.1670e+003 2.8586e+003 2.7561e+001 2.4230e+003 6.7502e+003 7.5110e+003 5.1925e+003 2.6993e+003 1.2825e+003 7.0416e+002 4.9963e+002 4.0131e+002 2.9801e+002 1.7971e+002 8.1777e+001 2.6185e+001 5.2374e+000 5.1537e-001 2.8608e-002 5.4879e-002 2.7719e-001 6.1163e-001 7.7109e-001 6.4260e-001 3.6323e-001 1.2445e-001 1.3495e-002 4.1583e-003 2.9429e-002 4.3431e-002 3.6817e-002 2.0776e-002 7.4117e-003 1.1091e-003 2.9901e-005 7.6726e-004 1.2495e-003 1.0712e-003 6.0829e-004 2.3148e-004 5.0184e-005 2.3989e-006 1.5835e-006 3.6970e-006 1.7823e-006 1.5543e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 5.1252e+005 7.0834e+006 1.8675e+007 5.2973e+006 1.6588e+006 4.5219e+005 6.9330e+005 6.8924e+004 4.8420e+003 6.8859e+003 3.3825e+002 1.5545e+001 5.6195e+002 7.7437e+002 5.8127e-001 2.0150e+003 6.2417e+003 8.0373e+003 6.2926e+003 3.4843e+003 1.5481e+003 6.6786e+002 3.6177e+002 2.7413e+002 2.4416e+002 2.0387e+002 1.3982e+002 7.3004e+001 2.6584e+001 5.4802e+000 2.2796e-001 1.6544e-001 2.8627e-001 5.4229e-002 3.9575e-002 3.0744e-001 5.4425e-001 5.4930e-001 3.7197e-001 1.6656e-001 3.8092e-002 1.7709e-004 1.3304e-002 3.4627e-002 4.2558e-002 3.6003e-002 2.3032e-002 1.1225e-002 3.8903e-003 7.3235e-004 5.8999e-006 1.4019e-004 3.1360e-004 3.1737e-004 2.1708e-004 1.1084e-004 4.3078e-005 1.2462e-005 2.5201e-006 3.1512e-007 1.9109e-008 2.9109e-010 2.7431e-012 4.1021e-012
           6 7.9666e+003 1.1267e+006 1.1699e+007 2.1707e+007 2.3846e+006 3.2664e+006 3.8202e+004 8.2560e+005 2.6365e+005 1.2134e+003 1.4104e+004 4.3972e+003 3.0809e+000 2.4401e+002 1.5921e+000 5.5038e+001 1.6575e+002 2.2766e+003 5.9050e+003 7.7607e+003 6.6183e+003 4.0876e+003 1.9712e+003 8.2238e+002 3.6084e+002 2.1370e+002 1.7837e+002 1.6828e+002 1.4486e+002 1.0210e+002 5.5621e+001 2.1852e+001 5.2010e+000 3.3268e-001 1.4442e-001 5.0152e-001 3.7135e-001 8.5966e-002 4.7994e-003 1.3306e-001 2.8962e-001 3.3815e-001 2.6865e-001 1.5019e-001 5.2930e-002 6.3553e-003 1.7058e-003 1.5117e-002 2.7294e-002 3.0505e-002 2.5917e-002 1.7997e-002 1.0511e-002 5.1937e-003 2.1411e-003 7.0463e-004 1.6449e-004 1.7703e-005 3.1156e-007 7.3310e-006 1.0586e-005 8.4002e-006 4.3865e-006 2.0035e-006
           7 2.1277e+004 2.0538e+004 1.2345e+006 1.5583e+007 2.3056e+007 6.5555e+005 4.2421e+006 9.4744e+004 6.6949e+005 5.0554e+005 4.0786e+004 9.0208e+003 1.3892e+004 1.0777e+003 7.3591e+002 9.8242e+002 1.4868e+002 2.9387e+001 4.6004e+002 2.4826e+003 5.5904e+003 7.3920e+003 6.6704e+003 4.4282e+003 2.2771e+003 9.7028e+002 3.9293e+002 1.9180e+002 1.3566e+002 1.2618e+002 1.2217e+002 1.0555e+002 7.5722e+001 4.3045e+001 1.8063e+001 4.6673e+000 3.1599e-001 1.8983e-001 7.5669e-001 7.6368e-001 3.8331e-001 7.0586e-002 4.5354e-003 9.7010e-002 1.9649e-001 2.2214e-001 1.7761e-001 1.0546e-001 4.3971e-002 9.5880e-003 1.0737e-005 4.5573e-003 1.2820e-002 1.8600e-002 2.0030e-002 1.7940e-002 1.4076e-002 9.9671e-003 6.4960e-003 3.9496e-003 2.2444e-003 1.1553e-003 4.9370e-004 2.0768e-004
           8 3.2655e+002 4.0622e+004 5.7627e+004 1.6087e+006 1.9556e+007 2.2965e+007 2.3871e+004 4.3077e+006 5.7057e+005 3.5987e+005 6.6333e+005 1.5133e+005 4.5383e+001 1.9233e+004 7.4020e+003 3.8340e+000 1.9711e+003 1.6330e+003 4.9249e+002 2.5125e+002 8.0343e+002 2.6658e+003 5.3084e+003 6.8785e+003 6.3696e+003 4.4815e+003 2.4964e+003 1.1448e+003 4.6380e+002 1.9441e+002 1.0770e+002 8.8157e+001 8.9477e+001 8.9571e+001 7.8137e+001 5.6436e+001 3.2642e+001 1.4289e+001 4.0656e+000 3.8673e-001 1.0284e-001 6.8134e-001 9.4084e-001 7.4326e-001 3.7534e-001 1.0030e-001 1.9010e-003 2.7431e-002 8.7150e-002 1.2138e-001 1.1563e-001 8.4075e-002 4.7390e-002 1.9470e-002 4.4951e-003 4.9894e-005 1.4101e-003 4.4606e-003 6.7810e-003 7.5002e-003 6.6713e-003 4.7298e-003 2.4459e-003 1.1253e-003
           9 5.1526e+003 2.2970e+004 1.7224e+003 4.8778e+004 1.8967e+006 2.2846e+007 2.2825e+007 9.4093e+004 3.8192e+006 1.1731e+006 1.1395e+005 6.7498e+005 2.9405e+005 1.2887e+004 1.3436e+004 1.5980e+004 1.7224e+003 1.0289e+003 3.1857e+003 2.0404e+003 7.4734e+002 5.0253e+002 1.1302e+003 2.8342e+003 5.0295e+003 6.3201e+003 5.9374e+003 4.3509e+003 2.5622e+003 1.2454e+003 5.2201e+002 2.0898e+002 9.7886e+001 6.6210e+001 6.2832e+001 6.6846e+001 6.6768e+001 5.7762e+001 4.1810e+001 2.4592e+001 1.1117e+001 3.3259e+000 3.4760e-001 8.3825e-002 6.5469e-001 1.0359e+000 9.8639e-001 6.7329e-001 3.3349e-001 1.0536e-001 1.0488e-002 4.5584e-003 3.2027e-002 5.5848e-002 6.2524e-002 5.4256e-002 3.8970e-002 2.3724e-002 1.2261e-002 5.2998e-003 1.8624e-003 5.1915e-004 1.2101e-004 3.3795e-005
