   v'->v''           0           1           2           3           4           5           6           7
           0 4.2609e+006 2.1482e+004 1.2429e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.5774e+005 4.1848e+006 4.2559e+004 6.1028e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 4.6994e+003 2.6682e+005 4.1027e+006 6.1038e+004 1.7508e+003 4.9535e+000 0.0000e+000 0.0000e+000
           3 1.6000e+002 1.5442e+004 3.2061e+005 4.0051e+006 7.2633e+004 3.9116e+003 7.7935e+001 0.0000e+000
