   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 4.1597e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.9141e+003 2.5654e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 3.0689e+002 2.6294e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 4.2098e+001 6.5693e+002 5.2425e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 4.1638e+002 2.8304e+003 1.7494e+003 1.2884e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 3.4485e+001 6.5055e+002 1.9294e+003 1.0099e+001 1.0931e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 5.0097e+002 5.8466e+003 1.4137e+004 4.5714e+003 1.1345e+003 1.0330e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 3.3443e+002 3.6244e+003 7.8864e+003 2.3933e+003 4.1656e+001 3.9413e+003 2.2441e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 3.6760e+001 2.1561e+002 8.0706e+001 1.2782e+002 7.8478e+001 5.2857e+002 7.9275e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 7.2932e+001 1.5160e+003 6.6277e+003 5.9696e+003 1.8886e+002 1.6366e-001 1.6888e+003 5.0492e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 3.3820e+002 5.4773e+003 1.8771e+004 1.2746e+004 3.4923e+001 3.8864e+002 7.5145e+001 6.9079e+003 6.4512e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 4.5528e+002 6.8312e+003 2.1304e+004 1.2333e+004 5.3436e+001 1.0785e+003 5.2549e+000 2.1378e+003 3.9883e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 3.6277e+002 5.1650e+003 1.4981e+004 7.3956e+003 2.9674e+002 1.2215e+003 8.5051e+000 3.0939e+002 5.1163e+003 2.2612e+001 0.0000e+000 0.0000e+000 0.0000e+000
          13 2.0876e+002 2.8385e+003 7.6733e+003 3.1544e+003 4.1049e+002 8.2232e+002 6.5418e+000 3.1341e+001 2.8641e+003 6.7976e+002 0.0000e+000 0.0000e+000 0.0000e+000
          14 9.9501e+001 1.3020e+003 3.3002e+003 1.1214e+003 3.2211e+002 4.1092e+002 2.2990e+000 4.0640e+000 1.1985e+003 9.2295e+002 1.9859e-002 0.0000e+000 0.0000e+000
          15 4.9896e+001 6.3477e+002 1.5294e+003 4.3941e+002 2.1567e+002 2.0649e+002 6.5631e-001 1.0977e+000 5.3675e+002 7.3245e+002 1.6244e+000 5.9855e-003 0.0000e+000
          16 2.5026e+001 3.1216e+002 7.2460e+002 1.8184e+002 1.2890e+002 1.0249e+002 1.6950e-001 4.5845e-001 2.4838e+002 4.6826e+002 2.0505e+000 5.4230e-001 3.0161e-006
