   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 4.7565e+007 1.8825e+008 3.1733e+008 2.9970e+008 1.7506e+008 6.5689e+007 1.5874e+007 2.3988e+006 2.1038e+005 8.9778e+003 8.8118e+001 9.0301e+000 1.7058e+001 1.1566e+001 4.2789e-001 2.8699e+000 4.2266e-001 1.4173e+000 2.7051e-002 3.8375e-001 4.8585e-001 2.0183e-001 4.4432e-002 2.7984e-003
           1 1.1763e+008 2.2488e+008 8.8378e+007 6.4569e+006 1.6266e+008 2.5633e+008 1.6944e+008 5.9903e+007 1.1850e+007 1.2475e+006 5.8258e+004 6.1730e+002 5.8251e+000 3.7780e+000 3.3725e+000 2.1177e+000 5.5847e-004 8.8093e-001 1.6003e-002 2.5647e-001 2.1006e-001 3.7073e-002 5.4349e-004 4.6770e-005
           2 1.6848e+008 1.2614e+008 2.1479e+006 1.3245e+008 7.7998e+007 8.9390e+006 1.7308e+008 2.3512e+008 1.2518e+008 3.2397e+007 4.0310e+006 1.9558e+005 1.3497e+003 4.7894e+001 2.4705e+000 9.8052e-001 1.6868e+000 8.5285e-002 4.9784e-001 2.0875e-003 1.7471e-001 1.0924e-001 2.4982e-002 1.5074e-003
           3 1.8465e+008 3.2583e+007 6.7489e+007 8.2539e+007 9.0198e+006 1.2611e+008 3.0906e+007 5.1651e+007 2.2408e+008 1.9042e+008 6.4786e+007 9.3737e+006 4.4740e+005 1.0459e+003 2.9901e+002 2.6650e+000 3.0231e+000 4.8236e+000 7.7819e-002 1.4498e+000 3.8996e-001 1.5353e-002 1.1501e-001 1.7887e-002
           4 1.7271e+008 1.9617e+005 1.0313e+008 5.2842e+006 8.4328e+007 3.0762e+007 4.9819e+007 1.0114e+008 3.0467e+005 1.5588e+008 2.3491e+008 1.0600e+008 1.7483e+007 7.5703e+005 5.2356e+001 9.8624e+002 3.2759e+000 6.2956e+000 7.5794e+000 2.0703e+000 7.3177e-001 1.3279e+000 4.3167e-001 3.0699e-002
           5 1.4590e+008 1.3467e+007 7.6745e+007 1.4525e+007 7.1570e+007 8.5602e+006 8.5239e+007 2.3016e+005 1.0556e+008 2.4936e+007 7.6285e+007 2.4952e+008 1.5105e+008 2.7612e+007 9.4600e+005 1.0180e+004 1.6037e+003 1.3480e+002 2.4815e+001 4.9392e+000 6.3342e+000 3.2440e-001 9.4278e-002 2.8388e-002
           6 1.1518e+008 4.1493e+007 3.2982e+007 5.3418e+007 1.6732e+007 5.8606e+007 1.5131e+007 6.0790e+007 2.6697e+007 5.4733e+007 7.3220e+007 2.0943e+007 2.3819e+008 1.9536e+008 3.7942e+007 7.8322e+005 6.4409e+004 4.3201e+002 6.9518e+002 1.4682e+002 3.1574e+000 1.1624e+000 9.0369e-001 8.3456e-002
           7 8.6876e+007 6.4500e+007 5.5720e+006 6.7270e+007 6.0966e+005 6.0877e+007 6.3242e+006 5.8243e+007 1.0868e+007 6.6837e+007 9.3601e+006 9.9743e+007 4.9308e+005 2.1274e+008 2.3658e+008 4.5642e+007 2.5704e+005 1.8709e+005 3.3831e+003 5.6066e+002 5.2837e+002 1.5757e+002 3.6134e+001 2.7072e+000
           8 6.3558e+007 7.5958e+007 4.5536e+005 5.2788e+007 1.9697e+007 2.5823e+007 4.0560e+007 9.7210e+006 5.5269e+007 3.1065e+006 6.8867e+007 1.6879e+006 9.2866e+007 5.9654e+006 1.8626e+008 2.7460e+008 4.7103e+007 5.8912e+004 2.8095e+005 4.4193e+004 1.7167e+003 4.6030e+001 1.5405e+002 2.0140e+001
           9 4.5589e+007 7.6920e+007 9.3865e+006 2.8663e+007 4.0947e+007 2.0895e+006 5.0282e+007 3.3961e+006 4.2407e+007 1.8737e+007 3.0539e+007 3.8799e+007 2.2266e+007 6.5689e+007 2.1611e+007 1.6929e+008 3.0985e+008 3.8665e+007 1.8852e+006 1.1072e+005 1.2171e+005 3.4207e+004 7.0358e+003 4.9050e+002
          10 3.2308e+007 7.0971e+007 2.2621e+007 9.7578e+006 4.7105e+007 3.2797e+006 3.1367e+007 2.6131e+007 8.5039e+006 4.5548e+007 1.2116e+004 5.1019e+007 9.2118e+006 4.5983e+007 3.6277e+007 3.4647e+007 1.7006e+008 3.3942e+008 1.9398e+007 6.9159e+006 1.9327e+005 2.5696e+004 3.9787e+004 4.7410e+003
          11 2.2755e+007 6.1604e+007 3.3935e+007 9.8285e+005 3.9406e+007 1.6874e+007 9.5863e+006 3.8986e+007 9.1065e+005 3.3546e+007 1.9452e+007 1.2777e+007 4.4418e+007 7.1061e+004 5.6532e+007 1.5336e+007 3.8272e+007 1.9856e+008 3.4788e+008 9.6029e+005 9.5140e+006 2.7148e+006 4.7757e+005 2.9696e+004
          12 1.5996e+007 5.1299e+007 4.0839e+007 6.8225e+005 2.5935e+007 2.8687e+007 2.4889e+005 3.2508e+007 1.4165e+007 9.5278e+006 3.5969e+007 7.3103e+005 3.2663e+007 2.2247e+007 8.7133e+006 5.2319e+007 4.4525e+006 3.0113e+007 2.6959e+008 2.9915e+008 1.5148e+007 1.4754e+006 2.4280e+006 2.8440e+005
