   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 1.2150e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 8.7514e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.2774e+002 1.0503e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 9.6839e+003 6.5611e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 4.2370e+003 2.2937e+003 1.3084e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 2.2484e+002 1.2810e+004 4.5010e+004 4.3833e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 3.8573e+002 1.4865e+004 3.9182e+003 1.8259e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 2.5558e+002 1.3909e+003 1.2407e+004 2.6594e+004 4.4940e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 4.7654e-001 9.7330e+002 2.2895e+004 2.3343e+003 1.8927e+004 5.3719e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 5.4041e+001 1.9055e+003 7.4042e+003 5.8075e+003 1.3680e+004 7.5365e+003 2.0750e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 4.9345e+001 6.5798e+002 9.0825e+001 1.5804e+004 1.6989e+003 1.2470e+004 1.7614e+003 2.5457e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 1.3746e+001 3.9464e+001 9.7582e+002 1.2151e+004 5.0060e+002 7.9475e+003 4.4862e+003 2.2980e+002 5.9533e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
