   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 2.8093e+006 2.3408e+007 8.9999e+007 2.1211e+008 3.4213e+008 3.9805e+008 3.4155e+008 2.1659e+008 9.9705e+007 3.1852e+007 6.4295e+006 6.6354e+005 1.7467e+004 2.7523e+002 1.0250e+002 2.5843e+000 4.4085e-001 8.0034e-001 2.3592e-001
           1 1.1955e+007 7.4874e+007 1.9608e+008 2.6581e+008 1.7286e+008 2.2616e+007 3.3375e+007 2.0181e+008 3.0790e+008 2.4222e+008 1.0889e+008 2.6058e+007 2.4355e+006 1.4798e+004 5.8205e+003 4.6998e+000 2.2787e+000 1.8882e+000 4.2690e-001
           2 2.8867e+007 1.3361e+008 2.2352e+008 1.3512e+008 3.5569e+006 7.8306e+007 1.8429e+008 7.9744e+007 4.7810e+006 1.6428e+008 2.9119e+008 1.9516e+008 5.3241e+007 3.5261e+006 2.9813e+004 1.2934e+004 3.0903e+003 4.5783e+002 3.2594e+001
           3 5.2029e+007 1.7400e+008 1.6673e+008 1.8166e+007 5.2387e+007 1.4967e+008 3.8203e+007 3.2432e+007 1.5759e+008 5.9712e+007 2.6331e+007 2.4207e+008 2.5678e+008 7.2413e+007 1.5961e+006 4.9056e+005 7.8781e+003 1.0247e+003 3.3664e+002
           4 7.7890e+007 1.8263e+008 8.0995e+007 7.4711e+006 1.2317e+008 5.7135e+007 1.7885e+007 1.2689e+008 2.8112e+007 5.2507e+007 1.3633e+008 2.3776e+006 1.7372e+008 2.9370e+008 6.7014e+007 3.6799e+005 5.8735e+005 2.3608e+005 2.2790e+004
           5 1.0250e+008 1.6173e+008 1.8989e+007 5.8313e+007 1.0105e+008 5.5376e+003 9.6549e+007 4.5937e+007 2.9918e+007 1.0694e+008 1.4046e+005 1.1754e+008 3.0808e+007 1.3959e+008 3.1530e+008 2.8849e+007 8.7279e+006 5.2818e+005 1.1736e+004
           6 1.2267e+008 1.2295e+008 1.3725e+004 9.8495e+007 3.5898e+007 3.7074e+007 8.4377e+007 1.6877e+006 9.6141e+007 8.9452e+006 7.8357e+007 3.4678e+007 6.4951e+007 4.7487e+007 1.6117e+008 2.9139e+008 6.2374e+005 5.2013e+006 9.1770e+005
           7 1.3656e+008 7.9772e+007 1.4850e+007 9.7346e+007 9.1694e+005 8.2053e+007 2.0560e+007 5.2804e+007 4.7140e+007 2.8709e+007 6.4876e+007 1.9049e+007 6.9082e+007 3.0106e+007 3.3967e+007 2.5561e+008 1.4000e+008 4.9209e+007 3.6250e+006
           8 1.4367e+008 4.2514e+007 4.3267e+007 6.5780e+007 1.2469e+007 7.7391e+007 1.2551e+006 7.8827e+007 3.1119e+005 7.6067e+007 1.2943e+006 7.5733e+007 7.1190e+003 7.3781e+007 1.5922e+007 3.7334e+006 3.6228e+008 1.8066e+006 1.1234e+006
           9 1.4451e+008 1.6583e+007 6.7897e+007 2.8986e+007 4.4178e+007 3.9089e+007 3.0990e+007 4.4781e+007 2.5414e+007 4.3888e+007 2.8878e+007 3.2164e+007 4.6119e+007 6.6385e+006 6.3394e+007 9.0652e+006 3.1191e+007 1.5163e+008 2.5982e+007
