   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23
           0 1.4071e+007 1.7962e+005 5.1256e+001 2.0201e-001 5.0148e-003 3.1787e-002 6.1396e-002 1.1833e-002 9.1381e-006 2.9386e-003 4.1973e-004 8.1422e-004 2.5695e-005 2.0319e-004 1.2478e-005 1.4740e-005 1.0992e-005 6.1944e-007 5.0099e-008 7.3576e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.7375e+005 1.3463e+007 3.6658e+005 1.7746e+002 1.3626e-001 8.1576e-003 5.0729e-002 7.6503e-003 5.7145e-004 2.1128e-003 1.1686e-004 4.6815e-004 2.2738e-006 2.2522e-005 5.1269e-006 9.9200e-006 1.1253e-008 2.1253e-006 1.1096e-006 7.2611e-008 8.0177e-009 1.1494e-008 1.7038e-009 2.7521e-011
           2 8.5366e+003 5.3666e+005 1.2847e+007 5.6457e+005 3.9157e+002 1.9845e+000 4.9701e-001 2.4716e-001 3.1826e-004 6.2411e-004 1.6644e-002 3.3571e-004 2.9147e-003 3.9283e-005 3.4040e-004 2.4145e-006 1.1606e-004 4.7402e-005 3.2895e-007 1.3110e-005 8.6911e-006 1.9047e-006 1.1076e-007 6.1490e-009
           3 3.7955e+002 2.5661e+004 7.9301e+005 1.2234e+007 7.6427e+005 4.7585e+002 2.8658e+001 4.1185e+000 9.1225e-002 6.4984e-002 3.6639e-002 5.7102e-002 7.7880e-003 6.8690e-003 5.8307e-004 1.0234e-003 1.2673e-004 2.8969e-004 3.2358e-004 2.8475e-005 1.6948e-005 4.4160e-005 2.8658e-005 1.0800e-005
           4 1.3720e+001 1.5562e+003 5.1451e+004 1.0273e+006 1.1674e+007 9.4322e+005 1.6880e+002 1.5227e+002 4.8161e+000 1.2293e+000 2.5014e-001 4.0261e-001 7.9735e-002 4.2571e-002 4.9179e-003 1.5007e-003 1.2921e-003 4.0623e-004 3.1411e-004 7.0968e-004 2.1048e-004 1.4489e-006 2.8926e-005 3.9414e-005
           5 3.4292e+000 1.0517e+002 3.7906e+003 8.6372e+004 1.2048e+006 1.1223e+007 1.0839e+006 5.5597e+001 3.1876e+002 2.6755e+000 1.1233e+001 7.3100e-002 1.5373e+000 1.7746e-002 8.2922e-002 1.7452e-002 3.2042e-004 2.7651e-004 7.4571e-004 4.7758e-004 6.1254e-005 1.0576e-005 5.3627e-005 4.3205e-005
           6 6.9721e-002 1.0246e+001 3.6134e+002 7.1389e+003 1.3031e+005 1.3002e+006 1.0879e+007 1.2045e+006 7.1155e+002 1.9037e+002 8.5935e+001 7.2541e+000 1.0502e+001 8.1965e-001 1.3320e+000 4.3624e-002 7.8427e-002 1.0520e-001 2.2963e-002 7.5014e-004 1.1236e-002 9.6409e-003 3.5104e-003 6.7269e-004
           7 4.0478e-002 8.7810e-002 3.5206e+001 8.4033e+002 1.2036e+004 1.8076e+005 1.3429e+006 1.0517e+007 1.3714e+006 5.1888e+002 1.2940e-002 1.4774e+002 1.5035e+001 1.8700e+001 5.1685e+000 4.0383e-001 2.1646e+000 5.4589e-001 3.5194e-002 2.9745e-001 1.8703e-001 3.7759e-002 5.8209e-004 2.1988e-003
           8 4.0660e-001 4.8779e-001 1.8944e+000 1.1698e+002 1.5267e+003 2.0660e+004 2.3089e+005 1.4357e+006 9.9900e+006 1.6185e+006 1.7836e+001 9.2650e+000 9.7324e+000 7.1494e+001 8.4182e-001 1.1382e+001 6.0066e+000 1.9081e-002 1.8489e+000 1.2720e+000 2.1415e-001 8.4188e-004 6.0371e-002 7.2960e-002
           9 2.0808e-003 2.7869e-001 9.4216e-001 9.8783e+000 3.1308e+002 2.4370e+003 3.6801e+004 2.7117e+005 1.6399e+006 9.4334e+006 1.8123e+006 4.4955e+002 1.3652e+002 5.5447e+000 2.0586e+001 1.6504e+001 2.6434e-002 5.6926e+000 3.6402e+000 2.0412e-001 2.2245e-001 5.4581e-001 4.3928e-001 2.2596e-001
          10 1.5849e-001 1.6575e-002 2.6439e-001 1.7302e+000 4.0554e+001 5.8738e+002 4.0100e+003 5.7192e+004 3.0509e+005 1.7539e+006 9.1200e+006 1.8987e+006 4.1809e+003 3.7454e+002 4.0823e-001 3.7047e+000 1.5456e+001 5.9101e+000 4.9845e-001 3.7545e+000 2.2465e+000 5.1495e-001 3.0132e-002 6.4702e-003
