   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 5.4472e+005 5.8321e+001 3.2813e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.9985e+002 6.3465e+005 2.2351e+003 5.0966e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 6.2204e+003 1.4479e+004 8.5238e+005 1.4475e+004 1.4656e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 1.4229e+001 2.4194e+004 5.7228e+004 1.0752e+006 2.9423e+004 8.3572e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.7893e+002 4.1915e+003 8.4294e+003 4.3456e+004 1.1329e+006 4.0112e+004 4.2866e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.4679e+002 2.9844e+003 4.2690e+004 5.1807e+003 1.6610e+004 1.1851e+006 5.4630e+004 7.5606e+000 1.2709e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 2.0323e+002 1.6234e+003 2.3573e+003 2.8799e+004 1.7424e+004 3.9433e+003 1.2102e+006 7.0604e+004 1.0118e+000 1.6980e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 2.6794e+000 3.8073e+002 7.8509e+003 3.5970e+004 4.2058e+003 2.5453e+004 1.2813e+001 1.2312e+006 9.0062e+004 3.5451e+001 3.7317e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 5.6186e+001 2.2076e+003 9.5772e+003 4.2476e+003 2.9667e+004 5.8340e+002 2.2261e+004 4.7874e+003 1.2294e+006 1.1402e+005 1.4615e+002 4.4844e+000 1.4439e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 6.8669e+001 1.1615e+003 9.2310e+002 3.1783e+003 2.2572e+004 1.1057e+004 6.3826e+003 1.5607e+004 2.0207e+004 1.1761e+006 1.4260e+005 3.4686e+002 3.2275e+000 6.9033e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
