   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34
           0 3.4618e+006 1.4656e+004 1.0846e+001 1.6581e-004 1.8188e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 5.4952e+003 3.4788e+006 3.4389e+004 4.5064e+001 8.6400e-003 1.4164e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.0578e-001 1.4155e+004 3.4859e+006 6.0401e+004 1.3476e+002 2.5099e-002 1.0233e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 6.2534e-005 4.8267e+000 2.7155e+004 3.4807e+006 9.3486e+004 3.3730e+002 1.4747e-001 3.3039e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 4.0830e-001 1.4936e-001 2.5342e+001 4.5025e+004 3.4593e+006 1.3647e+005 7.5546e+002 1.2106e+000 1.9876e-002 2.4874e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 7.9411e-001 8.4913e-002 2.4777e+000 8.3836e+001 7.1188e+004 3.4109e+006 1.9366e+005 1.6604e+003 6.8917e+000 1.0947e-001 4.0770e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 8.0504e-001 8.3489e-002 1.1644e+000 2.4341e+000 2.4414e+002 1.1078e+005 3.3225e+006 2.7015e+005 3.6890e+003 3.1319e+001 4.7533e-001 1.9404e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 1.4474e-003 1.3419e+000 1.5274e-001 3.5820e+000 3.7057e-001 6.9484e+002 1.7013e+005 3.1732e+006 3.7329e+005 8.3289e+003 1.2938e+002 2.3007e+000 1.2503e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 5.2462e-001 6.5586e-005 5.0273e-001 2.0777e-001 2.2473e+000 9.6649e-002 1.8246e+003 2.6092e+005 2.9172e+006 5.1400e+005 1.9522e+004 5.4212e+002 1.2644e+001 2.8359e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 2.4756e-002 1.5524e-001 1.8692e-002 2.9399e-001 5.6936e-001 3.9621e-001 6.9835e+000 4.5601e+003 4.1043e+005 2.4575e+006 7.0092e+005 4.8106e+004 2.3728e+003 7.8743e+001 4.4715e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 3.8957e-001 6.8210e-004 3.0800e-002 7.8333e-001 6.2791e-001 4.8391e-001 3.8980e+000 8.1120e+001 1.2471e+004 6.6980e+005 1.6360e+006 8.8645e+005 1.1762e+005 1.0142e+004 4.9349e+002 5.1281e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 5.0902e-002 3.4039e-004 2.2293e-002 1.4146e+000 3.0415e-001 1.7417e-001 7.2454e-001 4.6102e+000 4.8285e+002 4.4380e+004 1.0593e+006 5.3349e+005 8.2209e+005 2.2099e+005 3.1540e+004 2.0890e+003 2.6859e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 7.9956e-002 1.0232e-001 1.5091e-003 1.6239e-001 2.9777e+000 4.6609e-002 1.4989e-001 1.0080e+000 1.7632e+001 2.7158e+003 1.9336e+005 1.3084e+006 8.1279e+002 3.8666e+005 2.2934e+005 5.0217e+004 3.9872e+003 4.3685e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 3.3095e-001 2.7596e-001 3.2143e-001 3.8334e-002 2.0520e+000 2.6466e-001 1.0873e-001 5.0914e-002 2.2771e+000 2.8500e+002 1.7887e+004 5.9675e+005 8.5918e+005 2.1950e+005 6.0763e+004 1.4262e+005 5.0102e+004 4.6462e+003 3.6983e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 2.8806e-001 2.1667e-001 1.0103e+000 3.3025e-003 1.2251e-001 6.3979e-001 2.1721e-004 1.0753e-002 5.3116e+000 2.8107e+001 1.3513e+003 1.0635e+005 1.0053e+006 1.7491e+005 3.6499e+005 1.7077e+003 6.1399e+004 4.0054e+004 4.4190e+003 2.2034e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 6.9729e-002 4.6339e-002 1.1421e+000 2.8615e-001 9.9320e-002 4.6016e-001 2.1646e-001 4.6445e-002 1.1696e+000 1.5803e+000 2.8934e+002 9.0987e+003 3.8772e+005 8.7307e+005 8.0921e+003 2.3559e+005 4.1335e+004 1.5912e+004 2.7396e+004 3.6612e+003 9.1696e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 2.8162e-003 1.4618e-003 6.3963e-001 9.9004e-001 4.5551e-002 3.4226e-001 1.4004e-001 3.3533e-001 1.6045e-001 1.3023e+001 6.9486e+001 7.9329e+002 6.9363e+004 7.4653e+005 3.2738e+005 1.5480e+005 6.7902e+004 6.4949e+004 9.0252e+002 1.6226e+004 2.7315e+003 2.1852e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 7.2175e-002 2.5652e-002 1.7639e-001 1.0639e+000 5.6120e-002 3.9719e-001 1.2050e-002 2.3751e-001 1.3317e+000 5.9469e+000 1.6650e-002 3.0429e+002 6.4134e+003 2.9052e+005 7.2767e+005 1.3749e+004 2.0758e+005 1.6899e+003 5.2512e+004 1.2583e+003 8.2469e+003 1.8625e+003 1.1055e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 1.1115e-001 1.6712e-002 1.4179e-002 5.3368e-001 3.0676e-001 4.2397e-001 1.4536e-002 1.8786e-004 1.0075e+000 7.7147e-003 2.1596e+001 1.4691e+002 5.4716e+002 6.3077e+004 5.7591e+005 3.1858e+005 5.2809e+004 1.1461e+005 1.2122e+004 2.5842e+004 5.0663e+003 3.4366e+003 1.1551e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
