0 1.91899e+007
1 3.37223e+007
2 3.35883e+007
3 3.43612e+007
4 3.63909e+007
5 3.68487e+007
6 3.69e+007
7 3.75189e+007
8 3.80555e+007
9 3.80727e+007
10 3.79511e+007
11 3.78735e+007
12 3.77404e+007
13 3.73477e+007
14 3.65789e+007
15 3.53339e+007
16 3.33139e+007
17 2.97659e+007
18 2.4466e+007
19 2.15706e+007
20 2.0828e+007
21 1.70192e+007
22 1.47809e+007
23 1.24845e+007
24 1.08724e+007
25 2.83869e+007
26 1.8991e+007
27 9.43904e+006
28 1.8822e+007
29 8.75666e+007
30 4.13355e+007
31 9.59007e+006
32 1.94269e+006
