   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33
           0 2.3379e+007 7.4588e+006 6.9515e+005 2.3146e+004 2.7929e+002 8.6220e-001 5.8781e-004 1.8042e-003 5.9560e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 9.8867e+006 8.1381e+006 1.0156e+007 1.7357e+006 8.7005e+004 1.4626e+003 7.3288e+000 2.5929e-003 2.8107e-006 4.3638e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.9338e+006 1.1001e+007 1.5947e+006 9.9011e+006 2.8472e+006 2.0376e+005 4.6098e+003 3.3174e+001 7.7561e-002 1.5091e-003 4.7929e-004 1.0272e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 7.7750e+005 5.6458e+006 8.3161e+006 7.1709e+002 8.0459e+006 3.8189e+006 3.7982e+005 1.1453e+004 1.0927e+002 3.8510e-001 8.9144e-004 1.4507e-003 2.7447e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.9883e+005 2.1554e+006 6.8998e+006 4.7647e+006 7.8975e+005 5.5827e+006 4.5009e+006 6.1450e+005 2.4404e+004 3.2205e+002 1.5360e+000 3.2572e-003 3.9960e-005 6.2963e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 5.0918e+004 7.2579e+005 3.6055e+006 6.5653e+006 1.8992e+006 2.2830e+006 3.2021e+006 4.7906e+006 9.0058e+005 4.7004e+004 8.2372e+002 6.1217e+000 1.7615e-002 4.4554e-004 8.0745e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 1.3215e+004 2.3432e+005 1.5460e+006 4.6111e+006 5.0917e+006 3.2433e+005 3.4823e+006 1.3567e+006 4.6398e+006 1.2173e+006 8.4203e+004 1.9958e+003 1.9459e+001 9.4992e-002 2.6744e-005 7.0813e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 3.5309e+003 7.4268e+004 6.0941e+005 2.4752e+006 4.8724e+006 3.1488e+006 3.0492e+004 3.9033e+006 2.7708e+005 4.0566e+006 1.5326e+006 1.4190e+005 4.5907e+003 6.5593e+001 4.5977e-001 5.5284e-004 7.8566e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 9.8796e+002 2.3324e+004 2.3056e+005 1.1736e+006 3.2435e+006 4.3073e+006 1.3758e+006 6.3886e+005 3.4555e+006 7.4337e+003 3.1093e+006 1.7923e+006 2.2750e+005 1.0196e+004 2.0790e+002 2.3317e+000 1.1866e-002 5.9406e-006 1.0345e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 2.8609e+002 7.4888e+003 8.5672e+004 5.2323e+005 1.8314e+006 3.5863e+006 3.1210e+006 2.6394e+005 1.5821e+006 2.3656e+006 3.9714e+005 1.9566e+006 1.9190e+006 3.4573e+005 2.2084e+004 6.6905e+002 1.1020e+001 9.5602e-002 3.3465e-004 2.6735e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
