   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21
           0 5.3946e+005 2.7785e+001 1.4946e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.2371e+000 5.9655e+005 1.2236e+003 1.4428e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.5733e+003 3.9108e+003 7.3819e+005 9.9353e+003 5.5403e+002 1.9122e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 2.8244e+001 1.3021e+004 2.7104e+004 9.5380e+005 3.0108e+004 6.6758e+002 1.8494e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 2.4506e+000 1.0976e+002 1.7673e+004 4.1370e+004 1.0779e+006 4.5823e+004 4.2643e+002 7.9005e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 8.6753e+001 1.0964e+003 1.1386e+004 8.1471e+002 1.9662e+004 1.1146e+006 6.1604e+004 2.9850e+002 1.8923e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 2.9275e+000 4.8847e+001 1.8642e+003 3.4508e+004 5.6645e+003 6.0116e+003 1.1495e+006 7.8876e+004 1.6913e+002 3.0941e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 1.8168e+001 6.8284e+002 3.7521e+003 4.9890e+003 1.8142e+004 1.3988e+004 1.8779e+002 1.1627e+006 9.8283e+004 8.6613e+001 4.1901e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 5.7735e+000 1.0772e+002 2.8762e+001 4.5901e+003 2.3626e+004 4.1589e+003 1.8771e+004 1.9626e+003 1.1706e+006 1.2023e+005 2.9930e+001 4.7638e+001 4.1088e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 1.7268e+000 1.0292e+002 2.5571e+003 7.8609e+003 1.6758e+003 2.4345e+004 4.4749e+001 1.7106e+004 1.0207e+004 1.1673e+006 1.4576e+005 2.1394e+000 4.7757e+001 2.9371e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 7.8538e+000 2.5909e+002 1.7004e+003 5.8023e+002 3.9064e+003 1.3090e+004 1.3269e+004 3.1649e+003 1.2203e+004 2.4238e+004 1.1465e+006 1.7563e+005 6.4449e+000 4.6132e+001 7.1915e+000 8.4514e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 4.4105e+000 7.8237e+001 3.4092e+001 1.6473e+003 7.5191e+003 3.5804e+002 2.0032e+004 3.0531e+003 7.4743e+003 6.7657e+003 4.7289e+004 1.0881e+006 2.1002e+005 3.0506e+001 4.1176e+001 1.1004e+001 9.1542e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 4.0906e-001 2.0756e+000 4.5723e+002 3.9279e+003 2.8228e+003 2.4089e+003 8.6927e+003 1.3399e+004 3.5126e+001 8.6441e+003 2.1654e+003 8.9513e+004 9.1586e+005 2.5213e+005 4.0518e+001 3.5635e+000 2.3473e+001 1.6186e+000 3.3949e-001 6.4500e-003 0.0000e+000 0.0000e+000
