0 8.29752e+007
1 9.02943e+007
2 9.72165e+007
3 1.03482e+008
4 1.09303e+008
5 1.14796e+008
6 1.20291e+008
7 1.25576e+008
8 1.30866e+008
9 1.36096e+008
10 1.41483e+008
11 1.47004e+008
12 1.5291e+008
13 1.59191e+008
14 1.66178e+008
15 1.73947e+008
16 1.831e+008
17 1.92919e+008
18 2.07447e+008
19 2.33569e+008
20 2.52843e+008
21 2.47759e+008
22 3.05463e+008
23 6.12308e+008
24 3.17355e+008
25 1.23319e+008
26 1.45472e+009
27 5.66802e+008
28 2.16287e+008
29 1.16827e+008
30 6.04963e+007
31 3.01448e+007
32 1.53528e+007
33 7.83047e+006
