   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 3.6024e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.8665e+002 3.6028e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 3.0750e+003 6.5504e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 5.6767e+003 3.9410e+002 3.4667e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 1.5931e+003 3.2559e+003 7.1532e+001 1.3551e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 6.4922e+002 5.5435e+003 3.1788e+002 3.2738e+003 9.5336e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 6.4004e+003 7.7665e+002 3.8092e+002 1.7115e+003 7.3670e+002 1.8024e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 1.1134e+004 2.9116e+003 8.3116e+003 4.6162e+002 3.8924e+003 2.0660e+002 9.1075e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 1.1055e+004 1.2938e+004 1.3439e+004 2.4399e+003 3.6571e+003 2.7603e+003 1.7270e+001 2.1699e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 7.8261e+003 1.5461e+004 4.4239e+003 2.1800e+002 8.2559e+002 4.4483e+003 3.3822e+002 6.4963e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 4.0611e+003 9.3529e+003 4.2949e+002 2.1533e+003 1.5112e+001 2.2974e+003 2.0176e+003 4.3943e+000 2.8630e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 1.4004e+003 3.2154e+003 9.0430e+003 7.9893e+003 4.0542e+002 2.6634e+002 3.3003e+003 5.1844e+002 3.9737e+001 1.9883e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 2.2234e+002 5.5859e+002 1.7530e+004 9.8632e+003 4.4766e+002 7.0859e+001 3.0115e+003 1.5158e+003 2.7642e-001 3.6789e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 1.9715e+000 8.2099e+000 1.9629e+004 7.7751e+003 2.4269e+002 4.5267e+002 2.0719e+003 2.1412e+003 7.8704e+001 4.9790e+001 1.6272e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 1.5910e+002 7.8111e+001 1.7811e+004 4.8633e+003 8.0732e+001 6.7605e+002 1.2480e+003 2.2690e+003 2.4635e+002 2.9445e+001 1.3780e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 3.8154e+002 2.1151e+002 1.3935e+004 2.4554e+003 1.0959e+001 6.5396e+002 6.6437e+002 1.9861e+003 3.9321e+002 7.3024e+000 2.3943e+001 1.1181e-002 0.0000e+000 0.0000e+000 0.0000e+000
          19 4.8288e+002 2.4984e+002 9.3935e+003 9.9175e+002 2.4637e-001 4.8178e+002 3.1193e+002 1.4521e+003 4.2334e+002 3.6710e-002 2.2902e+001 7.5809e-001 3.2816e-002 0.0000e+000 0.0000e+000
          20 3.7573e+002 1.8017e+002 5.0367e+003 3.1712e+002 4.2671e+000 2.6580e+002 1.2437e+002 8.2105e+002 3.0361e+002 1.3331e+000 1.4110e+001 1.2473e+000 3.8157e-001 1.0518e-002 0.0000e+000
          21 1.3779e+002 6.3393e+001 1.5605e+003 7.0237e+001 2.6336e+000 8.2765e+001 3.2733e+001 2.6084e+002 1.0754e+002 1.0801e+000 4.5537e+000 5.7681e-001 1.6967e-001 3.9607e-002 4.5898e-004
