   v'->v''           0           1           2           3           4           5           6           7           8           9
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.4991e+003 4.8305e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.1389e+005 6.5245e+001 1.2238e+003 1.6462e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 8.6298e+005 1.9901e+004 8.6747e+000 3.3609e+003 3.6463e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.4076e+006 5.1323e+004 2.9594e+005 2.5440e+004 4.9577e+003 7.3975e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 7.8542e+004 9.7982e+003 6.7922e+005 5.2219e+005 1.1117e+005 5.2841e+001 4.3713e+002 4.2023e+001 0.0000e+000 0.0000e+000
           6 1.7022e+005 7.1935e+003 2.1411e+004 1.4413e+004 3.0995e+005 1.8230e+005 1.4513e+004 1.7888e+002 9.2289e+001 0.0000e+000
           7 1.8453e+004 6.0107e+002 8.8614e+001 9.8368e+003 4.4719e+004 9.5988e+003 1.0675e+003 1.6823e+003 1.3390e+002 0.0000e+000
           8 1.5891e+004 4.5587e+002 1.0125e+003 1.3234e+004 4.1255e+004 4.5379e+003 3.7860e+003 2.6664e+003 1.5811e+002 5.8297e-001
           9 9.7129e+003 2.5207e+002 1.4570e+003 1.0594e+004 2.6118e+004 1.4205e+003 4.3443e+003 2.1291e+003 8.2050e+001 7.4065e-001
          10 5.7021e+003 1.3784e+002 1.3034e+003 7.3064e+003 1.5603e+004 4.3042e+002 3.5419e+003 1.4115e+003 3.5131e+001 2.6950e-001
