   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34
          11 2.6296e+003 1.0583e+004 2.2298e+004 1.4775e+000 4.0516e+004 6.5489e+004 5.1440e+003 8.0422e+004 4.0837e+005 6.5196e+005 4.5640e+005 9.3632e+004 4.2294e+005 1.0807e+005 2.1572e+004 1.9696e+002 2.9338e+003 5.8879e+003 5.1968e+003 3.0181e+003 1.2448e+003 3.2769e+002 2.8259e+001 8.4589e+000 5.5127e+001 8.6857e+001 9.1041e+001 7.7706e+001 5.8219e+001 3.9177e+001 2.3762e+001 1.3313e+001 7.3177e+000 4.0246e+000 2.1608e+000
          12 1.5258e+004 3.3698e+002 2.6049e+004 1.3339e+004 6.2191e+003 5.8479e+004 4.9251e+004 7.4349e+001 1.2641e+005 4.3576e+005 5.9298e+005 3.7931e+005 7.7543e+004 3.9759e+005 1.0006e+005 2.4520e+004 8.8300e+002 1.5681e+003 4.6147e+003 4.9070e+003 3.4411e+003 1.8211e+003 7.3211e+002 2.0692e+002 2.7253e+001 4.9238e-001 1.6632e+001 3.1526e+001 3.5036e+001 2.9605e+001 2.0530e+001 1.2405e+001 7.1071e+000 3.9986e+000 2.1736e+000
          13 2.0207e+004 2.9874e+003 1.4029e+004 2.7665e+004 1.5049e+003 2.3734e+004 6.4599e+004 2.7518e+004 8.7605e+003 1.7488e+005 4.4682e+005 5.2653e+005 3.1087e+005 6.3119e+004 3.7580e+005 9.0845e+004 2.7309e+004 1.9878e+003 5.9271e+002 3.2380e+003 4.2530e+003 3.5411e+003 2.2770e+003 1.2105e+003 5.3509e+002 1.9480e+002 5.4078e+001 9.0460e+000 1.9418e-001 6.9400e-001 1.5570e+000 1.4422e+000 1.0040e+000 6.2295e-001 3.5632e-001
          14 1.3497e+004 9.2627e+003 2.4182e+003 2.4807e+004 1.3956e+004 1.9301e+003 4.1522e+004 5.5855e+004 8.9925e+003 3.0461e+004 2.1777e+005 4.4005e+005 4.5645e+005 2.5232e+005 5.0765e+004 3.5918e+005 8.0401e+004 2.9937e+004 3.3973e+003 7.8685e+001 1.9821e+003 3.3663e+003 3.2995e+003 2.5095e+003 1.6110e+003 9.1909e+002 4.7817e+002 2.3236e+002 1.0792e+002 4.8747e+001 2.1791e+001 9.9332e+000 4.8117e+000 2.4573e+000 1.2651e+000
          15 4.1957e+003 1.0705e+004 3.9145e+002 1.1878e+004 2.2282e+004 2.6698e+003 1.2802e+004 5.0526e+004 3.8648e+004 3.5433e+002 6.0639e+004 2.5069e+005 4.1916e+005 3.8800e+005 2.0374e+005 4.0003e+004 3.4818e+005 6.8430e+004 3.2383e+004 4.9200e+003 3.6813e+001 9.8081e+002 2.3477e+003 2.7478e+003 2.4117e+003 1.8014e+003 1.2069e+003 7.5223e+002 4.4654e+002 2.5346e+002 1.3686e+002 7.1345e+001 3.7616e+001 2.0206e+001 1.0708e+001
          16 5.7459e+001 7.1265e+003 5.0327e+003 1.9789e+003 1.9263e+004 1.2981e+004 3.1799e+002 2.6823e+004 4.9550e+004 2.0464e+004 3.2596e+003 9.4928e+004 2.7307e+005 3.8809e+005 3.2311e+005 1.6365e+005 3.0354e+004 3.4369e+005 5.4406e+004 3.4709e+004 6.3865e+003 4.0884e+002 2.9779e+002 1.3900e+003 1.9800e+003 1.9909e+003 1.6687e+003 1.2422e+003 8.4940e+002 5.3752e+002 3.1347e+002 1.7159e+002 9.3097e+001 5.0832e+001 2.7183e+001
          17 1.6763e+003 2.6372e+003 9.4758e+003 2.7475e+002 1.0280e+004 1.9388e+004 3.5402e+003 7.0497e+003 3.8231e+004 4.0084e+004 6.2416e+003 1.7256e+004 1.2977e+005 2.8381e+005 3.4850e+005 2.6284e+005 1.3054e+005 2.1357e+004 3.4762e+005 3.8363e+004 3.7511e+004 7.5937e+003 1.0746e+003 7.7536e+000 5.9291e+002 1.1726e+003 1.3544e+003 1.2308e+003 9.6619e+002 6.7364e+002 4.1899e+002 2.3851e+002 1.3233e+002 7.3166e+001 3.9398e+001
          18 5.3651e+003 2.4304e+002 1.0092e+004 3.8950e+003 2.8069e+003 1.7909e+004 1.1835e+004 6.1295e+001 1.9544e+004 4.1971e+004 2.5021e+004 4.4912e+001 4.0575e+004 1.6047e+005 2.8146e+005 3.0200e+005 2.0740e+005 1.0302e+005 1.3020e+004 3.6497e+005 2.1059e+004 4.1309e+004 8.4946e+003 1.8286e+003 1.2059e+002 9.5464e+001 4.4234e+002 6.6696e+002 6.8252e+002 5.5153e+002 3.7217e+002 2.2132e+002 1.2567e+002 7.0358e+001 3.8142e+001
          19 7.7257e+003 2.2516e+002 7.5059e+003 7.8802e+003 4.0563e+001 1.1747e+004 1.6808e+004 2.6510e+003 5.7601e+003 3.0869e+004 3.5620e+004 9.7467e+003 4.7521e+003 6.9372e+004 1.8260e+005 2.6515e+005 2.5029e+005 1.5778e+005 8.0457e+004 5.8650e+003 4.0237e+005 5.6340e+003 4.6556e+004 9.2344e+003 2.6545e+003 4.8583e+002 8.4704e+000 5.3336e+001 1.4876e+002 1.8199e+002 1.5236e+002 1.0157e+002 6.1265e+001 3.5431e+001 1.9547e+001
          20 7.6755e+003 1.3323e+003 4.0660e+003 9.4104e+003 9.3020e+002 5.4725e+003 1.6302e+004 7.9330e+003 3.2478e+002 1.6930e+004 3.3958e+004 2.1959e+004 7.6082e+002 2.0251e+004 9.7875e+004 1.9153e+005 2.3518e+005 1.9630e+005 1.1507e+005 6.0750e+004 1.4069e+003 4.6499e+005 5.2107e+002 5.5940e+004 8.8489e+003 3.3208e+003 1.1279e+003 2.2517e+002 1.8626e+001 1.0367e+000 9.2855e+000 1.0776e+001 8.1356e+000 5.2363e+000 3.0498e+000
