   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33
           0 9.3790e+006 1.3093e+006 4.3017e+004 3.4661e+002 2.4220e-001 4.8163e+000 3.7475e+000 1.2154e+000 3.3145e-002 4.9320e-001 2.4207e-003 1.5415e-001 1.2234e-003 4.3564e-002 1.4181e-002 1.1077e-003 5.5251e-003 1.3530e-003 1.2410e-006 1.3400e-004 4.1493e-005 1.2425e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.2764e+006 6.8209e+006 2.3906e+006 1.2780e+005 8.8227e+002 1.9532e+002 3.0976e+002 1.0999e+002 7.7999e-001 3.6466e+001 6.5190e-001 1.1914e+001 3.5665e-002 3.4338e+000 9.0319e-001 2.0878e-001 6.4951e-001 1.4589e-001 4.5169e-003 5.0551e-002 2.9562e-002 5.4466e-003 1.7871e-004 3.2392e-005 3.0130e-005 4.1874e-006 1.0130e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.4654e+005 2.1415e+006 4.7054e+006 3.1771e+006 2.1893e+005 9.2863e+001 7.2379e+003 3.6293e+003 1.5128e+000 8.8108e+002 4.1814e+001 2.7716e+002 5.1870e-001 9.7519e+001 1.8605e+001 9.1072e+000 2.0341e+001 3.7480e+000 4.8171e-001 2.6723e+000 1.6489e+000 3.3710e-001 5.0606e-003 2.2791e-002 3.5996e-002 2.4594e-002 1.2573e-002 5.7851e-003 3.1684e-003 2.4357e-003 1.8216e-003 1.2900e-003 8.6525e-004 5.5471e-004
           3 1.7301e+004 3.8299e+005 2.6647e+006 2.9041e+006 3.3858e+006 1.8039e+005 4.2035e+004 4.9452e+004 1.3021e+003 8.1347e+003 1.1126e+003 2.5548e+003 8.2051e+001 1.0499e+003 1.0818e+002 1.5947e+002 2.2911e+002 2.6701e+001 1.4983e+001 4.4497e+001 2.4381e+001 4.0869e+000 1.1739e-002 1.1595e+000 1.5624e+000 1.1385e+000 6.3462e-001 3.1112e-001 1.7707e-001 1.4019e-001 1.0754e-001 7.7721e-002 5.2920e-002 3.4282e-002
           4 2.1045e+003 6.4469e+004 6.3294e+005 3.1132e+006 1.1878e+006 2.4507e+006 1.2837e+004 2.1877e+005 3.5541e+004 2.2007e+004 1.0986e+004 7.3035e+003 1.5892e+003 4.0996e+003 7.8033e+001 1.0461e+003 8.4427e+002 2.7707e+001 1.4907e+002 2.3858e+002 9.7114e+001 7.7105e+000 3.7512e+000 1.4683e+001 1.5244e+001 1.0271e+001 5.5634e+000 2.6967e+000 1.5272e+000 1.2054e+000 9.2248e-001 6.6558e-001 4.5267e-001 2.9302e-001
           5 3.0032e+002 9.0750e+003 1.6175e+005 7.6737e+005 3.8533e+006 7.2858e+004 1.1471e+006 1.5015e+004 1.8501e+005 2.1207e+002 3.0865e+004 1.1924e+003 6.9257e+003 2.7475e+003 4.0614e+002 1.9069e+003 4.4598e+002 6.1403e+001 4.0359e+002 2.6074e+002 3.8344e+001 3.9729e+000 3.5103e+001 4.2200e+001 2.9510e+001 1.5925e+001 7.5159e+000 3.3623e+000 1.8212e+000 1.3910e+000 1.0357e+000 7.3127e-001 4.8953e-001 3.1346e-001
           6 3.6087e+001 1.7559e+003 2.5489e+004 2.9811e+005 9.2145e+005 3.9347e+006 7.2754e+004 8.2118e+005 3.4985e+003 1.3749e+005 6.0223e+002 1.7983e+004 2.3363e+003 2.5138e+003 2.5236e+003 6.2168e+000 7.2404e+002 5.6919e+002 4.0684e+001 5.8224e+001 1.4828e+002 9.8422e+001 2.9182e+001 2.3962e+000 4.9550e-001 2.4504e+000 2.5261e+000 1.6364e+000 1.0680e+000 9.2904e-001 7.6792e-001 5.8719e-001 4.1614e-001 2.7691e-001
           7 3.2394e+000 3.9593e+002 3.5024e+003 9.1356e+004 2.5175e+005 1.8744e+006 2.1038e+006 1.3282e+005 6.3820e+005 2.2607e+004 1.5129e+005 1.1843e+004 1.4686e+004 1.2561e+004 4.9606e+001 4.6640e+003 2.2285e+003 3.9125e-002 8.3908e+002 9.1857e+002 2.7887e+002 3.6503e+000 5.4061e+001 1.1376e+002 1.0430e+002 6.7373e+001 3.5853e+001 1.7232e+001 9.7160e+000 7.6445e+000 5.8349e+000 4.2013e+000 2.8531e+000 1.8450e+000
           8 9.0565e-001 2.7173e+001 2.0209e+003 5.2360e+003 2.3299e+005 1.7706e+005 2.9469e+006 9.8448e+005 3.3736e+005 3.8727e+005 1.6908e+004 1.1407e+005 1.0712e+004 5.1885e+003 9.4147e+003 5.1251e+002 1.3429e+003 1.8933e+003 3.8597e+002 3.1480e+001 3.2359e+002 3.3074e+002 1.5520e+002 3.7238e+001 2.5617e+000 4.9282e-001 2.0179e+000 1.8213e+000 1.3557e+000 1.2790e+000 1.1224e+000 8.9574e-001 6.5362e-001 4.4330e-001
           9 4.1449e-001 1.5985e-001 8.1106e+002 1.8802e+002 7.6047e+004 8.9118e+004 7.3087e+005 2.4155e+006 4.1242e+005 3.5401e+005 3.0134e+005 3.3505e+004 1.1866e+005 2.1107e+004 1.1313e+003 1.2488e+004 4.2909e+003 6.2378e+001 2.1649e+003 1.9717e+003 4.9321e+002 9.4683e-004 1.7204e+002 2.9907e+002 2.5698e+002 1.6043e+002 8.3643e+001 3.9730e+001 2.2256e+001 1.7426e+001 1.3248e+001 9.5085e+000 6.4421e+000 4.1592e+000
