   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14
           0 3.6139e+007 1.0116e+008 1.1167e+008 6.2586e+007 1.8914e+007 2.9716e+006 2.0615e+005 3.6139e+003 7.2769e+000 3.9648e+000 1.1323e+000 4.2445e-001 2.9271e-001 1.1173e-003 3.2769e-002
           1 6.2780e+007 5.7499e+007 1.3006e+005 5.1943e+007 9.2190e+007 5.0663e+007 1.1444e+007 9.4560e+005 1.2570e+004 2.5896e+002 5.5807e+000 1.9470e-003 8.6428e-001 3.9486e-001 2.8615e-002
           2 6.7349e+007 1.0328e+007 2.8693e+007 3.5709e+007 2.6169e+006 7.1396e+007 7.8360e+007 2.5203e+007 2.3246e+006 1.3318e+004 2.3642e+003 8.9268e+000 2.8903e-003 2.1658e+000 1.5355e+000
           3 5.8442e+007 2.4071e+005 3.8519e+007 1.9400e+005 3.9294e+007 8.7736e+006 3.3748e+007 9.2020e+007 4.1828e+007 3.8827e+006 1.2936e+001 7.7694e+003 7.4306e+002 6.7753e+001 4.0035e+000
           4 4.5328e+007 8.6789e+006 2.1122e+007 1.2028e+007 1.9227e+007 1.2540e+007 2.9572e+007 7.9742e+006 9.2983e+007 5.8459e+007 4.4864e+006 9.8537e+004 4.0860e+003 3.6958e+003 9.9349e+002
           5 3.3018e+007 1.8429e+007 5.3391e+006 2.3750e+007 5.4815e+005 2.7107e+007 7.3376e+003 3.5072e+007 7.3099e+004 8.9251e+007 7.2582e+007 2.8661e+006 6.1183e+005 2.7600e+004 3.4774e+002
           6 2.3236e+007 2.3509e+007 5.5814e+004 2.0713e+007 4.4784e+006 1.3317e+007 1.3536e+007 6.9847e+006 2.5706e+007 2.0659e+006 9.0178e+007 8.0170e+007 9.7548e+004 9.5168e+005 2.6129e+005
           7 1.6075e+007 2.4063e+007 1.7532e+006 1.1623e+007 1.2837e+007 1.3839e+006 1.9004e+007 1.3797e+006 1.6683e+007 1.3260e+007 4.5172e+006 1.0502e+008 6.9883e+007 4.5889e+006 3.2222e+004
           8 1.1053e+007 2.1884e+007 5.5405e+006 4.2695e+006 1.5326e+007 8.5420e+005 1.0803e+007 1.0686e+007 1.2992e+006 1.8741e+007 4.9444e+006 2.6080e+006 1.4085e+008 2.6715e+007 1.2241e+007
           9 7.6008e+006 1.8549e+007 8.6662e+006 7.1658e+005 1.2656e+007 5.0900e+006 2.7682e+006 1.3356e+007 1.7596e+006 6.9122e+006 1.4519e+007 1.1757e+006 2.9854e+005 1.7169e+008 3.6316e+006
          10 5.2438e+006 1.5026e+007 1.0271e+007 1.4385e+004 8.3132e+006 8.2596e+006 3.4200e+004 9.2591e+006 6.9135e+006 2.9649e+005 1.0087e+007 9.0599e+006 1.8772e+001 2.5536e+007 6.6133e+007
          11 3.6294e+006 1.1785e+007 1.0453e+007 6.5303e+005 4.5673e+006 8.8739e+006 7.8315e+005 4.2942e+006 8.7172e+006 9.9010e+005 3.1914e+006 9.0562e+006 5.7645e+006 5.8267e+006 7.6262e+007
          12 2.5116e+006 8.9915e+006 9.6105e+006 1.5373e+006 2.1207e+006 7.6932e+006 2.3093e+006 1.2762e+006 7.2432e+006 3.3350e+006 2.3703e+005 5.0853e+006 5.9370e+006 8.1397e+006 5.7774e+007
          13 1.7226e+006 6.6488e+006 8.1384e+006 2.1069e+006 8.1822e+005 5.8188e+006 3.2068e+006 1.5470e+005 4.7621e+006 4.3737e+006 1.6835e+005 1.8792e+006 4.4084e+006 2.1090e+006 5.3117e+007
          14 1.1482e+006 4.6886e+006 6.3252e+006 2.1809e+006 2.5095e+005 3.9648e+006 3.1992e+006 7.5047e+003 2.6798e+006 3.9653e+006 7.7071e+005 4.3046e+005 2.4553e+006 2.7147e+006 7.3484e+006
          15 7.0951e+005 3.0138e+006 4.3441e+006 1.7838e+006 5.6901e+004 2.4104e+006 2.4995e+006 1.0366e+005 1.3312e+006 2.8185e+006 9.8446e+005 4.1853e+004 1.1246e+006 1.5742e+006 6.6381e+006
          16 3.4791e+005 1.5134e+006 2.2685e+006 1.0264e+006 8.8562e+003 1.1530e+006 1.3881e+006 1.1569e+005 5.4138e+005 1.4604e+006 6.7142e+005 8.5897e-001 4.1891e+005 7.0503e+005 7.5590e+004
          17 8.2332e+004 3.6147e+005 5.5009e+005 2.5809e+005 9.7186e+002 2.6931e+005 3.4371e+005 3.5307e+004 1.1738e+005 3.5098e+005 1.7784e+005 8.3338e+002 8.6799e+004 1.6033e+005 5.9641e+004
