   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 2.5532e+007 8.2793e+007 1.0952e+008 7.6909e+007 3.1079e+007 7.2644e+006 9.2469e+005 5.3974e+004 8.3318e+002 1.5758e+000 1.1986e+000 5.8063e-001 3.0823e-001 4.4794e-002 7.1727e-002 6.9648e-002 1.5043e-002 6.9992e-004
           1 5.1131e+007 6.5644e+007 6.4630e+006 2.5236e+007 8.2660e+007 6.8367e+007 2.4814e+007 4.1849e+006 2.7709e+005 3.1919e+003 6.0208e+001 5.0085e+000 1.4179e+000 8.8383e-001 4.5254e-001 2.6321e-002 1.3101e-001 1.6360e-002
           2 6.1575e+007 2.1338e+007 1.3487e+007 4.5594e+007 1.9521e+006 3.7617e+007 8.2782e+007 4.8108e+007 1.0589e+007 7.5010e+005 3.9699e+003 5.5023e+002 3.3941e-001 1.9159e-001 1.4918e+000 9.7076e-001 8.4610e-002 9.7544e-004
           3 5.8668e+007 1.1139e+006 3.4749e+007 6.9747e+006 2.4233e+007 2.7782e+007 4.3326e+006 7.0457e+007 6.9827e+007 1.9735e+007 1.3657e+006 1.0021e+002 2.1739e+003 7.5973e+001 3.1239e+000 1.3023e+000 1.9254e+000 1.9452e-001
           4 4.9066e+007 2.8371e+006 2.8594e+007 2.6596e+006 2.9050e+007 6.4848e+005 3.6969e+007 2.4587e+006 4.5482e+007 8.5415e+007 3.0179e+007 1.7351e+006 2.0315e+004 2.8727e+003 8.0048e+002 1.5305e+002 2.0357e+001 8.6631e-001
           5 3.7959e+007 1.1940e+007 1.2609e+007 1.6554e+007 7.4901e+006 1.9414e+007 7.8471e+006 2.1821e+007 1.6566e+007 2.2756e+007 9.5130e+007 3.9853e+007 1.3404e+006 1.5936e+005 3.1943e+002 1.0637e+003 6.5912e+002 5.8551e+001
           6 2.8012e+007 1.9493e+007 2.3038e+006 2.1981e+007 1.0541e+005 2.1118e+007 2.1927e+006 2.1439e+007 5.0240e+006 2.7934e+007 8.9559e+006 1.0297e+008 4.5983e+007 2.4798e+005 4.1398e+005 5.2354e+004 4.4288e+003 1.5257e+002
           7 2.0106e+007 2.2967e+007 6.2894e+004 1.7054e+007 6.3283e+006 8.2123e+006 1.4476e+007 2.3064e+006 2.1365e+007 4.0581e+004 2.9716e+007 3.1982e+006 1.1448e+008 4.3997e+007 6.8465e+005 2.1824e+005 1.5227e+005 1.2984e+004
           8 1.4218e+007 2.2965e+007 2.5116e+006 9.1048e+006 1.2924e+007 4.7504e+005 1.6153e+007 2.2417e+006 1.1823e+007 1.1320e+007 4.2285e+006 2.4592e+007 2.0819e+006 1.3433e+008 2.7465e+007 6.2273e+006 4.4910e+005 1.1686e+004
           9 9.9899e+006 2.0876e+007 6.1745e+006 3.1624e+006 1.4334e+007 1.2545e+006 8.8567e+006 9.9691e+006 9.6225e+005 1.5668e+007 2.6254e+006 9.7758e+006 1.7220e+007 5.2164e+006 1.5713e+008 2.6647e+006 6.7010e+006 6.2979e+005
