   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32
           0 1.7426e+007 1.2519e+001 1.6623e+000 3.6526e+005 1.4158e+003 2.3200e+002 2.3848e+003 2.1925e+002 8.7995e+000 3.6078e+001 1.0946e+001 3.5305e-001 1.9506e-001 2.7373e-001 6.4360e-002 1.0960e-003 2.6269e-003 2.3002e-003 4.2231e-004 1.0651e-005 4.0922e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 3.8923e+005 2.9264e+001 6.9259e+002 1.6558e+007 4.6896e+004 1.5139e+002 3.6259e+005 1.3805e+005 3.4333e+004 2.1336e+004 2.3590e+003 1.0981e+001 2.1839e+002 1.1210e+002 1.1950e+001 6.4562e-001 3.9998e+000 2.3557e+000 4.5294e-001 4.1163e-003 3.0537e-002 2.9917e-002 8.0693e-003 5.3275e-004 2.4301e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.9956e+004 2.0260e+002 2.2829e+003 5.6757e+005 3.6213e+004 2.4544e+005 1.2812e+007 2.7177e+006 6.3027e+004 7.9413e+004 2.1972e+005 1.3441e+005 4.9730e+004 7.5264e+003 1.2546e+001 6.5204e+002 6.0488e+002 1.7940e+002 9.3680e+000 6.8088e+000 1.6979e+001 1.1103e+001 3.4981e+000 4.2735e-001 7.4780e-004 6.2106e-002 4.5556e-002 1.0041e-002 2.4411e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 1.3811e+003 1.4444e+003 1.1929e+004 6.4400e+004 4.7117e+004 1.7175e+005 4.1064e+004 1.1549e+006 3.3889e+006 6.9448e+006 2.7826e+006 2.8736e+005 1.4560e+004 1.6808e+005 1.6542e+005 7.6484e+004 1.8085e+004 9.6271e+002 4.9925e+002 1.3708e+003 9.4879e+002 3.1822e+002 3.7871e+001 1.6241e+000 2.0316e+001 2.3764e+001 1.4693e+001 5.9560e+000 1.6020e+000 2.4798e-001 1.0299e-002 2.0799e-003 4.0037e-003
           4 3.4001e+001 6.0010e+003 3.6146e+004 3.5130e+003 1.2176e+005 2.8078e+005 2.0121e+005 2.0203e+005 1.8310e+005 3.4470e+005 2.6416e+006 3.7403e+006 3.0860e+006 1.2701e+006 1.7254e+005 6.4432e+003 1.0166e+005 1.2751e+005 7.9273e+004 2.9269e+004 5.4462e+003 6.9383e+001 6.3472e+002 1.2297e+003 9.7915e+002 4.8485e+002 1.5385e+002 2.3904e+001 8.9442e-003 5.4708e+000 9.7541e+000 8.6237e+000 4.7049e+000
           5 3.9301e+000 1.4433e+004 5.7986e+004 1.0424e+003 1.1731e+005 1.3838e+005 9.1717e+003 1.6353e+005 9.8403e+003 8.1483e+004 1.4664e+004 3.0526e+005 1.7525e+006 3.0167e+006 2.6348e+006 1.4316e+006 4.5361e+005 4.3456e+004 1.1590e+004 6.8357e+004 8.4296e+004 6.0341e+004 2.9439e+004 9.5840e+003 1.5903e+003 3.2944e+000 3.4194e+002 6.7051e+002 6.4578e+002 4.4598e+002 2.4724e+002 1.1517e+002 4.2017e+001
           6 8.2555e-001 2.0126e+004 4.0795e+004 6.7919e+001 3.3463e+004 4.2215e+003 6.7262e+003 1.0992e+004 1.3109e+005 9.5226e+004 2.3216e+004 1.2446e+005 5.3368e+003 3.0917e+005 1.3467e+006 2.2325e+006 2.2388e+006 1.4938e+006 6.5592e+005 1.5937e+005 5.7466e+003 1.7208e+004 5.2965e+004 6.1671e+004 4.7337e+004 2.7281e+004 1.2125e+004 3.9593e+003 7.6972e+002 2.2143e+001 6.6509e+001 1.7691e+002 1.5076e+002
           7 1.4148e-001 1.7983e+004 6.7745e+003 2.4965e+000 3.5747e+002 1.7942e+004 2.1281e+003 3.6229e+004 8.3212e+003 5.8439e+004 9.8735e+004 1.4733e+003 6.5956e+004 7.6777e+004 3.3276e+003 3.3134e+005 1.1184e+006 1.7801e+006 1.8210e+006 1.3333e+006 7.1561e+005 2.6396e+005 4.9560e+004 3.5604e+001 1.6741e+004 3.7762e+004 4.3198e+004 3.5929e+004 2.4231e+004 1.3902e+004 6.9273e+003 3.0172e+003 1.0522e+003
           8 5.5966e-001 1.4677e+004 2.8368e+003 1.0855e+002 7.6878e+003 4.9122e+003 8.2762e+002 1.0457e+002 2.2129e+004 9.3191e+003 3.4164e+004 9.7970e+004 2.9316e+004 1.4857e+004 8.4458e+004 3.4236e+004 2.6176e+004 3.6762e+005 9.6812e+005 1.4217e+006 1.4642e+006 1.1480e+006 7.0105e+005 3.2582e+005 1.0351e+005 1.4338e+004 5.9140e+002 1.2798e+004 2.4474e+004 2.7790e+004 2.4141e+004 1.7150e+004 8.8766e+003
           9 1.3203e-001 1.8116e+004 3.1231e+004 8.8017e+000 4.8130e+001 1.9613e+003 1.7875e+002 5.8367e+003 1.5302e+002 1.7024e+004 6.6184e+003 1.6799e+004 7.8996e+004 4.4432e+004 6.7062e+002 5.3588e+004 6.6110e+004 4.1646e+003 7.5193e+004 4.0736e+005 8.5432e+005 1.1570e+006 1.1735e+006 9.4818e+005 6.2578e+005 3.3680e+005 1.4234e+005 4.1658e+004 5.0590e+003 4.0545e+002 5.4196e+003 8.9705e+003 7.0582e+003
          10 2.7856e-002 2.5354e+004 8.7236e+004 2.8302e+002 5.4111e+004 2.3577e+002 6.4158e+000 3.0129e+002 4.4522e+003 4.4219e+002 1.6274e+004 6.2128e+003 9.6362e+003 5.9425e+004 4.5444e+004 1.2537e+003 2.6421e+004 6.2314e+004 2.6651e+004 4.9577e+003 1.3946e+005 4.3655e+005 7.5444e+005 9.3526e+005 9.1850e+005 7.5014e+005 5.2226e+005 3.1236e+005 1.5917e+005 6.7368e+004 2.2269e+004 5.0713e+003 6.1434e+002
          11 2.5303e-001 1.4320e+004 1.1749e+005 5.5195e+002 2.5232e+005 1.2320e+005 3.3724e+003 7.2554e+003 1.0565e+002 3.9168e+003 3.9585e+003 1.3823e+004 4.5546e+003 8.8094e+003 4.7216e+004 4.1131e+004 3.9539e+003 1.3185e+004 4.8734e+004 3.7341e+004 1.3345e+003 4.0450e+004 2.0721e+005 4.4696e+005 6.4995e+005 7.3647e+005 6.9550e+005 5.6731e+005 4.0751e+005 2.6113e+005 1.4977e+005 7.6273e+004 3.0702e+004
          12 3.6499e-001 1.0205e+002 3.4286e+004 7.1496e+002 2.7168e+005 5.8582e+005 9.5374e+004 2.8204e+005 8.9899e+004 1.1747e+004 1.4285e+004 1.7300e+004 7.1384e+003 2.5230e+003 1.2053e+004 3.8819e+004 3.3348e+004 3.6335e+003 8.7069e+003 3.7078e+004 3.6119e+004 6.4054e+003 1.1140e+004 1.0079e+005 2.6023e+005 4.2521e+005 5.3207e+005 5.5250e+005 4.9622e+005 3.9545e+005 2.8230e+005 1.7838e+005 8.6284e+004
          13 3.1086e-001 8.3878e+002 3.1514e+003 9.4642e+000 1.2467e+004 3.0106e+005 1.8459e+005 8.6493e+005 8.8143e+005 4.7140e+005 2.6289e+005 1.3787e+005 1.1144e+005 3.6130e+003 7.0562e+003 2.7278e+004 2.5044e+004 2.5833e+004 1.0574e+003 7.8333e+003 2.9516e+004 2.9435e+004 6.9301e+003 4.1098e+003 5.6186e+004 1.6001e+005 2.7683e+005 3.6380e+005 3.9622e+005 3.7323e+005 3.0905e+005 2.2215e+005 1.1849e+005
