   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 4.8336e+005 8.3743e+004 6.1386e+003 4.5869e+000 8.4659e+002 1.6308e+003 1.4078e+003 7.4690e+002 2.7729e+002 8.3623e+001 2.7020e+001 1.2751e+001 8.3272e+000 5.3825e+000 2.6709e+000 8.4011e-001 1.0694e-001 1.7162e-003 3.6407e-002 3.4233e-002 1.0852e-002 1.5753e-004 2.8681e-003 6.9513e-003 6.8019e-003 3.9862e-003 1.4078e-003 2.0255e-004 5.8246e-006 1.3391e-004 2.1075e-004 1.7897e-004 1.0501e-004 4.5105e-005 1.3945e-005 2.8386e-006 3.0191e-007 8.1766e-009 6.4429e-014 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.9604e+006 1.2399e+005 1.5004e+005 1.3712e+004 9.5240e+001 2.7745e+001 3.1790e+002 1.5663e+003 2.8000e+003 2.4451e+003 1.2017e+003 3.3812e+002 4.9676e+001 3.9084e+000 1.7119e+000 5.9194e+000 1.2043e+001 1.3204e+001 8.7246e+000 3.3631e+000 4.9621e-001 2.2950e-002 3.9870e-001 5.9266e-001 4.5100e-001 2.0685e-001 4.6694e-002 2.7348e-004 1.3695e-002 3.3569e-002 3.8172e-002 2.9694e-002 1.7436e-002 7.8138e-003 2.5090e-003 4.4953e-004 5.6599e-006 6.1000e-005 1.3684e-004 1.3577e-004 9.0237e-005 3.8218e-005 1.1230e-005
           2 3.1616e+006 3.8819e+006 7.4930e+004 2.6510e+005 8.7020e+004 1.0935e+001 6.6401e+003 1.4729e+003 3.2247e+000 7.5150e+001 1.3294e+003 3.1662e+003 3.2100e+003 1.7656e+003 5.0839e+002 4.2479e+001 6.2238e+000 2.4098e+001 9.9740e+000 7.6199e-003 8.5146e+000 1.9721e+001 2.0989e+001 1.3875e+001 5.7239e+000 1.0658e+000 4.7611e-003 6.2541e-001 1.2936e+000 1.4042e+000 1.0739e+000 6.2248e-001 2.6945e-001 7.6276e-002 7.3264e-003 2.1012e-003 1.5166e-002 2.4773e-002 2.5972e-002 2.1149e-002 1.3723e-002 5.9710e-003 1.7856e-003
           3 2.4796e+006 1.0040e+007 2.5235e+006 1.3645e+006 3.3410e+004 2.8486e+005 6.2256e+004 2.4779e+003 2.0731e+004 9.5028e+003 7.5854e+002 2.1599e+001 1.1074e+001 7.9256e+002 2.2924e+003 2.7790e+003 1.9295e+003 7.9169e+002 1.4819e+002 1.2772e-001 3.5057e+001 5.4447e+001 3.2609e+001 7.2235e+000 1.1441e-001 6.7059e+000 1.4412e+001 1.6300e+001 1.2762e+001 7.3367e+000 2.9481e+000 6.2851e-001 2.3648e-003 2.2390e-001 6.0879e-001 8.2657e-001 8.2472e-001 6.8035e-001 4.8840e-001 3.1124e-001 1.7156e-001 6.8042e-002 1.9674e-002
           4 5.0904e+005 6.7343e+006 1.1912e+007 3.6526e+005 2.1418e+006 1.6532e+005 1.3501e+005 1.8482e+005 2.7184e+004 4.2842e+003 2.1141e+004 1.3560e+004 3.0857e+003 1.6648e+002 3.0838e+000 1.5363e+002 8.4954e+002 1.6545e+003 1.8260e+003 1.3311e+003 6.5561e+002 1.9398e+002 1.7506e+001 5.4248e+000 3.0461e+001 3.6508e+001 2.3547e+001 8.2518e+000 6.5720e-001 8.0008e-001 4.1937e+000 6.9354e+000 7.5225e+000 6.3141e+000 4.3457e+000 2.4896e+000 1.1677e+000 4.2114e-001 9.7435e-002 6.4499e-003 2.2020e-003 5.5547e-003 2.4621e-003
           5 1.4164e+004 5.6100e+005 9.1844e+006 1.1511e+007 2.4236e+004 1.9802e+006 6.7663e+005 5.4360e+003 1.8663e+005 1.0494e+005 5.8875e+003 9.6805e+003 2.2761e+004 1.4335e+004 3.9665e+003 3.8334e+002 4.2143e+000 2.8643e+001 3.3475e+002 9.6488e+002 1.4499e+003 1.4394e+003 1.0273e+003 5.2992e+002 1.8047e+002 2.6684e+001 6.7222e-001 1.8832e+001 3.2790e+001 3.0876e+001 1.9758e+001 8.5233e+000 1.8708e+000 9.8442e-004 9.4623e-001 2.6236e+000 3.7785e+000 4.0376e+000 3.5658e+000 2.6978e+000 1.7010e+000 7.3365e-001 2.1898e-001
           6 2.5026e+004 8.2386e+004 8.0709e+005 1.2093e+007 1.0290e+007 5.6815e+005 1.2874e+006 1.1224e+006 6.5619e+004 8.5888e+004 1.4944e+005 4.8494e+004 1.9182e+002 1.3187e+004 2.1679e+004 1.3837e+004 4.6876e+003 7.7411e+002 4.0553e+001 7.7230e+000 1.0365e+002 4.4034e+002 8.7818e+002 1.1202e+003 1.0426e+003 7.4804e+002 4.1658e+002 1.7098e+002 4.2266e+001 1.7748e+000 4.9114e+000 1.7939e+001 2.4978e+001 2.3523e+001 1.7115e+001 9.9493e+000 4.5204e+000 1.4467e+000 2.2140e-001 9.6175e-004 8.2733e-002 8.7028e-002 3.3494e-002
           7 2.1926e+004 5.9094e+003 3.4694e+004 1.0204e+006 1.4041e+007 9.3776e+006 1.1910e+006 6.9084e+005 1.2946e+006 2.5812e+005 1.2064e+004 1.3009e+005 9.4249e+004 1.5819e+004 1.5630e+003 1.6330e+004 2.0207e+004 1.2567e+004 4.6170e+003 9.2091e+002 6.8994e+001 2.8130e+000 3.0232e+001 1.9260e+002 4.9310e+002 7.7314e+002 8.8290e+002 7.9331e+002 5.7918e+002 3.4423e+002 1.6107e+002 5.3113e+001 8.0368e+000 2.1856e-001 6.9628e+000 1.4694e+001 1.8215e+001 1.7369e+001 1.3923e+001 9.6756e+000 5.6846e+000 2.3407e+000 6.8612e-001
           8 1.7868e+001 2.7749e+004 2.2726e+004 3.1701e+004 1.1149e+006 1.5669e+007 9.1549e+006 1.4497e+006 2.9543e+005 1.2371e+006 4.4328e+005 4.6578e+003 7.6876e+004 1.0994e+005 4.3441e+004 2.0893e+003 5.6691e+003 1.7329e+004 1.7699e+004 1.0531e+004 4.0383e+003 9.5877e+002 1.1597e+002 6.8157e+000 1.0822e+001 7.9218e+001 2.5397e+002 4.7776e+002 6.3988e+002 6.7262e+002 5.8465e+002 4.3174e+002 2.7312e+002 1.4629e+002 6.3517e+001 1.9794e+001 2.8122e+000 1.0154e-001 2.5105e+000 4.8358e+000 4.9364e+000 2.7143e+000 8.8084e-001
           9 9.2190e+003 3.2197e+004 1.6767e+003 3.9953e+004 3.7107e+004 9.0098e+005 1.6794e+007 1.0325e+007 1.1785e+006 8.9372e+004 1.1250e+006 5.4335e+005 4.3040e+004 3.2954e+004 9.8877e+004 6.4252e+004 1.3707e+004 1.9549e+002 9.8171e+003 1.6984e+004 1.4758e+004 8.4942e+003 3.3940e+003 8.8542e+002 1.2530e+002 7.6045e+000 4.0591e+000 3.3031e+001 1.2468e+002 2.6696e+002 4.0597e+002 4.8899e+002 4.9359e+002 4.3087e+002 3.3131e+002 2.2666e+002 1.3849e+002 7.5375e+001 3.6230e+001 1.5170e+001 5.4157e+000 1.5075e+000 3.7173e-001
