   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 8.4543e+005 1.1750e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.7951e+005 7.6493e+005 4.4736e+004 3.5389e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 2.5183e+001 2.7159e+005 5.4703e+005 1.0858e+005 1.1617e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 4.6843e+003 2.0185e+004 1.4259e+005 2.2908e+005 1.8445e+005 8.2297e+003 6.4590e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.5878e+003 5.7848e+004 2.6838e+005 8.4724e+000 4.1726e+004 1.8818e+005 3.0486e+004 1.2157e+003 1.5192e+001 2.7841e+000 5.2011e-001 9.3418e-002 1.7013e-002
           5 5.6438e+001 1.4096e+003 1.2805e+005 7.0575e+005 7.0934e+004 4.7767e+003 1.2744e+005 5.9711e+004 7.6849e+003 3.3534e+003 1.8519e+003 1.0662e+003 6.5319e+002
           6 4.1667e+002 1.0065e+004 3.1121e+004 3.1574e+004 8.3028e+005 1.5970e+005 9.6881e+001 3.7723e+004 2.0992e+004 1.2010e+004 8.3824e+003 5.7017e+003 3.9134e+003
           7 1.0783e+001 2.9057e+002 2.7941e+004 1.6087e+005 2.9640e+002 9.8770e+005 2.2469e+005 1.5645e+003 1.2940e+002 1.8425e+002 2.5697e+002 2.6959e+002 2.4225e+002
           8 1.3019e+002 3.9003e+003 2.2635e+004 2.3749e+003 1.2779e+005 1.8722e+003 1.2586e+006 1.3307e+005 2.7372e+004 1.1302e+004 5.7421e+003 3.0533e+003 1.7550e+003
           9 1.4978e-029 4.4772e-028 2.5895e-027 2.6401e-028 1.4701e-026 2.1412e-028 8.4183e-026 1.7492e-019 8.5694e-003 1.4021e+001 7.4378e+002 4.4340e+003 1.9597e+002
          10 5.8993e-031 1.3462e-029 4.7428e-029 9.9042e-030 5.8736e-028 5.5480e-031 1.0626e-024 1.6446e-017 9.7885e-002 5.5449e+001 1.8726e+003 5.8822e+003 4.0083e+001
          11 6.2370e-029 1.0764e-027 1.6663e-027 8.5296e-027 6.4709e-026 2.0356e-027 7.8188e-023 7.4036e-016 5.3303e-001 1.4371e+002 3.0407e+003 3.2043e+003 3.8369e+003
