   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44
           0 7.1876e+005 2.1401e+005 3.4742e+004 1.6769e+003 8.6401e+002 2.7944e+003 2.5043e+003 1.4381e+003 6.8157e+002 3.0552e+002 1.3635e+002 5.9629e+001 2.4554e+001 9.2496e+000 3.1625e+000 9.9360e-001 2.9679e-001 8.9870e-002 3.0318e-002 1.2330e-002 5.9426e-003 3.0026e-003 1.3607e-003 4.7335e-004 1.0151e-004 6.7920e-006 6.4611e-007 1.6246e-006 1.8210e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 2.7495e+006 3.9138e+004 1.5983e+005 5.6237e+004 1.3655e+004 9.7429e+002 1.1289e+003 4.7170e+003 5.4329e+003 3.6268e+003 1.7413e+003 7.0946e+002 2.9780e+002 1.4983e+002 8.7707e+001 5.0670e+001 2.4841e+001 9.3298e+000 2.4326e+000 3.6754e-001 1.7934e-002 1.6367e-004 7.0198e-006 3.7870e-003 1.0513e-002 1.1912e-002 7.9927e-003 3.4555e-003 9.1222e-004 1.0949e-004 4.8506e-007 2.4465e-006 1.0245e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 4.2728e+006 4.7293e+006 1.2392e+005 1.3690e+005 5.4409e+004 5.7000e+003 1.4269e+003 5.6999e+002 2.3069e+002 3.7559e+003 7.3816e+003 6.7418e+003 3.7390e+003 1.4228e+003 4.2406e+002 1.3274e+002 6.7841e+001 5.7794e+001 5.4066e+001 4.2164e+001 2.4753e+001 1.0182e+001 2.4813e+000 1.6024e-001 7.0535e-002 2.5476e-001 2.1892e-001 9.3200e-002 1.6247e-002 3.0302e-005 5.7857e-003 8.7232e-003 6.0656e-003 2.4895e-003 5.7347e-004 5.1097e-005 1.4691e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 3.6694e+006 1.5575e+007 4.7241e+006 1.3471e+006 6.8427e+004 1.8645e+005 1.7071e+004 2.3605e+003 2.4755e+003 3.8999e+001 1.2595e-001 1.0168e+003 4.6473e+003 7.2276e+003 6.1274e+003 3.2661e+003 1.1254e+003 2.3848e+002 2.8646e+001 3.7654e+000 5.6189e+000 1.6188e+001 2.7680e+001 2.9845e+001 2.2185e+001 1.1611e+001 3.9831e+000 6.3074e-001 1.8157e-003 2.5030e-001 4.2443e-001 3.6332e-001 2.0814e-001 8.3421e-002 2.1511e-002 2.3753e-003 2.3958e-005 5.9719e-004 5.4540e-004 1.8963e-004 1.8216e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 9.8869e+005 1.2275e+007 2.3252e+007 1.6955e+006 2.9845e+006 6.4189e+004 2.0453e+005 1.2142e+005 3.1455e+003 8.7313e+003 8.8599e+003 2.0545e+003 2.9065e+002 5.6604e+002 2.2969e+003 4.6183e+003 5.3294e+003 4.0423e+003 2.1323e+003 7.7549e+002 1.7648e+002 1.7925e+001 4.8457e-002 1.1572e-001 6.4336e-001 5.2330e+000 1.1122e+001 1.3521e+001 1.1469e+001 7.2529e+000 3.4112e+000 1.0900e+000 1.6029e-001 1.7455e-003 8.5726e-002 1.5387e-001 1.5170e-001 1.0911e-001 6.2670e-002 2.9858e-002 1.2041e-002 4.1889e-003 1.2950e-003 3.6286e-004 8.5309e-005
           5 1.7684e+003 1.2647e+006 1.6849e+007 2.4405e+007 2.6006e+005 3.3303e+006 5.0218e+005 6.5461e+004 1.8664e+005 4.0883e+004 7.8828e+002 1.3945e+004 1.0257e+004 2.9532e+003 6.8726e+002 7.0254e+002 1.8338e+003 3.5304e+003 4.4460e+003 3.9208e+003 2.5377e+003 1.2184e+003 4.1942e+002 9.1638e+001 8.1204e+000 6.5756e-002 7.5089e-001 1.9443e-002 1.0249e+000 4.0573e+000 6.7617e+000 7.4495e+000 6.2051e+000 4.1071e+000 2.1760e+000 8.9047e-001 2.4808e-001 2.7680e-002 2.6668e-003 2.9976e-002 4.9441e-002 4.9875e-002 3.8001e-002 2.1610e-002 7.4943e-003
           6 6.3664e+004 1.9856e+005 1.1417e+006 2.1800e+007 2.5492e+007 1.2300e+004 2.9343e+006 1.1190e+006 2.7760e+002 1.7077e+005 1.0573e+005 7.1525e+003 7.2171e+003 1.7688e+004 1.0963e+004 3.5368e+003 9.6342e+002 6.7703e+002 1.3130e+003 2.4965e+003 3.4273e+003 3.4329e+003 2.6140e+003 1.5488e+003 7.1078e+002 2.4055e+002 5.1298e+001 3.4810e+000 6.2416e-001 2.3359e+000 1.2541e+000 4.6570e-002 5.2871e-001 2.1076e+000 3.4718e+000 3.9006e+000 3.4485e+000 2.5493e+000 1.6230e+000 9.0229e-001 4.3994e-001 1.8796e-001 7.0138e-002 2.2341e-002 5.5316e-003
           7 3.5504e-026 8.5397e-028 5.0600e-025 1.8306e-024 7.4969e-023 2.1310e-022 5.4883e-022 5.2861e-021 7.5285e-020 1.3599e-018 2.4877e-017 6.8676e-016 1.1401e-014 1.9291e-013 3.6446e-012 7.0236e-011 1.5414e-009 1.4428e-008 2.1565e-007 2.8950e-006 3.5529e-005 3.2891e-004 3.3501e-003 2.7559e-002 2.2099e-001 1.6504e+000 9.2358e+000 5.3719e+001 2.8151e+002 1.2231e+003 4.9406e+003 1.7385e+004 5.3858e+004 1.4607e+005 3.4182e+005 6.7873e+005 1.1167e+006 1.4661e+006 1.4440e+006 9.4668e+005 3.1221e+005 1.6598e+004 5.1986e+003 6.8632e+000 1.0782e+002
           8 2.3303e-014 9.4159e-015 3.9530e-013 2.1781e-012 4.9033e-011 5.2195e-011 2.9368e-013 4.3120e-012 2.9808e-012 1.3444e-013 2.1036e-013 1.7727e-013 4.5375e-013 2.8784e-012 4.8306e-011 9.4074e-010 1.9117e-008 1.7631e-007 2.5058e-006 3.1976e-005 3.7200e-004 3.3095e-003 3.1803e-002 2.4891e-001 1.8780e+000 1.3058e+001 6.9824e+001 3.7729e+002 1.8178e+003 7.3474e+003 2.7024e+004 8.6030e+004 2.3742e+005 5.6033e+005 1.1044e+006 1.7584e+006 2.1388e+006 1.7869e+006 7.9996e+005 6.9232e+004 4.2234e+004 3.2456e+004 1.0602e+004 1.6832e+002 8.5602e+002
           9 4.2943e-024 9.4479e-024 1.0394e-022 7.4759e-022 8.9116e-021 7.5653e-023 1.1610e-019 9.3164e-019 9.8586e-018 1.6215e-016 2.6588e-015 6.3955e-014 9.7848e-013 1.5223e-011 2.6101e-010 4.5285e-009 8.6988e-008 7.8418e-007 1.0539e-005 1.2701e-004 1.3914e-003 1.1827e-002 1.0646e-001 7.8740e-001 5.5471e+000 3.5623e+001 1.8047e+002 8.9734e+002 3.9365e+003 1.4614e+004 4.8287e+004 1.3670e+005 3.2876e+005 6.5578e+005 1.0429e+006 1.2332e+006 9.2909e+005 2.6298e+005 3.2689e+004 7.3326e+005 1.2398e+006 4.9751e+005 4.2120e+000 1.7518e+004 5.1507e+003
