   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
           0 8.4911e+005 9.0825e+003 3.6456e+002 2.3567e+001 1.8065e+000 6.9536e-002 2.2867e-001 2.3248e-003 1.8226e-002 1.2145e-004 6.0925e-004 3.5576e-005 4.1099e-005 2.9016e-005 9.2568e-007 1.7526e-006 1.6525e-006 2.2380e-007 5.4026e-012 0.0000e+000 0.0000e+000
           1 5.8881e+003 9.0228e+005 3.0678e+004 2.7417e+003 2.4356e+002 1.1848e+000 1.1420e+001 9.6767e-001 1.0212e+000 5.5402e-002 2.1315e-001 1.0027e-002 1.6801e-002 1.4206e-002 1.2110e-003 2.4780e-004 5.7478e-004 2.2222e-004 3.4310e-005 1.7424e-006 2.5220e-009
           2 1.1432e+003 6.3955e+003 1.0268e+006 8.8245e+004 1.2259e+004 5.6417e+002 1.2111e+002 8.0626e+001 1.1177e+001 7.0879e+000 4.4224e+000 4.7530e-002 1.0151e+000 3.0873e-001 1.1993e-004 5.6096e-002 4.3142e-002 1.1416e-002 8.9541e-004 4.5995e-005 2.8313e-004
           3 1.2549e+001 4.7179e+003 2.4650e+003 1.2524e+006 2.1475e+005 2.8544e+004 5.5046e+000 1.1524e+003 1.0779e+000 1.5183e+002 1.1460e+001 1.3451e+001 1.1960e+001 5.0782e-001 9.4934e-001 1.3772e+000 4.8250e-001 3.8938e-002 7.8297e-003 3.4316e-002 3.1722e-002
           4 2.1372e+000 8.1982e+001 9.9608e+003 7.0494e+002 1.4639e+006 3.6382e+005 3.1489e+004 1.7762e+003 1.2468e+003 4.1048e+002 4.8876e+001 1.3676e+002 1.3080e+001 7.2170e+000 1.4404e+001 4.7211e+000 1.2694e-001 4.2953e-001 8.3831e-001 6.1893e-001 3.0367e-001
           5 5.2090e+000 7.2937e+000 1.6173e+003 5.7464e+003 8.7564e+003 1.4463e+006 4.4545e+005 2.5058e+004 4.5598e+003 2.9153e+002 8.3543e+002 4.6070e+001 7.4825e+001 8.2054e+001 1.1510e+001 1.4965e+000 8.5060e+000 6.7113e+000 2.5001e+000 4.6954e-001 2.1614e-002
           6 1.9069e-001 3.7779e+001 2.4328e+002 1.0706e+004 1.0401e+002 5.3328e+004 1.3033e+006 5.0703e+005 2.0780e+004 6.7857e+003 1.9770e+000 7.9861e+002 3.1325e+002 4.2561e-002 6.9819e+001 5.9546e+001 1.4132e+001 6.5102e-002 2.5377e+000 4.2999e+000 3.3234e+000
           7 5.5770e-001 1.2808e+001 6.9738e+000 1.1797e+001 1.4792e+004 3.1854e+003 1.1876e+005 1.1631e+006 5.5696e+005 1.5960e+004 8.1101e+003 3.9758e+002 3.9408e+002 5.3649e+002 9.7396e+001 3.3487e+000 4.7239e+001 4.6097e+001 2.0873e+001 5.2675e+000 6.0852e-001
           8 1.6687e-001 2.9315e+000 1.9078e+002 1.1158e+003 5.9167e+003 3.8950e+003 1.5873e+003 1.8967e+005 1.0130e+006 5.9451e+005 1.1766e+004 8.7245e+003 1.2320e+003 5.9211e+001 4.9260e+002 2.8906e+002 4.5469e+001 1.2394e+000 2.3126e+001 2.9289e+001 2.0231e+001
           9 3.5268e-001 4.3888e+000 6.2926e+001 1.1338e+001 3.9179e+002 1.3259e+004 1.5888e+001 5.3413e+000 2.5204e+005 8.7717e+005 6.2254e+005 7.7517e+003 8.7147e+003 2.1730e+003 3.8870e+001 2.3042e+002 3.5135e+002 1.8484e+002 4.5495e+001 2.6645e+000 1.0375e+000
          10 2.1027e-003 6.5022e-002 1.6111e+001 5.1430e+002 1.9657e+003 2.1952e+003 9.5400e+003 1.2941e+003 3.9982e+003 2.9970e+005 7.5376e+005 6.4091e+005 4.0399e+003 8.4320e+003 3.0228e+003 3.8343e+002 1.9583e+001 2.1140e+002 2.3595e+002 1.4421e+002 6.2985e+001
          11 4.9317e-002 2.8404e+000 5.3910e+001 3.1646e+002 9.6117e+001 7.9431e+002 8.0613e+003 3.2375e+003 2.3501e+003 1.6281e+004 3.2824e+005 6.4776e+005 6.4811e+005 1.1485e+003 7.7566e+003 3.6069e+003 9.6844e+002 6.4958e+001 2.6963e+001 1.1004e+002 1.1482e+002
          12 1.4818e-003 1.6066e+000 7.6617e+000 6.4922e-001 5.6081e+002 1.9860e+003 5.0419e+002 9.8339e+003 1.2447e+002 1.4159e+003 3.6117e+004 3.3878e+005 5.5753e+005 6.4380e+005 7.1652e+000 6.6986e+003 3.8754e+003 1.5857e+003 4.0825e+002 4.5558e+001 2.4984e-001
          13 4.3668e-002 7.7225e-004 6.9051e+000 1.5432e+002 8.2652e+002 3.3194e+002 9.0203e+002 4.6492e+003 5.8988e+003 5.5440e+002 5.7967e+001 6.0109e+004 3.3384e+005 4.7987e+005 6.2483e+005 2.2714e+003 5.2203e+003 3.7884e+003 2.0117e+003 8.6266e+002 3.0403e+002
          14 6.2128e-002 7.6994e-001 2.1287e+001 1.4110e+002 1.8747e+002 1.6416e+002 1.7062e+003 1.5605e+002 7.5204e+003 1.5461e+003 1.5855e+003 1.2258e+003 8.3753e+004 3.1653e+005 4.0995e+005 5.8572e+005 1.0356e+004 3.1814e+003 3.2907e+003 2.0811e+003 1.0993e+003
          15 1.1012e-002 1.0553e+000 1.1304e+001 2.2599e+001 1.4502e+001 7.4029e+002 5.7807e+002 6.9239e+002 2.9894e+003 5.6651e+003 8.7579e-001 1.2492e+003 7.1229e+003 1.0205e+005 2.8894e+005 3.3050e+005 5.2105e+005 2.4745e+004 1.0342e+003 2.0537e+003 1.6576e+003
