   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51
           0 3.5438e+005 1.1175e+005 1.8558e+004 1.1814e+003 2.2861e+002 1.1367e+003 1.1276e+003 6.5673e+002 2.9847e+002 1.2787e+002 5.7688e+001 2.7209e+001 1.2304e+001 4.8656e+000 1.5674e+000 3.8876e-001 7.2393e-002 1.2321e-002 4.6333e-003 5.4490e-003 7.2388e-003 6.6917e-003 3.7805e-003 9.9177e-004 3.5443e-006 3.8086e-004 8.5683e-004 7.9435e-004 3.9084e-004 7.0570e-005 4.7344e-006 9.2695e-005 1.7325e-004 1.7408e-004 1.1702e-004 5.3340e-005 1.3960e-005 6.9124e-007 1.1918e-006 4.1415e-006 4.8498e-006 3.5295e-006 1.7946e-006 6.3159e-007 1.3571e-007 1.1314e-008 1.8167e-012 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.3752e+006 8.9554e+003 9.2358e+004 3.2213e+004 6.7229e+003 6.7966e+002 2.4133e+002 1.8334e+003 2.5600e+003 1.8298e+003 8.3906e+002 2.9290e+002 1.0452e+002 5.4507e+001 4.0222e+001 2.9201e+001 1.5974e+001 5.5066e+000 8.2823e-001 1.1002e-004 1.4193e-001 1.1581e-001 1.3100e-002 1.5390e-002 7.6352e-002 1.0058e-001 7.2305e-002 2.9831e-002 4.6075e-003 3.4891e-004 5.5348e-003 9.6730e-003 9.3675e-003 6.2170e-003 2.8635e-003 7.7439e-004 3.9726e-005 8.0281e-005 3.1408e-004 4.3843e-004 4.0543e-004 2.8661e-004 1.6179e-004 7.2796e-005 2.4913e-005 5.6057e-006 4.4760e-007 6.5985e-008 3.9708e-007 4.4238e-007 2.7109e-007 1.0310e-007
           2 2.2765e+006 1.8368e+006 1.7612e+005 5.9649e+004 4.9228e+004 5.3197e+003 3.1609e+002 1.7417e+002 4.8798e+000 1.0940e+003 3.2442e+003 3.6281e+003 2.1642e+003 7.5427e+002 1.5677e+002 2.5362e+001 1.2590e+001 2.3156e+001 3.7231e+001 3.7329e+001 2.2975e+001 7.7550e+000 6.7964e-001 3.3657e-001 1.5677e+000 1.6465e+000 8.2147e-001 1.4135e-001 1.2154e-002 1.9468e-001 3.4429e-001 3.2821e-001 2.0549e-001 8.1690e-002 1.3834e-002 4.3183e-004 1.3338e-002 2.7413e-002 3.1764e-002 2.7000e-002 1.8234e-002 9.9643e-003 4.2922e-003 1.3132e-003 1.9120e-004 2.3987e-006 1.1550e-004 2.2778e-004 2.5454e-004 2.0785e-004 1.2227e-004 4.7253e-005
           3 2.2146e+006 6.7448e+006 8.1203e+005 1.0748e+006 1.3071e+003 1.1282e+005 3.5256e+004 1.6228e+000 2.6745e+003 4.3923e+002 7.0021e+000 8.9588e+001 1.5356e+003 3.6861e+003 3.8885e+003 2.2716e+003 7.3063e+002 9.4291e+001 3.6663e-003 5.0120e+000 2.9553e-003 1.1580e+001 3.4935e+001 4.3370e+001 3.1291e+001 1.3190e+001 2.1607e+000 1.0206e-001 2.1087e+000 3.6045e+000 3.2207e+000 1.8148e+000 5.7865e-001 3.8005e-002 6.3053e-002 2.8712e-001 4.3751e-001 4.3193e-001 3.1835e-001 1.7961e-001 7.3193e-002 1.6649e-002 1.8673e-004 4.8810e-003 1.4930e-002 2.1854e-002 2.3421e-002 2.0785e-002 1.6010e-002 1.0689e-002 5.6518e-003 2.0877e-003
           4 1.0109e+006 7.6943e+006 7.8530e+006 2.1391e+004 1.4636e+006 3.4239e+005 2.8301e+004 1.1544e+005 2.4553e+004 9.2044e+002 8.0063e+003 3.5896e+003 3.2057e+002 1.9367e+001 3.6317e+002 1.7971e+003 3.2319e+003 3.1252e+003 1.8347e+003 6.3177e+002 9.1007e+001 1.3605e-001 1.7495e+001 1.2242e+001 3.3507e-001 6.8046e+000 2.3355e+001 3.1779e+001 2.6494e+001 1.4445e+001 4.4579e+000 2.6101e-001 5.2571e-001 2.2006e+000 3.1683e+000 2.9229e+000 1.9593e+000 9.4980e-001 2.8549e-001 2.1526e-002 2.3094e-002 1.2331e-001 2.0976e-001 2.3977e-001 2.1834e-001 1.6926e-001 1.1532e-001 7.0245e-002 3.8596e-002 1.9041e-002 7.9490e-003 2.5820e-003
           5 7.1008e+004 2.5209e+006 1.1068e+007 5.3880e+006 9.3369e+005 7.8603e+005 8.3074e+005 3.4140e+004 7.3708e+004 7.9945e+004 9.7479e+003 2.7716e+003 9.8554e+003 5.4195e+003 1.0573e+003 1.2481e+002 2.2358e+002 1.0078e+003 2.2133e+003 2.7547e+003 2.2173e+003 1.1962e+003 4.0272e+002 5.8428e+001 2.6602e-001 1.6949e+001 1.7076e+001 4.2675e+000 4.1172e-001 8.7252e+000 1.8813e+001 2.2011e+001 1.7636e+001 1.0066e+001 3.7330e+000 5.4114e-001 6.2099e-002 8.9019e-001 1.7924e+000 2.1699e+000 1.9836e+000 1.4718e+000 9.0318e-001 4.4967e-001 1.6809e-001 3.6345e-002 5.2191e-004 8.3990e-003 2.4370e-002 3.0644e-002 2.2769e-002 9.7644e-003
           6 2.4503e+004 2.6833e+004 3.6588e+006 1.3306e+007 3.1010e+006 2.2585e+006 1.7584e+005 1.0213e+006 2.6579e+005 6.0607e+003 9.2763e+004 4.9302e+004 2.0475e+003 5.9821e+003 1.1815e+004 6.5351e+003 1.5974e+003 2.2193e+002 1.4258e+002 5.4972e+002 1.4482e+003 2.2333e+003 2.2700e+003 1.6176e+003 8.0548e+002 2.5269e+002 3.1028e+001 1.5138e+000 1.9525e+001 2.2370e+001 1.0455e+001 9.4123e-001 1.5771e+000 8.6885e+000 1.5171e+001 1.6859e+001 1.3875e+001 8.7415e+000 4.0326e+000 1.1071e+000 4.4249e-002 2.0175e-001 8.1671e-001 1.3550e+000 1.5911e+000 1.5275e+000 1.2737e+000 9.5024e-001 6.4240e-001 3.8806e-001 1.9149e-001 6.8318e-002
           7 1.7453e+003 4.1262e+004 5.9348e+004 5.3016e+006 1.4461e+007 1.3616e+006 3.0823e+006 4.7655e+003 8.1651e+005 5.4408e+005 2.8271e+004 4.5816e+004 7.8031e+004 2.3697e+004 4.0249e-001 8.5950e+003 1.2067e+004 6.7337e+003 1.9793e+003 3.6245e+002 1.4197e+002 3.4898e+002 9.4824e+002 1.6557e+003 1.9609e+003 1.6868e+003 1.0836e+003 5.0795e+002 1.5374e+002 1.7412e+001 1.8751e+000 1.7654e+001 2.2980e+001 1.4841e+001 4.4565e+000 3.5173e-002 2.2084e+000 7.1501e+000 1.0935e+001 1.1783e+001 1.0020e+001 6.9788e+000 3.9669e+000 1.7457e+000 4.9892e-001 3.7453e-002 3.8070e-002 2.0699e-001 3.4950e-001 3.7165e-001 2.5864e-001 1.0837e-001
           8 1.1243e+004 2.0921e+004 6.1034e+003 1.1206e+005 6.6538e+006 1.5032e+007 4.8504e+005 3.3096e+006 2.2211e+005 4.8883e+005 7.0245e+005 1.5051e+005 4.3770e+003 7.0213e+004 5.2344e+004 8.0535e+003 1.4311e+003 1.0743e+004 1.1976e+004 6.5455e+003 2.0689e+003 4.2653e+002 1.3685e+002 2.3604e+002 6.2541e+002 1.1883e+003 1.5901e+003 1.5894e+003 1.2288e+003 7.3660e+002 3.2830e+002 9.3873e+001 8.7274e+000 2.6147e+000 1.6563e+001 2.2777e+001 1.7950e+001 8.8800e+000 2.0850e+000 1.9273e-003 1.6285e+000 4.6300e+000 7.0372e+000 7.9408e+000 7.3892e+000 5.9381e+000 4.2175e+000 2.6785e+000 1.5286e+000 7.7729e-001 3.3094e-001 1.0847e-001
           9 6.5742e+002 4.7454e+003 3.1694e+004 6.0105e+002 1.6396e+005 7.8199e+006 1.5434e+007 1.4458e+005 3.0773e+006 5.7434e+005 2.1645e+005 6.9892e+005 2.9596e+005 8.7841e+003 3.8052e+004 6.4299e+004 2.6694e+004 1.0889e+003 4.3546e+003 1.1875e+004 1.0980e+004 5.7996e+003 1.9554e+003 4.6428e+002 1.4281e+002 1.7695e+002 4.3053e+002 8.5720e+002 1.2450e+003 1.3762e+003 1.2056e+003 8.5261e+002 4.8283e+002 2.0786e+002 5.7617e+001 4.6155e+000 2.6846e+000 1.4505e+001 2.1242e+001 1.9295e+001 1.2484e+001 5.5844e+000 1.3027e+000 1.8784e-003 6.9213e-001 2.0932e+000 3.2617e+000 3.7584e+000 3.5401e+000 2.7560e+000 1.6158e+000 6.2768e-001
          10 2.5108e+003 1.8061e+004 1.7373e+003 3.2612e+004 2.3772e+002 1.5901e+005 8.5284e+006 1.6255e+007 6.4105e+004 2.6413e+006 8.8940e+005 6.4695e+004 6.0037e+005 4.0309e+005 5.5024e+004 1.0055e+004 5.6398e+004 4.3243e+004 9.7975e+003 1.7346e+002 7.3153e+003 1.1977e+004 9.6137e+003 4.9560e+003 1.7488e+003 4.5155e+002 1.3691e+002 1.3769e+002 3.0677e+002 6.1925e+002 9.4587e+002 1.1255e+003 1.0872e+003 8.7317e+002 5.8563e+002 3.2193e+002 1.3676e+002 3.7837e+001 3.0013e+000 1.9797e+000 1.1032e+001 1.7633e+001 1.8409e+001 1.4844e+001 9.7060e+000 5.1251e+000 2.0607e+000 5.2337e-001 3.4072e-002 2.2500e-002 7.0686e-002 4.4186e-002
          11 2.8649e+003 3.3883e+003 6.9176e+003 1.2425e+004 1.7730e+004 1.5586e+002 9.9425e+004 8.6665e+006 1.7796e+007 1.2563e+005 2.1030e+006 1.0997e+006 1.0507e+004 4.7290e+005 4.5047e+005 1.1267e+005 4.1084e+001 3.8063e+004 4.9647e+004 2.1575e+004 1.5087e+003 2.4112e+003 9.3174e+003 1.1198e+004 8.0410e+003 3.9612e+003 1.4063e+003 3.9296e+002 1.2981e+002 1.1378e+002 2.2059e+002 4.4105e+002 7.0935e+002 9.0714e+002 9.4868e+002 8.3222e+002 6.2176e+002 3.9632e+002 2.1174e+002 8.9712e+001 2.5713e+001 2.4387e+000 9.9234e-001 7.0608e+000 1.2608e+001 1.4776e+001 1.3774e+001 1.0964e+001 7.6759e+000 4.7047e+000 2.3269e+000 8.2897e-001
          12 2.7190e+002 9.5555e+002 1.0113e+004 6.0669e+002 2.1547e+004 6.3664e+003 9.1015e+002 1.3439e+004 8.0198e+006 2.0335e+007 5.3348e+005 1.4451e+006 1.2556e+006 1.0315e+003 3.5373e+005 4.5000e+005 1.5752e+005 4.7063e+003 2.0771e+004 4.6138e+004 3.0085e+004 6.5682e+003 9.9659e+001 5.3600e+003 1.0217e+004 9.7485e+003 6.2150e+003 2.9237e+003 1.0594e+003 3.1809e+002 1.1308e+002 9.6988e+001 1.7594e+002 3.3763e+002 5.3612e+002 6.9691e+002 7.6419e+002 7.2412e+002 6.0014e+002 4.3558e+002 2.7455e+002 1.4705e+002 6.3748e+001 1.9731e+001 2.7111e+000 1.4653e-001 2.9293e+000 5.9826e+000 7.2752e+000 6.4904e+000 4.0923e+000 1.6403e+000
          13 3.1687e+002 5.0242e+003 2.6820e+003 8.8996e+003 2.5790e+003 2.2869e+004 6.2433e+002 7.5324e+003 4.3492e+004 6.2798e+006 2.3778e+007 2.1597e+006 5.9666e+005 1.5680e+006 9.8265e+003 2.3441e+005 4.3639e+005 1.7067e+005 1.5005e+004 1.0593e+004 3.8170e+004 3.2270e+004 1.1911e+004 4.9914e+002 2.2841e+003 7.5067e+003 9.4719e+003 7.7455e+003 4.5724e+003 2.0327e+003 7.1374e+002 2.2227e+002 8.8981e+001 8.0931e+001 1.4114e+002 2.6279e+002 4.1447e+002 5.4254e+002 6.0615e+002 5.9441e+002 5.2069e+002 4.1033e+002 2.9075e+002 1.8410e+002 1.0292e+002 4.9664e+001 1.9772e+001 5.8662e+000 9.6727e-001 1.0103e-002 7.4794e-002 7.3131e-002
          14 9.4366e+002 3.6809e+003 4.1646e+001 8.5498e+003 1.2565e+003 1.1426e+004 1.2471e+004 8.7804e+000 1.3953e+004 4.3450e+005 3.1158e+006 2.6266e+007 7.4607e+006 2.8255e+004 2.9180e+006 2.9310e+005 3.6779e+004 5.6943e+005 8.6476e+004 4.0869e+004 1.4640e+004 2.0059e+004 3.6205e+004 1.0971e+004 2.4534e+003 9.7254e+002 4.6481e+003 8.1570e+003 7.4152e+003 5.1439e+003 2.8269e+003 1.1790e+003 4.1365e+002 1.3514e+002 5.9427e+001 6.4316e+001 1.1688e+002 2.0474e+002 3.0831e+002 4.0094e+002 4.5414e+002 4.5427e+002 4.0934e+002 3.3781e+002 2.5727e+002 1.8093e+002 1.1735e+002 7.0159e+001 3.8651e+001 1.9390e+001 8.2684e+000 2.7240e+000
