   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
           0 1.5929e+006 6.9210e+004 3.0334e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 7.0745e+005 1.4109e+006 6.7678e+004 8.8982e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 6.2545e+005 4.2491e+005 1.2285e+006 1.8969e+004 3.3599e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 7.1631e+004 8.4854e+005 6.4996e+003 5.6697e+005 8.6744e+002 2.9791e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.3126e+004 2.7875e+004 1.3003e+006 9.8223e+004 3.8471e+005 3.3036e+003 2.5244e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.6044e+005 3.7034e+004 4.8915e+005 4.4129e+005 5.4547e+004 2.9489e+005 5.8567e+002 1.6605e+003 5.9966e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 2.7929e+005 2.9477e+004 3.4015e+004 1.1934e+006 1.4374e+005 1.1155e+005 2.4421e+005 1.7292e+003 1.4503e+003 4.9062e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 2.0043e+005 3.4115e+004 2.3664e+005 4.0950e+005 6.0527e+005 1.2656e+004 8.2296e+004 1.8342e+005 1.9365e+003 6.8210e+002 1.1050e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 5.3564e+004 8.5729e+004 7.0166e+004 9.1636e+003 5.0644e+005 3.3894e+005 1.0877e+002 7.9387e+004 1.6201e+005 2.4785e+003 4.1761e+002 1.8777e+002 6.9806e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 2.8129e+001 1.2241e+005 8.5461e+001 2.8673e+005 1.2859e+005 5.5950e+005 1.0543e+005 1.3310e+004 7.5646e+004 1.1517e+005 5.0232e+003 3.0919e+002 1.6890e+002 2.8081e+001 4.7528e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 6.1785e+002 5.3338e+003 4.3991e+002 1.8591e+004 5.7420e+002 2.3507e+004 1.0872e+004 2.9954e+001 1.7461e+003 4.2996e+003 1.7305e+003 4.8201e+002 1.8196e+001 9.0677e-003 5.4024e+001 9.7517e+001 2.6894e-001 0.0000e+000 0.0000e+000
          11 6.3486e+003 3.6811e+004 3.7093e+003 1.3606e+005 1.2906e+003 1.6057e+005 8.7281e+004 1.1279e+003 1.0591e+004 2.7373e+004 1.8599e+004 3.0715e+003 1.2342e+002 1.0411e+001 2.2119e+002 1.4450e+002 3.6106e+001 0.0000e+000 0.0000e+000
          12 3.4732e+003 1.5820e+004 1.7632e+003 6.0763e+004 1.2586e+002 6.8513e+004 4.1546e+004 9.7878e+002 4.1399e+003 1.1125e+004 1.0068e+004 1.0623e+003 5.4537e+001 1.3007e+001 3.1988e+000 5.2473e+001 9.6848e+001 6.5244e+000 0.0000e+000
