   v'->v''           0           1           2           3           4           5           6
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 2.0924e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 7.2739e+002 1.2620e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 1.6626e+003 2.6010e+002 7.0211e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 7.2824e+002 9.8407e+002 2.3874e+001 3.0842e-002 0.0000e+000 0.0000e+000 0.0000e+000
           9 7.7268e+001 8.3711e+002 4.3471e+002 4.5150e-001 0.0000e+000 0.0000e+000 0.0000e+000
          10 2.2917e+003 6.4180e+001 1.0210e+003 1.3813e+002 7.4956e+000 0.0000e+000 0.0000e+000
          11 5.4418e+003 4.0090e+002 9.1951e+002 7.1724e+002 5.5037e+000 3.6781e+000 0.0000e+000
          12 6.4370e+003 1.8158e+003 3.3693e+002 1.1719e+003 1.7303e+002 1.1384e+001 0.0000e+000
          13 4.9059e+003 2.7514e+003 1.1700e+001 1.0120e+003 4.4508e+002 6.9281e-001 9.6335e+000
