   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 7.5078e+002 2.4710e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 1.3579e+003 2.1009e+004 3.9832e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 9.0090e+002 1.2148e+000 1.7004e+004 5.7613e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 1.1350e+003 4.4719e+004 5.0277e+004 1.2625e+003 7.8584e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 1.9066e+003 1.3758e+004 1.4177e+003 5.1522e+004 2.5306e+003 6.5016e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 4.1160e+001 1.0410e+004 6.7286e+004 2.2916e+004 2.7860e+004 1.0280e+004 4.8203e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 8.4283e+002 4.1120e+004 5.2558e+004 4.9940e+003 6.0736e+004 3.7667e+003 1.5652e+004 3.1171e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          10 1.4565e+003 2.1575e+004 1.9308e+003 4.9283e+004 1.8076e+004 4.2293e+004 1.0028e+003 1.4745e+004 1.8846e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 6.6138e+002 7.3175e+002 1.6047e+004 5.1406e+004 1.7819e+003 4.8761e+004 1.1622e+004 7.8600e+003 1.0399e+004 1.1537e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 4.3867e+001 5.0710e+003 4.1786e+004 1.9571e+004 2.7616e+004 1.8933e+004 3.6103e+004 4.7985e+001 1.1874e+004 5.6960e+003 7.7419e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 6.9723e+001 1.3903e+004 3.9869e+004 1.4328e+003 4.3206e+004 1.0802e+003 3.7688e+004 8.2775e+003 3.8224e+003 9.8324e+003 2.3856e+003 6.0723e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 2.4995e+002 1.4802e+004 2.3754e+004 1.2543e+003 3.6280e+004 1.9756e+003 2.3663e+004 1.7078e+004 3.3132e+001 7.2926e+003 4.9907e+003 7.9331e+002 5.1294e+002 0.0000e+000 0.0000e+000 0.0000e+000
          15 2.8346e+002 1.0349e+004 1.0460e+004 4.6945e+003 2.1573e+004 6.3152e+003 1.0675e+004 1.6922e+004 8.8745e+002 3.2291e+003 4.9663e+003 1.4361e+003 2.9158e+002 3.4108e+002 0.0000e+000 0.0000e+000
          16 1.7721e+002 5.0278e+003 3.5348e+003 4.2526e+003 9.3487e+003 5.5779e+003 3.6119e+003 1.0034e+004 1.4021e+003 9.8787e+002 2.7627e+003 1.2492e+003 2.1093e+002 1.7485e+002 8.3979e+001 0.0000e+000
          17 4.5142e+001 1.1633e+003 6.8642e+002 1.2190e+003 2.0546e+003 1.5895e+003 6.9766e+002 2.5104e+003 4.6270e+002 1.7651e+002 6.6664e+002 3.5463e+002 6.5635e+001 3.5352e+001 3.7090e+001 4.6062e-001
