   v'->v''           0           1           2           3           4           5           6           7           8           9
           0 3.7849e+002 1.2555e+004 1.0381e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 6.7844e+000 2.0092e+001 6.4223e+003 7.2812e+003 4.5997e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.6391e+004 2.1907e+003 2.0673e+003 1.4899e+003 5.7096e+003 3.5389e+003 7.9437e+001 0.0000e+000 0.0000e+000 0.0000e+000
           3 3.1775e+005 2.8371e+002 6.3472e+004 8.1244e+002 4.6425e+003 3.6118e+003 4.4865e+003 2.0821e+003 2.2395e+002 4.5113e-001
           4 1.7768e+006 3.3836e+004 2.7195e+004 6.5984e+004 1.1253e+003 3.2729e+003 2.5168e+003 3.1284e+003 3.2200e+003 1.7506e+003
           5 3.5748e+006 1.2996e+005 3.5677e+005 1.9370e+003 1.1964e+005 6.7368e+003 3.9889e+003 3.2582e+003 1.7041e+003 1.3099e+003
           6 2.1221e+006 1.1767e+005 2.4536e+006 8.8217e+005 2.0710e+004 1.3164e+005 2.4091e+004 5.5191e+002 3.4401e+003 1.9482e+003
           7 8.3133e+004 1.3318e+004 2.2238e+006 2.7157e+006 1.5446e+006 2.7530e+004 1.6297e+005 5.7373e+004 1.8094e+003 9.2550e+002
           8 7.9797e+004 2.1801e+003 1.2357e+005 8.5137e+005 4.2841e+006 2.0321e+006 7.5708e+004 1.4132e+005 9.8394e+004 2.0566e+004
           9 8.5309e+002 1.0149e+002 6.1002e+004 1.8183e+004 7.5534e+005 4.4286e+006 2.5744e+006 2.4135e+005 7.3922e+004 1.1115e+005
          10 1.2426e+004 5.9776e+002 2.9394e+003 7.2663e+003 6.8211e+004 3.4080e+005 5.1378e+006 2.3684e+006 6.3408e+005 4.5078e+002
          11 9.9165e+003 1.8215e+002 5.0613e+003 1.7838e+004 2.7804e+003 6.3073e+004 2.4062e+005 5.6870e+006 1.4385e+006 1.1571e+006
          12 7.0002e+002 4.4516e+000 7.9180e+003 5.9630e+003 7.7711e+003 3.2835e+004 2.0151e+004 3.4020e+005 6.1696e+006 9.8382e+004
          13 8.8539e+002 8.3441e+001 2.4375e+003 8.9620e+001 1.2663e+004 1.4705e+003 4.9982e+004 1.7701e+003 8.4873e+005 5.0357e+006
          14 2.5312e+003 7.4966e+001 4.7023e+001 8.4674e+002 6.1747e+003 1.9737e+003 1.6095e+004 4.2543e+004 1.0829e+005 2.2689e+006
          15 2.1034e+003 2.8757e+001 3.7856e+002 1.6648e+003 1.4447e+003 5.1063e+003 2.2090e+003 2.2230e+004 4.1924e+004 7.6974e+005
          16 9.9197e+002 4.4502e+000 8.6274e+002 1.3640e+003 5.6389e+001 4.9083e+003 3.8194e+000 1.0264e+004 1.3233e+004 1.5774e+005
          17 3.0096e+002 4.7785e-003 8.2025e+002 7.5225e+002 8.9120e+001 3.1550e+003 6.9363e+002 3.8728e+003 1.0346e+004 3.5781e+000
          18 5.8171e+001 1.1296e+000 5.2217e+002 3.2489e+002 2.2408e+002 1.5772e+003 1.0140e+003 1.1232e+003 5.7514e+003 5.2852e+003
          19 6.9528e+000 1.1284e+000 2.1708e+002 1.0515e+002 1.5100e+002 5.7127e+002 5.9411e+002 2.5767e+002 2.1885e+003 2.4491e+003
          20 8.3566e-001 3.5693e-001 5.4103e+001 2.3845e+001 4.3448e+001 1.3567e+002 1.6479e+002 5.0075e+001 5.3055e+002 6.1480e+002
