   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 9.6502e+002 5.5706e-003 1.4673e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 5.1689e+002 5.8103e-001 3.1908e+000 9.6542e+002 1.0355e+001 9.4723e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 7.7408e+001 2.4809e+001 1.3574e+002 1.5388e+003 3.5960e+002 6.7513e+002 4.3279e+001 1.0236e+003 7.8518e+002 6.9511e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 2.0497e+001 5.5227e+002 2.5519e+003 1.0663e+002 6.3460e+003 1.1328e+004 7.9106e+003 1.0610e+004 1.2198e+004 8.5943e+002 4.2987e+003 2.1624e+003 2.5209e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 7.2030e+000 7.4369e+003 2.6826e+004 1.9078e+002 5.2478e+004 7.2716e+004 1.8258e+003 7.4130e+004 5.7529e+004 2.7005e+003 1.5182e+004 3.4856e+003 1.6769e+003 4.3798e+003 7.6989e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 5.2726e-001 6.4547e+004 1.6602e+005 9.2544e-001 2.3121e+005 2.1923e+005 3.2221e+003 1.3662e+005 3.7194e+004 1.8144e+004 2.6669e+004 1.6909e+002 1.0648e+004 2.5573e+003 1.3151e+003 4.7025e+003 1.9791e+003 5.7903e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 4.7540e-001 3.6825e+005 5.8777e+005 7.6843e+001 4.7967e+005 2.2480e+005 5.8365e+002 4.2054e+004 6.5666e+003 3.5303e+004 9.3560e+003 5.1931e+004 1.5724e+004 2.7443e+003 1.1624e+004 2.4794e+003 1.0169e+003 4.7092e+003 2.8582e+003 3.4629e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           8 7.1124e-001 1.3593e+006 1.0013e+006 1.6975e-001 2.7065e+005 1.7354e+003 6.4924e+003 7.1073e+004 1.3353e+005 4.9402e+002 7.8825e+004 9.0568e+003 2.6637e+004 4.0062e+004 3.1265e+003 5.5099e+003 9.7158e+003 1.4954e+003 1.0602e+003 4.3883e+003 3.2479e+003 7.1486e+002 5.3908e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           9 1.5850e-001 3.0502e+006 3.8581e+005 3.2352e+001 5.7389e+004 3.3330e+005 3.5144e+003 2.3323e+005 1.7466e+004 6.1856e+004 6.3071e+002 6.0710e+004 3.2076e+004 7.5959e+003 4.5920e+004 2.0924e+004 5.8671e-001 8.3100e+003 7.4806e+003 6.5602e+002 1.2794e+003 4.1122e+003 3.2368e+003 9.5977e+002 4.4671e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
