   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13
           0 5.0179e+007 2.8694e+005 2.9384e+002 5.3683e-001 3.8492e-002 2.2533e-003 3.6371e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 4.8944e+005 4.8763e+007 5.8861e+005 1.2657e+003 2.9600e+000 2.7038e-002 4.6534e-004 7.6798e-004 2.1174e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 1.4681e+004 9.5693e+005 4.7395e+007 8.8925e+005 3.5959e+003 1.2780e+001 2.2395e-001 6.1832e-004 6.5015e-003 5.7947e-008 1.4478e-006 0.0000e+000 0.0000e+000 0.0000e+000
           3 6.8594e+002 4.6332e+004 1.3736e+006 4.6103e+007 1.1750e+006 8.8166e+003 4.5803e+001 1.0074e+000 2.3814e-003 2.2405e-002 8.7973e-005 9.5102e-005 2.1391e-009 3.5211e-007
           4 2.9983e+001 2.9971e+003 9.4545e+004 1.7207e+006 4.4946e+007 1.4196e+006 1.9932e+004 1.5322e+002 3.3188e+000 4.4209e-002 8.3956e-002 5.1745e-003 1.4551e-004 1.0929e-004
           5 9.6480e+000 1.8973e+002 8.0572e+003 1.6012e+005 1.9634e+006 4.4002e+007 1.5816e+006 4.2710e+004 5.4249e+002 1.1651e+001 2.4026e-001 2.4946e-001 6.3967e-002 5.7280e-003
           6 2.9077e-001 3.2550e+001 8.0908e+002 1.7241e+004 2.4090e+005 2.0572e+006 4.3368e+007 1.6087e+006 8.7168e+004 2.0410e+003 5.2845e+001 1.9421e+000 5.5314e-001 1.8396e-001
           7 4.9567e-001 3.7961e-002 1.0905e+002 2.2109e+003 3.1490e+004 3.3217e+005 1.9606e+006 4.3147e+007 1.4378e+006 1.6777e+005 7.7166e+003 3.6462e+002 1.8798e+001 2.2564e+000
           8 1.4418e-001 4.4889e-002 6.3298e+000 3.7670e+002 4.9839e+003 5.1877e+004 4.2785e+005 1.6416e+006 4.3425e+007 1.0157e+006 2.9402e+005 2.7939e+004 2.6906e+003 3.0731e+002
           9 3.9544e-002 1.2026e+000 1.5446e+000 4.1817e+001 9.5451e+002 9.4883e+003 7.7980e+004 5.2083e+005 1.0974e+006 4.4182e+007 3.8985e+005 4.2738e+005 8.6154e+004 1.5496e+004
          10 3.2801e-001 3.7803e-001 8.9995e-001 9.6859e+000 1.8047e+002 2.3184e+003 1.6776e+004 1.0830e+005 6.0748e+005 4.2393e+005 4.5010e+007 3.6455e+003 3.7793e+005 1.5392e+005
          11 7.2132e-001 1.8996e-001 2.5094e-002 3.9163e+000 4.6666e+001 4.7944e+002 4.6047e+003 2.6967e+004 1.3851e+005 6.9785e+005 1.5857e+002 4.4310e+007 1.3500e+006 1.2646e+004
          12 2.8420e-001 6.0263e-001 7.5918e-002 4.4758e-001 1.2991e+001 1.4137e+002 1.1958e+003 8.4022e+003 3.9968e+004 1.6131e+005 8.4692e+005 9.7652e+005 3.7379e+007 5.9709e+006
          13 1.5003e-003 2.1094e-001 2.8703e-002 2.0080e-002 2.7892e+000 6.2903e+001 4.0351e+002 2.5745e+003 1.3780e+004 5.3420e+004 1.6389e+005 1.2661e+006 6.1023e+006 1.6032e+007
          14 9.7950e-002 7.5562e-005 9.1363e-003 6.5911e-002 5.5909e-001 2.4601e+001 1.7647e+002 9.5555e+002 4.8944e+003 2.0598e+004 6.3174e+004 1.2472e+005 2.9558e+006 1.6326e+007
          15 1.9683e-001 6.9674e-002 6.2904e-002 6.4635e-003 1.8231e-001 7.4468e+000 7.7533e+001 4.2774e+002 1.9998e+003 8.0843e+003 2.6039e+004 6.0983e+004 2.3175e+004 1.1770e+007
          16 1.5847e-001 9.8951e-002 6.5323e-002 3.6280e-003 8.9885e-002 1.9110e+000 2.9613e+001 1.8168e+002 8.2232e+002 3.1663e+003 1.0244e+004 2.4995e+004 3.7659e+004 8.3244e+005
          17 4.1523e-002 3.0390e-002 1.8260e-002 3.5842e-003 2.2034e-002 2.9131e-001 5.6693e+000 3.7316e+001 1.6890e+002 6.3974e+002 2.0590e+003 5.0120e+003 8.4837e+003 2.3766e+004
