   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12
           0 4.3251e+006 7.4103e+004 1.1987e+004 2.2454e+000 3.6601e-001 6.2216e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 1.6311e+005 4.9927e+006 1.8388e+004 1.1827e+005 6.2772e+000 4.9954e+002 2.1448e-001 2.1676e+000 5.3759e-002 9.1226e-003 1.2202e-003 9.6678e-005 1.7812e-006
           2 9.5856e+000 8.4615e+004 6.0725e+006 6.7344e+005 1.1799e+005 1.6512e+004 3.6090e+002 4.0623e+002 3.5057e+001 1.3173e+001 6.2247e+000 3.1532e+000 1.7545e+000
           3 2.7656e+003 5.4313e+004 6.6700e+004 5.7897e+006 3.3242e+005 5.8860e+003 2.8285e+004 3.6684e+003 1.2026e+002 3.1299e+001 9.1514e+000 2.7246e+000 8.7432e-001
           4 9.3307e+002 1.4287e+004 9.2162e+004 3.2336e+004 6.2061e+006 1.3423e+005 2.5288e+004 8.1155e+003 4.5352e+003 2.4762e+003 1.6483e+003 1.0803e+003 7.2200e+002
           5 3.5835e+001 9.7178e+001 8.1389e+003 5.6726e+004 2.1712e+003 6.4577e+006 2.2376e+004 6.5187e+004 9.0699e+003 3.5919e+003 1.7373e+003 8.7742e+002 4.8067e+002
           6 4.1434e+002 5.5967e+003 9.8656e+003 1.5215e+001 1.4317e+004 2.2844e+005 5.6754e+006 7.8212e+005 1.6724e+004 3.0872e+003 4.2498e+002 1.4409e+001 1.3062e+001
           7 3.6409e+001 1.0969e+002 1.0972e+004 3.5189e+004 8.7085e+003 8.7834e+003 1.0367e+006 2.5882e+006 9.1746e+005 4.6629e+005 2.9149e+005 1.8254e+005 1.1819e+005
           8 1.4485e+002 3.4524e+003 9.9519e+003 4.4988e+001 3.5499e+004 3.4081e+004 2.1658e+005 1.9915e+006 7.8942e+003 2.9636e+003 1.6637e+004 2.3472e+004 2.3241e+004
           9 1.3027e+002 4.1716e+002 1.3244e+003 2.4517e+004 7.7862e+003 3.8015e+004 1.4920e+005 1.0319e+006 2.0047e+005 1.8098e+005 1.5974e+005 1.2060e+005 8.6715e+004
          10 1.6099e-002 8.5025e+002 9.7338e+003 9.6851e+003 8.2019e+003 1.3559e+004 7.8154e+004 7.1620e+005 5.1086e+005 3.0128e+005 1.8921e+005 1.1107e+005 6.6471e+004
          11 6.9805e+001 1.4805e+003 3.0380e+003 1.3733e+003 2.1981e+004 5.1501e+002 5.3731e+003 4.1994e+005 8.9462e+005 3.6653e+005 1.5636e+005 6.3824e+004 2.7544e+004
          12 6.7830e+001 2.7001e+002 3.5021e+002 1.2735e+004 6.0392e+003 1.7235e+004 1.7610e+003 3.7914e+004 1.2598e+006 3.1687e+005 6.4242e+004 7.5919e+003 6.1692e+001
          13 9.6320e+000 7.9642e+001 3.7688e+003 9.5404e+003 8.3621e+002 1.6195e+004 8.7373e+003 3.6996e+004 9.5329e+005 6.5347e+004 7.5890e+003 4.5614e+004 5.8236e+004
          14 4.3345e+000 4.7590e+002 3.7083e+003 1.1692e+003 8.7590e+003 3.0791e+003 1.4634e+004 1.7848e+004 8.4272e+005 2.4248e+002 1.0053e+005 1.4102e+005 1.1967e+005
          15 2.2668e+001 4.7182e+002 1.2387e+003 7.1423e+002 1.0155e+004 4.2965e+002 9.5143e+003 4.3316e+003 6.2125e+005 6.8944e+004 2.5515e+005 2.0601e+005 1.2773e+005
          16 2.4610e+001 2.1787e+002 3.2431e+001 3.7072e+003 5.2728e+003 4.8045e+003 2.1674e+003 1.0507e+004 2.3689e+005 2.9168e+005 3.2627e+005 1.4714e+005 5.4716e+004
          17 1.4378e+001 4.3251e+001 2.4627e+002 4.7057e+003 1.2142e+003 7.3427e+003 1.7280e+000 4.4075e+003 1.1811e+005 2.4823e+005 1.0143e+005 6.6396e+003 1.7381e+003
          18 5.3112e+000 2.2926e-002 7.0654e+002 3.6624e+003 9.7354e+000 6.4142e+003 1.0947e+003 1.3130e+003 2.1484e+003 1.1241e+005 7.9410e+003 6.7818e+003 1.7806e+004
          19 1.1108e+000 1.4566e+001 8.6625e+002 2.1712e+003 3.0875e+002 4.1792e+003 2.3728e+003 1.5266e+002 1.5017e+002 7.5058e+003 5.6217e+001 4.3159e+003 5.6832e+003
          20 4.3916e-002 3.1836e+001 7.5167e+002 1.0687e+003 7.6938e+002 2.2516e+003 2.7162e+003 1.6662e+001 4.1269e+003 8.3730e+004 1.4813e+005 7.3038e+003 5.0069e+002
          21 5.4912e-002 3.3525e+001 5.1275e+002 4.5044e+002 8.5194e+002 1.0388e+003 2.1921e+003 1.4530e+002 9.4832e+001 5.8049e+004 5.6378e+005 1.4504e+005 1.0538e+005
          22 1.0837e-001 2.0222e+001 2.4773e+002 1.5250e+002 5.2615e+002 3.7973e+002 1.1657e+003 1.4447e+002 1.4986e-001 6.3681e+002 2.2111e+005 1.3304e+006 3.3458e+004
