   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13
           0 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           1 4.0115e+001 1.1880e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           2 9.2101e+003 1.6568e+002 1.2267e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           3 1.5465e+005 9.6847e+001 1.3712e+004 7.9410e+002 3.6163e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           4 8.1679e+005 9.5437e+002 4.2166e+003 9.0318e+003 1.5445e+003 9.6956e+001 5.1944e-002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           5 1.4188e+006 4.0175e+003 1.8056e+005 1.0989e+004 1.7091e+004 2.4033e+003 5.4270e+002 5.2028e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           6 3.9707e+005 2.5671e+003 9.4984e+005 2.6424e+005 7.4178e+004 3.5666e+003 2.3597e+003 8.4343e+002 1.1675e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
           7 8.6420e+004 5.5566e+001 2.1874e+005 1.8302e+005 6.4886e+005 2.6303e+005 5.3729e+003 4.3115e+002 1.1704e+003 1.4889e+002 4.4375e-001 0.0000e+000 0.0000e+000 0.0000e+000
           8 1.4818e+004 2.6439e+002 1.7881e+005 4.9511e+004 3.5384e+003 1.9825e+005 3.4573e+005 6.2151e+004 3.3500e+003 2.4841e+003 3.3552e+002 2.2259e+000 0.0000e+000 0.0000e+000
           9 8.8055e+003 6.2411e+001 1.1373e+004 6.9202e+002 2.2892e+004 5.8382e+004 2.4308e+004 3.9405e+003 1.1991e+004 3.6653e+003 1.7333e+003 3.5713e+002 2.8431e-003 0.0000e+000
          10 9.1149e+003 5.5095e+001 6.3700e+003 6.3284e+001 2.7341e+004 5.1304e+004 1.2087e+004 1.0380e+004 1.4976e+004 3.2047e+003 1.0479e+003 1.2124e+002 3.6915e-001 0.0000e+000
          11 6.9053e+003 3.6383e+001 2.4594e+003 3.6099e+001 2.2777e+004 3.3102e+004 3.5871e+003 1.3103e+004 1.1989e+004 1.6120e+003 3.0552e+002 3.9636e+000 6.3349e+000 0.0000e+000
          12 4.8846e+003 2.3264e+001 9.1170e+002 1.5597e+002 1.7029e+004 2.0535e+004 8.2805e+002 1.2225e+004 8.3216e+003 6.6668e+002 5.2093e+001 8.7204e+000 1.2008e+001 0.0000e+000
          13 3.4495e+003 1.5297e+001 3.5503e+002 2.1567e+002 1.2425e+004 1.3118e+004 1.3539e+002 1.0127e+004 5.6258e+003 2.6149e+002 2.2850e+000 2.4587e+001 1.2471e+001 0.0000e+000
          14 2.2032e+003 9.2872e+000 1.3168e+002 1.9667e+002 8.0966e+003 7.7715e+003 5.3840e+000 7.1348e+003 3.4304e+003 9.0850e+001 1.7988e+000 2.7047e+001 9.3234e+000 0.0000e+000
