   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36
          10 1.5949e+005 3.5910e+005 5.1423e+005 1.1840e+006 1.1919e+006 8.3947e+004 5.3798e+005 4.3149e+004 9.9973e+002 5.6743e+004 1.3162e+005 1.7261e+004 5.4525e+003 2.5800e+003 5.7721e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          11 9.1613e+003 6.4422e+004 1.1121e+006 5.0856e+003 1.6257e+006 3.3311e+005 3.0144e+005 3.6630e+005 6.1524e+003 2.5606e+003 4.6944e+004 1.0128e+005 1.3839e+004 4.1632e+003 3.4187e+003 1.2755e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          12 6.6930e+003 3.0198e+005 5.3540e+005 4.4108e+005 6.0488e+005 1.3236e+006 2.1703e+004 4.2609e+005 2.4631e+005 1.6956e+003 2.8756e+002 4.5321e+004 8.1077e+004 1.2964e+004 2.1117e+003 3.3620e+003 5.3395e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          13 1.8211e+004 1.9745e+005 2.4074e+004 7.4828e+005 6.4307e+002 1.1216e+006 7.2680e+005 2.3887e+004 4.5518e+005 1.7062e+005 3.9687e+002 5.9489e+001 3.6274e+004 6.4272e+004 1.3086e+004 7.5667e+002 3.1150e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          14 9.4075e+003 2.9966e+004 7.1919e+004 3.5648e+005 3.5679e+005 2.2253e+005 1.1525e+006 2.6900e+005 1.3412e+005 4.1494e+005 1.0239e+005 1.1632e+002 6.1736e+001 2.8646e+004 5.0777e+004 1.2297e+004 1.8298e+002 2.6624e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          15 1.0700e+003 2.6509e+003 1.6016e+005 3.3478e+004 5.4753e+005 2.5349e+004 6.4399e+005 8.7172e+005 4.1959e+004 2.4831e+005 3.3767e+005 5.4947e+004 9.7784e+002 2.9095e+000 2.4109e+004 4.0607e+004 1.1150e+004 5.3429e+000 2.1021e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          16 3.1433e+002 2.5273e+004 1.0116e+005 2.2268e+004 3.1044e+005 3.1178e+005 8.1299e+004 8.7748e+005 4.9556e+005 2.7255e+003 3.1492e+005 2.5676e+005 2.8327e+004 1.6003e+003 2.9896e+001 2.0359e+004 3.2622e+004 1.0131e+004 5.8252e+001 1.5472e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          17 1.6375e+003 2.5478e+004 2.0903e+004 9.4493e+004 5.5421e+004 4.2038e+005 4.4740e+004 3.6872e+005 8.2194e+005 2.0119e+005 5.8813e+004 3.2976e+005 1.8518e+005 1.3480e+004 1.9614e+003 9.9999e+001 1.6844e+004 2.6174e+004 9.2017e+003 2.6286e+002 1.0698e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          18 1.4829e+003 9.7272e+003 2.8770e+002 9.1419e+004 3.3281e+003 2.4919e+005 2.6072e+005 2.2580e+004 6.1089e+005 5.9588e+005 4.2356e+004 1.3860e+005 3.0575e+005 1.2588e+005 5.2949e+003 2.2059e+003 1.6148e+002 1.3812e+004 2.0980e+004 8.2844e+003 5.3287e+002 7.0202e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          19 5.2404e+002 5.7766e+002 1.2992e+004 4.0453e+004 5.4550e+004 6.0186e+004 3.2943e+005 5.8524e+004 2.0110e+005 6.7876e+005 3.3815e+005 1.7137e+001 2.0317e+005 2.5958e+005 8.0414e+004 1.4426e+003 2.2226e+003 2.3818e+002 1.1415e+004 1.6857e+004 7.3960e+003 8.0139e+002 4.3920e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
