# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=1) -> e + D2(g3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  1  1.35505E+01    3.83350E-02  -2.51340E-02   1.53980E-01  -2.85380E-01   2.06500E-01
   1 <-  1  1.37606E+01    3.64100E-02  -2.22250E-02   1.37100E-01  -2.46270E-01   1.74540E-01
   2 <-  1  1.39590E+01    2.17960E-02  -7.86550E-03   5.14990E-02  -8.89250E-02   6.41120E-02
   3 <-  1  1.41482E+01    1.07630E-02  -1.88260E-03   1.21270E-02  -2.06310E-02   1.47350E-02
   4 <-  1  1.43294E+01    2.58430E-08   2.53280E-06  -5.91140E-06   3.90850E-05  -1.35820E-05
   5 <-  1  1.45026E+01    7.91260E-03  -1.02780E-03   6.11640E-03  -1.09310E-02   7.64530E-03
   6 <-  1  1.46681E+01    1.51720E-02  -3.75510E-03   2.16150E-02  -3.92830E-02   2.74860E-02
   7 <-  1  1.48260E+01    2.07070E-02  -6.98040E-03   3.91810E-02  -7.24460E-02   5.06350E-02
   8 <-  1  1.49765E+01    2.33670E-02  -8.89800E-03   4.95000E-02  -9.28660E-02   6.54280E-02
   9 <-  1  1.51196E+01    2.53100E-02  -1.04180E-02   5.71080E-02  -1.08250E-01   7.60340E-02
  10 <-  1  1.52553E+01    2.59270E-02  -1.08970E-02   5.90330E-02  -1.12620E-01   7.87730E-02
  11 <-  1  1.53835E+01    2.49120E-02  -1.00310E-02   5.40160E-02  -1.03510E-01   7.24160E-02
  12 <-  1  1.55042E+01    2.25170E-02  -8.18010E-03   4.40430E-02  -8.47670E-02   5.96900E-02
  13 <-  1  1.56172E+01    2.10140E-02  -7.07960E-03   3.77930E-02  -7.26730E-02   5.08780E-02
  14 <-  1  1.57221E+01    1.91370E-02  -5.83180E-03   3.09190E-02  -5.93330E-02   4.13620E-02
  15 <-  1  1.58184E+01    1.70440E-02  -4.59470E-03   2.42310E-02  -4.63770E-02   3.22520E-02
  16 <-  1  1.59054E+01    1.48450E-02  -3.46210E-03   1.81960E-02  -3.47320E-02   2.41530E-02
  17 <-  1  1.59820E+01    1.26110E-02  -2.48330E-03   1.30370E-02  -2.48330E-02   1.73210E-02
  18 <-  1  1.60473E+01    1.08340E-02  -1.82000E-03   9.51640E-03  -1.80610E-02   1.25760E-02
  19 <-  1  1.61014E+01    9.39490E-03  -1.35950E-03   7.07380E-03  -1.33730E-02   9.27950E-03
  20 <-  1  1.61462E+01    8.25890E-03  -1.04440E-03   5.41240E-03  -1.01970E-02   7.05630E-03
  21 <-  1  1.61838E+01    7.31690E-03  -8.15530E-04   4.21180E-03  -7.91150E-03   5.46260E-03
  22 <-  1  1.62152E+01    6.44270E-03  -6.29460E-04   3.24160E-03  -6.07370E-03   4.18630E-03
  23 <-  1  1.62405E+01    5.55020E-03  -4.65400E-04   2.39130E-03  -4.47110E-03   3.07770E-03
  24 <-  1  1.62593E+01    4.55240E-03  -3.12210E-04   1.60150E-03  -2.98980E-03   2.05620E-03
  25 <-  1  1.62713E+01    3.34450E-03  -1.68200E-04   8.61860E-04  -1.60730E-03   1.10480E-03
  26 <-  1  1.62768E+01    1.91670E-03  -5.51940E-05   2.82680E-04  -5.26950E-04   3.62120E-04
  27 <-  1  1.62782E+01    7.16620E-04  -7.71420E-06   3.95040E-05  -7.36310E-05   5.05960E-05
  28 <-  1  1.62784E+01    4.40680E-04  -2.91700E-06   1.49380E-05  -2.78420E-05   1.91320E-05
  DE <-  1  1.62784E+01    1.68260E-02  -3.44790E-03   1.68060E-02  -2.87150E-02   2.15980E-02
