   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29
           0 8.7462e-001 1.2133e-001 4.0112e-003 3.1982e-005 2.3747e-008 4.1444e-009 4.5851e-009 5.1233e-009 8.4566e-009 2.0251e-012 2.7086e-009 8.5912e-011 6.4910e-010 9.6944e-011 5.9918e-010 2.4106e-011 2.9571e-010 4.3603e-010 9.5317e-011 1.2643e-011 1.2833e-010 1.6592e-010 1.1799e-010 6.1747e-011 2.7610e-011 1.4153e-011 1.0831e-011 7.9061e-012 5.3599e-012 3.3911e-012
           1 1.1109e-001 6.5069e-001 2.2573e-001 1.2348e-002 1.3904e-004 1.0087e-007 3.5521e-010 4.3601e-009 1.1823e-008 1.1014e-008 5.3978e-010 6.9593e-010 2.1655e-009 1.9898e-010 1.7894e-009 1.3168e-009 1.0960e-011 6.3975e-010 3.8414e-010 1.2560e-011 6.2206e-011 1.2716e-010 9.5025e-011 4.7443e-011 2.0077e-011 9.9198e-012 7.3736e-012 5.2450e-012 3.4832e-012 2.1714e-012
           2 1.2537e-002 1.8789e-001 4.6231e-001 3.1179e-001 2.5094e-002 3.8084e-004 4.3507e-007 1.2597e-009 5.8219e-009 2.7722e-009 7.0265e-009 3.3007e-009 5.1697e-011 2.1392e-009 1.2983e-011 1.1437e-009 1.0019e-010 2.2174e-010 1.7415e-010 4.3012e-012 1.7562e-010 2.4077e-010 1.5623e-010 7.1723e-011 2.8836e-011 1.3847e-011 1.0080e-011 7.0433e-012 4.6133e-012 2.8480e-012
           3 1.5120e-003 3.3403e-002 2.3335e-001 3.0906e-001 3.7940e-001 4.2451e-002 8.2552e-004 9.0367e-007 9.6917e-009 8.8371e-009 7.3495e-009 1.5420e-008 6.4164e-009 1.9473e-010 4.1671e-009 8.4771e-012 2.3247e-009 2.9925e-010 4.2265e-010 6.1977e-010 6.7800e-011 5.5663e-011 1.9377e-010 1.7743e-010 1.0168e-010 5.8423e-011 4.8182e-011 3.7276e-011 2.6359e-011 1.7155e-011
           4 2.0060e-004 5.5261e-003 5.8690e-002 2.5228e-001 1.8972e-001 4.2796e-001 6.4090e-002 1.5390e-003 1.6079e-006 4.8713e-008 1.4160e-008 1.0843e-008 2.8462e-008 1.0621e-008 7.9107e-010 5.9065e-009 6.2225e-013 3.7387e-009 8.2011e-010 4.3884e-010 1.3257e-009 6.5201e-010 1.0939e-010 2.5849e-012 1.8518e-012 3.6303e-012 5.0337e-012 5.3914e-012 4.6815e-012 3.4562e-012
           5 3.1341e-005 9.3723e-004 1.2527e-002 8.4503e-002 2.4880e-001 1.0260e-001 4.5822e-001 8.9801e-002 2.5836e-003 2.0970e-006 1.4226e-007 9.6040e-009 6.7722e-009 2.4024e-008 1.0865e-008 1.9812e-010 5.0161e-009 6.9389e-011 3.3616e-009 7.6195e-010 2.0338e-010 8.5807e-010 6.0760e-010 2.4784e-010 8.6355e-011 3.7413e-011 2.4981e-011 1.6101e-011 9.8555e-012 5.7850e-012
           6 5.1051e-006 1.7716e-004 2.6174e-003 2.2432e-002 1.0774e-001 2.2820e-001 4.4688e-002 4.7122e-001 1.1891e-001 3.9938e-003 1.8578e-006 4.0289e-007 3.4751e-009 3.4935e-009 2.1140e-008 8.6731e-009 1.8634e-011 4.0550e-009 8.6443e-011 2.9857e-009 1.1766e-009 2.8604e-012 1.9303e-010 2.3335e-010 1.3705e-010 7.8013e-011 6.3472e-011 4.8386e-011 3.3772e-011 2.1763e-011
           7 9.1640e-007 3.5034e-005 5.7550e-004 5.6067e-003 3.4711e-002 1.2562e-001 1.9572e-001 1.2154e-002 4.6907e-001 1.5076e-001 5.7515e-003 6.0766e-007 9.7873e-007 4.7422e-012 1.9529e-009 2.0771e-008 6.9898e-009 6.0130e-011 3.3323e-009 2.3158e-015 2.0543e-009 1.6125e-009 3.7753e-010 3.4021e-011 4.1641e-013 5.4767e-013 1.8886e-012 2.8044e-012 2.8392e-012 2.2683e-012
           8 2.3910e-007 7.5470e-006 1.3235e-004 1.4293e-003 1.0150e-002 4.8281e-002 1.3629e-001 1.5674e-001 3.2714e-004 4.5434e-001 1.8451e-001 7.7780e-003 3.7430e-007 2.1083e-006 7.8294e-009 6.4414e-009 2.9984e-008 6.4320e-009 9.2232e-010 4.1840e-009 1.1288e-009 4.0009e-010 1.4213e-009 1.0325e-009 4.9083e-010 2.5239e-010 1.9156e-010 1.3806e-010 9.2402e-011 5.7853e-011
           9 7.1145e-008 1.9989e-006 3.3314e-005 3.7503e-004 2.9647e-003 1.6363e-002 6.1918e-002 1.3877e-001 1.1618e-001 4.0813e-003 4.3016e-001 2.1925e-001 9.8855e-003 1.0237e-005 3.9598e-006 8.3741e-008 6.6920e-009 1.9743e-008 1.8302e-009 4.4705e-010 1.9640e-009 1.3072e-009 5.1771e-011 5.3437e-011 8.9916e-011 7.0552e-011 6.8725e-011 5.9518e-011 4.5303e-011 3.0866e-011
