   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79
           0 9.9547e-001 4.4695e-003 5.9777e-005 1.2397e-006 1.4861e-045 8.9188e-043 9.4447e-030 1.3328e-039 7.3492e-039 2.9484e-037 1.7171e-035 2.1765e-033 3.5848e-021 1.0956e-031 5.8759e-032 8.2010e-035 1.4539e-029 3.4366e-027 1.1650e-014 2.3188e-025 3.0392e-025 1.8223e-024 1.8980e-023 4.6845e-022 2.2927e-010 1.6035e-020 2.7294e-021 2.3997e-021 3.8102e-022 8.6412e-020 3.1155e-010 4.1004e-016 1.2540e-017 2.9097e-017 1.2417e-016 9.5659e-016 5.9862e-014 7.3247e-010 1.8720e-014 9.5551e-015 1.1289e-014 1.8949e-014 4.5991e-014 8.3929e-013 1.0469e-014 1.1313e-013 3.7299e-013 1.4119e-012 7.7698e-012 7.8142e-011 1.6619e-010 5.0503e-011 2.7994e-011 2.6551e-011 3.3390e-011 4.8254e-011 6.6634e-011 6.9614e-011 5.1967e-011 3.2941e-011 2.0573e-011 1.3051e-011 8.1010e-012 4.5277e-012 1.9093e-012 3.2591e-013 8.3506e-014 1.2883e-012 3.6311e-012 6.6839e-012 1.0172e-011 1.3882e-011 1.7786e-011 2.1994e-011 2.6321e-011 3.0730e-011 3.5003e-011 3.8589e-011 4.1175e-011 4.1879e-011
           1 4.5289e-003 9.8549e-001 9.7474e-003 2.2433e-004 2.1015e-042 1.1429e-039 6.1698e-027 6.6187e-037 1.0436e-036 1.3459e-035 3.6771e-034 3.8443e-032 7.9463e-020 3.0953e-030 6.1838e-030 6.9818e-029 1.4685e-027 8.2080e-026 1.4511e-013 2.0545e-024 1.0411e-024 1.8202e-024 1.0466e-024 1.4844e-022 3.6193e-010 3.8318e-020 2.5552e-020 1.0276e-019 6.9022e-019 9.2481e-018 6.2271e-009 7.5797e-015 7.0960e-017 5.1008e-017 4.2018e-017 7.7627e-019 2.1116e-014 3.9941e-010 2.6101e-014 3.3475e-014 9.0312e-014 3.8862e-013 4.2197e-012 1.5544e-009 3.8941e-011 4.4895e-012 2.8717e-012 2.7668e-012 2.9896e-012 1.3148e-012 2.2757e-012 9.4703e-012 1.6858e-011 3.1829e-011 6.5120e-011 1.3762e-010 2.6062e-010 3.6082e-010 3.5557e-010 3.0234e-010 2.6037e-010 2.3790e-010 2.2880e-010 2.2621e-010 2.2315e-010 2.1208e-010 1.8776e-010 1.5194e-010 1.1285e-010 7.8091e-011 5.0257e-011 2.9272e-011 1.4664e-011 5.4328e-012 7.7404e-013 2.7828e-013 3.5992e-012 1.0247e-011 1.9387e-011 2.9340e-011
           2 1.1870e-006 1.0031e-002 9.7375e-001 1.5617e-002 1.0576e-040 7.4096e-038 5.2721e-025 6.2211e-035 1.4971e-034 2.8166e-033 9.1715e-032 8.0716e-030 1.2322e-017 3.8991e-028 3.9782e-028 2.3996e-027 3.2589e-026 1.5470e-024 2.8889e-012 4.4690e-023 3.6595e-023 1.7035e-022 1.5711e-021 3.7514e-020 1.8836e-008 1.3451e-018 2.6934e-019 3.7358e-019 7.1920e-019 9.0433e-019 6.3447e-010 9.8123e-016 9.1549e-017 2.7341e-016 1.1980e-015 8.3892e-015 4.2812e-013 4.8722e-009 9.4048e-014 2.4788e-014 4.4476e-015 2.8022e-014 2.1072e-012 1.5874e-009 5.2163e-011 1.2568e-011 1.6205e-011 3.5094e-011 1.2564e-010 8.9064e-010 1.5316e-009 3.3651e-010 1.1900e-010 6.4087e-011 3.6968e-011 1.4625e-011 1.2467e-013 1.6677e-011 6.2710e-011 1.1199e-010 1.6047e-010 2.1570e-010 2.8385e-010 3.6720e-010 4.6139e-010 5.5059e-010 6.0945e-010 6.1967e-010 5.8676e-010 5.3197e-010 4.7028e-010 4.0701e-010 3.4804e-010 2.9529e-010 2.4545e-010 1.9929e-010 1.5610e-010 1.1574e-010 8.0089e-011 5.0144e-011
           3 7.1705e-009 6.0691e-006 1.6414e-002 9.6083e-001 6.2094e-039 3.3308e-036 1.9680e-023 2.2144e-033 4.6986e-033 8.9335e-032 3.3185e-030 3.6119e-028 6.4524e-016 2.2218e-026 2.8168e-026 1.9414e-025 2.6304e-024 1.0660e-022 1.6804e-010 2.3238e-021 1.3716e-021 4.7974e-021 3.7196e-020 8.7034e-019 4.7993e-007 3.6270e-017 1.0143e-017 2.4666e-017 1.2280e-016 1.3997e-015 8.9957e-007 1.0956e-012 1.1173e-014 1.0846e-014 2.0906e-014 7.1907e-014 1.8021e-012 1.6848e-008 1.6450e-013 6.2727e-015 1.7699e-014 2.6587e-013 3.8405e-012 1.3776e-009 3.2415e-011 2.3861e-012 3.9523e-013 2.7720e-013 1.2662e-011 2.4399e-010 6.5849e-010 2.5365e-010 1.6822e-010 1.7605e-010 2.2947e-010 3.2674e-010 4.2566e-010 4.0187e-010 2.5560e-010 1.2538e-010 5.0940e-011 1.4012e-011 4.3497e-013 5.6226e-012 2.9726e-011 7.2274e-011 1.2670e-010 1.8002e-010 2.2139e-010 2.4889e-010 2.6465e-010 2.6973e-010 2.6763e-010 2.6112e-010 2.4857e-010 2.3123e-010 2.0886e-010 1.8096e-010 1.4975e-010 1.1634e-010
           4 9.7598e-011 7.4332e-008 2.7168e-005 2.3201e-002 1.4950e-037 1.2522e-034 8.7112e-022 1.0030e-031 2.0665e-031 3.2508e-030 9.3228e-029 8.0713e-027 1.3134e-014 4.4027e-025 5.6667e-025 4.4418e-024 7.3223e-023 3.6716e-021 6.5517e-009 9.6340e-020 6.3999e-020 2.2847e-019 1.6159e-018 3.1147e-017 1.4230e-005 1.0007e-015 2.1301e-016 4.1155e-016 1.7774e-015 1.9701e-014 1.3773e-005 1.6920e-011 2.1249e-013 2.8309e-013 8.3722e-013 5.0597e-012 2.7307e-010 3.2625e-006 8.0375e-011 4.2719e-011 6.0781e-011 1.5971e-010 1.1868e-009 3.5847e-007 8.3499e-009 8.3893e-010 5.5826e-010 7.4076e-010 1.9093e-009 1.1478e-008 1.8955e-008 4.2708e-009 1.8049e-009 1.4188e-009 1.5815e-009 2.1216e-009 2.7972e-009 2.8293e-009 2.0511e-009 1.2551e-009 7.4417e-010 4.3373e-010 2.3176e-010 9.5421e-011 1.6135e-011 4.6476e-012 7.1766e-011 2.0637e-010 3.7608e-010 5.5292e-010 7.2235e-010 8.7282e-010 1.0042e-009 1.1211e-009 1.2121e-009 1.2758e-009 1.3042e-009 1.2829e-009 1.2130e-009 1.0861e-009
           5 1.2464e-008 1.2344e-009 3.7853e-007 1.2176e-004 2.0538e-036 3.6541e-034 2.6146e-023 9.2721e-033 1.0935e-030 5.5876e-029 2.8611e-027 3.0803e-025 4.9136e-013 1.5571e-023 1.4848e-023 7.7043e-023 8.6335e-022 3.4416e-020 5.9325e-008 8.8848e-019 6.9538e-019 3.2435e-018 3.0967e-017 7.9195e-016 4.3184e-004 3.2056e-014 7.9386e-015 1.6139e-014 6.5677e-014 6.1887e-013 3.4605e-004 4.1865e-010 3.9952e-012 4.0804e-012 9.6966e-012 5.0621e-011 2.5614e-009 3.0492e-005 7.6376e-010 4.3868e-010 7.0800e-010 2.1804e-009 1.9341e-008 6.6285e-006 1.6363e-007 1.9570e-008 1.5191e-008 2.2729e-008 6.3169e-008 3.9035e-007 6.4405e-007 1.4193e-007 5.6937e-008 4.1940e-008 4.4123e-008 5.7184e-008 7.5256e-008 7.8826e-008 6.1896e-008 4.3580e-008 3.2200e-008 2.6058e-008 2.2795e-008 2.0946e-008 1.9547e-008 1.7843e-008 1.5389e-008 1.2316e-008 9.2101e-009 6.5716e-009 4.5201e-009 2.9851e-009 1.8909e-009 1.1329e-009 6.1458e-010 2.8309e-010 9.2743e-011 1.0246e-011 5.5978e-012 4.7658e-011
           6 1.7650e-009 2.5489e-008 5.2886e-009 1.9526e-006 3.3372e-034 3.9461e-032 5.6388e-025 2.2116e-030 8.0044e-029 2.1942e-027 4.7623e-026 9.6033e-025 1.4084e-014 8.0053e-024 1.6247e-022 2.4833e-021 4.4630e-020 1.7955e-018 2.5054e-006 3.1154e-017 1.2129e-017 2.4532e-017 1.1174e-016 1.9592e-015 1.0933e-003 8.6211e-014 3.1268e-014 1.0242e-013 6.6145e-013 9.3165e-012 7.0854e-003 8.7153e-009 1.0519e-010 1.2311e-010 3.0227e-010 1.4751e-009 6.4105e-008 7.2645e-004 1.5480e-008 7.0079e-009 8.9571e-009 2.2525e-008 1.7105e-007 5.4313e-005 1.3054e-006 1.4831e-007 1.1391e-007 1.7355e-007 4.9891e-007 3.1926e-006 5.3783e-006 1.2179e-006 5.0108e-007 3.7438e-007 3.9499e-007 5.0906e-007 6.6352e-007 6.8821e-007 5.3651e-007 3.7717e-007 2.8075e-007 2.3140e-007 2.0863e-007 1.9992e-007 1.9681e-007 1.9170e-007 1.7850e-007 1.5618e-007 1.2947e-007 1.0411e-007 8.2411e-008 6.4349e-008 4.9969e-008 3.8702e-008 2.9510e-008 2.2095e-008 1.6059e-008 1.1145e-008 7.3149e-009 4.4406e-009
           7 1.8591e-011 4.3761e-009 4.6828e-008 1.0373e-009 1.2211e-030 1.0719e-028 1.2832e-026 4.3570e-027 1.1531e-025 2.2404e-024 3.3237e-023 4.0616e-022 1.3369e-015 4.1678e-021 3.6876e-020 2.8734e-019 2.0508e-018 1.3975e-017 3.9871e-008 6.5917e-017 4.4627e-016 2.8062e-015 2.0799e-014 3.0136e-013 9.1610e-002 5.3323e-012 4.3260e-013 1.9399e-013 1.1216e-013 4.8532e-013 1.3192e-003 1.7783e-009 8.2410e-011 2.5068e-010 1.2386e-009 1.0316e-008 6.8140e-007 8.4608e-003 2.2847e-007 1.3274e-007 2.0210e-007 5.6318e-007 4.4246e-006 1.3866e-003 3.2825e-005 3.4432e-006 2.3442e-006 3.0730e-006 7.4581e-006 4.0488e-005 6.1367e-005 1.1825e-005 3.9436e-006 2.3529e-006 1.9707e-006 2.0230e-006 2.1291e-006 1.8153e-006 1.1813e-006 7.0848e-007 4.6652e-007 3.5639e-007 3.1279e-007 3.0525e-007 3.1789e-007 3.3767e-007 3.5121e-007 3.4979e-007 3.3519e-007 3.1579e-007 2.9681e-007 2.7887e-007 2.6407e-007 2.5328e-007 2.4346e-007 2.3454e-007 2.2500e-007 2.1248e-007 1.9703e-007 1.7653e-007
           8 2.0176e-009 1.9519e-010 1.1659e-009 1.3608e-010 2.6440e-028 2.1425e-026 5.2866e-025 8.0229e-025 1.9504e-023 3.4661e-022 4.6841e-021 5.1897e-020 2.5594e-018 4.7394e-019 3.7438e-018 2.5575e-017 1.5608e-016 8.4984e-016 1.7196e-008 4.3431e-015 1.9848e-014 8.5196e-014 3.4851e-013 1.3820e-012 2.2189e-004 4.5084e-012 1.8757e-011 7.5498e-011 3.5408e-010 2.7623e-009 9.7857e-001 1.1394e-006 4.5124e-009 9.8342e-010 3.2477e-011 1.3213e-009 6.8652e-008 5.5965e-004 1.3561e-011 2.5123e-008 1.7695e-007 1.1805e-006 1.6668e-005 7.0895e-003 1.8941e-004 2.7224e-005 2.3686e-005 3.7813e-005 1.0812e-004 6.6873e-004 1.0927e-003 2.3415e-004 8.8660e-005 5.9905e-005 5.6247e-005 6.3540e-005 7.1632e-005 6.3328e-005 4.1077e-005 2.3280e-005 1.3549e-005 8.5104e-006 5.7296e-006 4.0388e-006 2.8953e-006 2.0431e-006 1.3796e-006 8.8379e-007 5.4835e-007 3.4260e-007 2.2288e-007 1.5462e-007 1.1743e-007 9.8796e-008 9.0780e-008 8.9899e-008 9.3632e-008 9.9576e-008 1.0620e-007 1.1035e-007
           9 4.6294e-010 5.2155e-009 1.0142e-009 3.7314e-010 1.0546e-025 7.6832e-024 1.9377e-022 2.5868e-022 5.6493e-021 9.0012e-020 1.0897e-018 1.0792e-017 2.9067e-017 8.7962e-017 6.1845e-016 3.7503e-015 2.0246e-014 9.7409e-014 8.0583e-010 4.2524e-013 1.7000e-012 6.2490e-012 2.1455e-011 6.8426e-011 8.2625e-004 2.1701e-010 6.1265e-010 1.6892e-009 4.5233e-009 1.1781e-008 3.4982e-004 3.8701e-008 8.3026e-008 2.2891e-007 7.1946e-007 3.2409e-006 9.8851e-005 9.7686e-001 1.2170e-005 1.6757e-006 1.3714e-007 4.6825e-007 1.3012e-005 4.3784e-003 9.2978e-005 3.1547e-006 2.1997e-007 1.1577e-005 1.0631e-004 1.2278e-003 2.6586e-003 7.8717e-004 4.0115e-004 3.3866e-004 3.7565e-004 4.8274e-004 6.0486e-004 5.8825e-004 4.2092e-004 2.6634e-004 1.7593e-004 1.2769e-004 1.0113e-004 8.5201e-005 7.3946e-005 6.3708e-005 5.2640e-005 4.0988e-005 3.0319e-005 2.1800e-005 1.5450e-005 1.0815e-005 7.5406e-006 5.2514e-006 3.6060e-006 2.4371e-006 1.6032e-006 1.0115e-006 6.0797e-007 3.4225e-007
