   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
          10 4.9722e-009 5.9164e-009 3.5590e-009 4.5171e-006 1.1597e-004 6.7739e-004 7.8715e-002 3.9714e-001 1.1909e-001 7.1743e-002 1.8219e-003 2.8247e-002 5.1096e-002 2.8969e-002 4.2502e-003 1.6066e-003 1.4248e-002 2.7909e-002 3.4955e-002 3.4710e-002 2.9918e-002 2.3473e-002 1.7201e-002 1.1971e-002 8.0229e-003 5.2357e-003 3.3502e-003 2.1102e-003 1.3125e-003 8.0972e-004 4.9782e-004 3.0608e-004 1.8843e-004 1.1611e-004 7.1612e-005 4.4257e-005 2.7463e-005 1.7122e-005 1.0671e-005 6.5206e-006 3.6595e-006 1.5006e-006 4.4127e-007
          11 2.8429e-009 7.7424e-009 4.7540e-011 1.8321e-007 3.4816e-006 3.8691e-004 4.8911e-005 6.1063e-002 4.2447e-001 1.6085e-001 5.0513e-002 3.5377e-003 2.1242e-002 4.3848e-002 2.9892e-002 7.1217e-003 1.3565e-004 7.9833e-003 1.9961e-002 2.8182e-002 3.0408e-002 2.8070e-002 2.3361e-002 1.8038e-002 1.3195e-002 9.2878e-003 6.3486e-003 4.2373e-003 2.7766e-003 1.7979e-003 1.1570e-003 7.4210e-004 4.7470e-004 3.0285e-004 1.9298e-004 1.2312e-004 7.8831e-005 5.0619e-005 3.2371e-005 2.0187e-005 1.1493e-005 4.7505e-006 1.4010e-006
          12 3.2082e-009 1.7440e-011 5.2061e-009 1.0128e-008 1.1776e-006 7.2532e-007 6.6402e-004 2.8947e-003 3.0092e-002 4.2521e-001 2.4345e-001 2.3260e-002 5.0044e-003 1.9016e-002 3.6615e-002 2.8255e-002 8.4717e-003 3.7573e-005 4.4989e-003 1.4229e-002 2.2191e-002 2.5725e-002 2.5177e-002 2.1982e-002 1.7739e-002 1.3555e-002 9.9409e-003 7.0563e-003 4.8880e-003 3.3299e-003 2.2417e-003 1.4944e-003 9.8854e-004 6.5094e-004 4.2844e-004 2.8262e-004 1.8685e-004 1.2337e-004 8.0669e-005 5.1144e-005 2.9454e-005 1.2256e-005 3.6232e-006
          13 2.5226e-009 3.3115e-009 8.7946e-011 1.7079e-008 1.6821e-007 2.3281e-006 4.9704e-005 4.6908e-004 1.0839e-002 2.7036e-003 3.6480e-001 3.6776e-001 1.7215e-003 8.3420e-003 2.2393e-002 2.9063e-002 2.5535e-002 8.1658e-003 2.2664e-004 2.7578e-003 1.0437e-002 1.7508e-002 2.1425e-002 2.1840e-002 1.9815e-002 1.6627e-002 1.3157e-002 9.9574e-003 7.3018e-003 5.2330e-003 3.6812e-003 2.5514e-003 1.7509e-003 1.1951e-003 8.1309e-004 5.5154e-004 3.7277e-004 2.5061e-004 1.6656e-004 1.0725e-004 6.2606e-005 2.6283e-005 7.7968e-006
          14 1.0797e-010 1.8759e-010 1.0031e-009 2.3977e-009 6.9855e-009 9.7380e-007 1.8613e-007 2.2253e-004 3.2339e-006 1.7882e-002 1.2302e-002 2.1929e-001 4.9397e-001 1.3132e-002 1.9542e-002 3.6357e-002 1.8858e-002 2.3524e-002 6.2232e-003 2.9062e-004 2.0286e-003 8.0161e-003 1.3961e-002 1.7608e-002 1.8388e-002 1.7180e-002 1.4807e-002 1.2004e-002 9.3358e-003 7.0427e-003 5.1766e-003 3.7306e-003 2.6557e-003 1.8748e-003 1.3132e-003 9.1291e-004 6.3080e-004 4.3322e-004 2.9381e-004 1.9252e-004 1.1384e-004 4.8149e-005 1.4321e-005
          15 1.6607e-009 8.2008e-010 6.0702e-013 2.1811e-009 1.5840e-008 5.4747e-008 1.7696e-006 1.9024e-005 3.0613e-004 2.1229e-003 1.1370e-002 7.7471e-002 4.4305e-002 5.0027e-001 8.2065e-002 5.1284e-002 7.6861e-002 5.2678e-003 2.6211e-002 2.6970e-003 3.1271e-004 2.0764e-003 6.4758e-003 1.1522e-002 1.4433e-002 1.5189e-002 1.4464e-002 1.2605e-002 1.0412e-002 8.2877e-003 6.3605e-003 4.7569e-003 3.5089e-003 2.5567e-003 1.8373e-003 1.3066e-003 9.2404e-004 6.4944e-004 4.4923e-004 2.9863e-004 1.7824e-004 7.5763e-005 2.2574e-005
          16 1.1090e-009 8.7190e-010 3.3218e-010 1.2938e-009 2.9400e-011 3.7239e-009 6.3494e-007 3.9776e-009 1.3716e-004 4.6373e-007 7.9047e-003 6.9595e-005 1.2607e-001 2.0774e-002 2.7539e-001 1.4923e-001 1.0332e-001 1.6798e-001 2.6174e-003 4.4733e-002 1.1219e-004 1.0776e-003 3.7207e-003 4.6842e-003 1.0279e-002 1.1296e-002 1.2419e-002 1.1538e-002 1.0209e-002 8.5326e-003 6.8147e-003 5.3220e-003 4.0475e-003 3.0176e-003 2.2289e-003 1.6294e-003 1.1758e-003 8.3810e-004 5.8728e-004 3.9554e-004 2.3874e-004 1.0219e-004 3.0527e-005
          17 1.7121e-010 1.2795e-010 1.7300e-010 1.8884e-011 2.0601e-009 3.4413e-009 1.3572e-007 9.7256e-007 2.6852e-005 1.3949e-004 1.6244e-003 5.5523e-003 3.2928e-002 4.7295e-002 1.8850e-001 1.8931e-002 7.6275e-002 9.1337e-002 2.6183e-001 4.9019e-002 1.0550e-001 2.0711e-002 1.0223e-002 1.4098e-002 9.4156e-004 1.2750e-002 6.7866e-003 1.0915e-002 8.1313e-003 8.0602e-003 6.3421e-003 5.2203e-003 4.0974e-003 3.0993e-003 2.3660e-003 1.7617e-003 1.2836e-003 9.3282e-004 6.6699e-004 4.5398e-004 2.7498e-004 1.1788e-004 3.5237e-005
          18 5.3440e-012 1.3505e-011 9.1815e-012 5.7147e-010 1.1061e-009 1.0742e-010 2.7408e-008 6.7708e-007 3.1356e-006 1.1134e-004 1.4873e-004 4.8735e-003 2.2776e-003 6.1951e-002 1.6721e-002 1.4605e-001 4.6809e-002 1.6328e-003 5.7168e-004 1.4197e-001 7.5877e-002 1.7027e-001 1.0514e-001 6.3046e-002 7.0420e-002 8.2316e-003 3.6451e-002 2.4631e-005 1.7702e-002 2.0326e-003 8.7387e-003 2.8678e-003 4.4591e-003 2.3391e-003 2.3182e-003 1.5399e-003 1.1976e-003 8.9754e-004 6.2074e-004 4.2692e-004 2.6612e-004 1.1572e-004 3.4714e-005
          19 7.3107e-011 8.7464e-011 7.1526e-012 5.5382e-010 1.3516e-010 9.1312e-011 6.0298e-009 2.8057e-007 1.9038e-007 5.0814e-005 1.4292e-006 2.2254e-003 4.5480e-005 3.0805e-002 9.1812e-004 1.0489e-001 2.7635e-004 1.8990e-002 2.4761e-002 8.3438e-002 1.2582e-003 1.8254e-004 3.2675e-002 7.3592e-002 8.1487e-002 1.4824e-001 7.1834e-002 1.3027e-001 3.7575e-002 7.7688e-002 1.3394e-002 3.6893e-002 3.1707e-003 1.5089e-002 3.4867e-004 5.5549e-003 3.1875e-006 1.8714e-003 1.1914e-004 5.3616e-004 1.6108e-004 7.5460e-005 2.4137e-005
          20 4.3922e-011 4.7860e-011 8.4200e-012 1.8343e-010 1.8597e-012 7.0689e-011 1.0724e-009 6.9598e-008 2.5144e-009 1.3107e-005 1.2263e-006 5.6340e-004 1.8218e-004 7.8236e-003 2.4161e-003 2.9450e-002 1.9108e-003 1.1919e-002 7.7254e-003 1.2766e-002 3.9846e-003 4.9964e-003 2.5142e-002 2.3145e-002 1.0233e-002 7.5892e-003 1.5754e-003 1.6553e-003 3.1265e-002 2.4438e-002 7.1649e-002 5.2759e-002 9.4798e-002 6.8184e-002 9.6891e-002 6.9663e-002 8.6797e-002 6.3656e-002 7.2121e-002 5.1764e-002 4.5985e-002 1.5535e-002 2.1846e-004
