   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28
           0 9.9556e-001 4.4299e-003 8.7670e-006 1.3841e-007 7.0351e-009 7.3877e-009 5.4705e-010 3.3022e-009 3.3924e-011 9.6600e-010 6.0434e-011 2.6698e-010 3.7744e-011 2.6045e-010 2.2394e-011 9.2980e-011 1.8217e-010 5.9621e-011 3.3534e-013 3.7189e-011 5.8531e-011 4.2557e-011 1.9667e-011 6.4893e-012 1.6683e-012 3.9239e-013 1.0596e-013 3.5259e-014 1.3243e-014
           1 4.4239e-003 9.8519e-001 1.0361e-002 2.9172e-005 6.2513e-007 2.7267e-008 3.5060e-008 1.0074e-008 1.6941e-008 9.1652e-011 5.0403e-009 2.7856e-010 2.3994e-009 2.7687e-011 1.7809e-009 5.7214e-010 1.6864e-010 9.9561e-010 6.6852e-010 8.0355e-011 3.7925e-011 2.0098e-010 2.4879e-010 1.8905e-010 1.0968e-010 5.3778e-011 2.5143e-011 1.1887e-011 5.4372e-012
           2 1.5122e-005 1.0314e-002 9.7169e-001 1.7914e-002 6.3775e-005 1.3673e-006 1.1476e-007 4.1842e-008 1.2033e-009 1.6292e-008 3.2001e-010 9.9654e-010 2.0263e-009 6.8295e-010 7.8122e-010 9.9215e-010 2.4858e-013 5.1204e-010 4.1043e-010 2.7610e-011 6.5531e-011 1.9943e-010 1.9739e-010 1.2441e-010 6.1446e-011 2.6810e-011 1.1698e-011 5.3301e-012 2.3934e-012
           3 2.3678e-008 7.1451e-005 1.7724e-002 9.5479e-001 2.7290e-002 1.1788e-004 2.4708e-006 2.7349e-007 4.8322e-008 8.6913e-009 3.1599e-009 3.9407e-010 5.5208e-010 1.2671e-010 1.4685e-012 4.9872e-013 9.3368e-013 3.1986e-012 2.4512e-011 2.8304e-011 1.2361e-011 1.8743e-012 7.4226e-015 5.3043e-013 6.8804e-013 4.6968e-013 2.5468e-013 1.2902e-013 6.0956e-014
           4 5.6932e-008 2.9784e-009 2.1346e-004 2.6758e-002 9.3417e-001 3.8662e-002 1.9660e-004 4.1455e-006 4.3970e-007 1.2950e-007 4.0600e-009 2.9314e-008 3.0757e-010 2.7588e-013 3.9617e-009 2.7423e-010 1.0416e-009 4.5881e-010 1.0954e-010 5.6314e-010 2.6781e-010 7.9272e-012 4.6585e-011 1.0939e-010 9.9183e-011 5.9941e-011 3.0902e-011 1.5303e-011 7.1541e-012
           5 1.1827e-009 2.2438e-007 2.3124e-007 5.0165e-004 3.7442e-002 9.0959e-001 5.2147e-002 3.0593e-004 6.5649e-006 6.9396e-007 2.0366e-007 1.4115e-008 4.1065e-008 5.6633e-011 1.1891e-010 5.0095e-009 4.4425e-010 7.5294e-010 3.0650e-010 1.5388e-010 6.7504e-010 4.4821e-010 1.0174e-010 2.0535e-012 6.9356e-012 1.1621e-011 8.3894e-012 4.7833e-012 2.3816e-012
           6 1.2352e-008 1.2230e-008 3.5194e-007 2.8066e-006 1.0231e-003 4.9698e-002 8.8099e-001 6.7821e-002 4.5069e-004 1.0002e-005 1.0325e-006 2.6764e-007 4.9666e-008 3.9327e-008 1.1812e-009 2.4524e-009 3.6035e-009 1.9052e-010 8.3902e-011 6.7734e-012 2.9421e-010 3.7661e-010 1.8330e-010 4.6851e-011 6.5313e-012 4.1929e-013 7.2490e-016 1.5765e-014 1.7475e-014
           7 1.3778e-010 3.6214e-008 1.3522e-007 5.4788e-007 1.2847e-005 1.8837e-003 6.3334e-002 8.4835e-001 8.5774e-002 6.3342e-004 1.5183e-005 1.3701e-006 4.6509e-007 3.9599e-008 1.1706e-007 1.7191e-009 2.5284e-010 1.1754e-008 4.9238e-009 8.5351e-011 1.1523e-009 2.2726e-010 7.4697e-011 4.0792e-010 4.3477e-010 2.7518e-010 1.4388e-010 7.1596e-011 3.3533e-011
           8 5.2215e-010 5.0908e-010 3.3931e-008 1.8511e-007 3.4163e-007 4.1880e-005 3.2142e-003 7.8097e-002 8.1174e-001 1.0602e-001 8.5538e-004 2.2968e-005 1.9257e-006 6.0626e-007 8.8292e-008 1.4277e-007 7.2196e-009 2.5022e-009 1.4057e-008 6.7060e-009 1.1404e-010 3.9539e-010 2.2852e-010 4.5473e-012 3.0877e-011 5.1206e-011 3.7247e-011 2.1327e-011 1.0641e-011
           9 3.7030e-010 4.9355e-010 6.8149e-009 1.7927e-007 4.2260e-007 3.2524e-008 1.1084e-004 5.1657e-003 9.3596e-002 7.7149e-001 1.2850e-001 1.1096e-003 3.5096e-005 2.6874e-006 7.7742e-007 1.4666e-007 1.9267e-007 1.7673e-008 5.1572e-009 1.7898e-008 1.2582e-008 2.2106e-009 1.9657e-011 6.9661e-011 5.8159e-011 2.1794e-011 7.4330e-012 2.8116e-012 1.1309e-012
