   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
           0 1.9794e-003 1.5789e-002 5.8131e-002 1.3146e-001 2.0367e-001 2.2730e-001 1.8626e-001 1.1168e-001 4.7654e-002 1.3565e-002 2.2397e-003 1.4919e-004 3.9882e-007 3.8952e-007 1.1350e-008 3.6542e-011 2.3936e-009 2.6234e-010
           1 7.9583e-003 4.6694e-002 1.1294e-001 1.3662e-001 7.0276e-002 1.6478e-003 4.7615e-002 1.6447e-001 2.0778e-001 1.4123e-001 5.3094e-002 9.3767e-003 4.0327e-004 5.6305e-006 9.8477e-007 1.8509e-007 3.6262e-008 2.6168e-009
           2 1.8284e-002 7.7452e-002 1.1366e-001 5.1332e-002 5.1034e-004 6.7468e-002 1.0036e-001 1.9077e-002 2.9143e-002 1.7514e-001 2.1958e-001 1.0947e-001 1.8357e-002 1.8062e-004 8.6401e-005 2.6816e-006 4.1024e-009 9.1193e-009
           3 3.1535e-002 9.3984e-002 7.2493e-002 1.6994e-003 4.5882e-002 7.4354e-002 4.5634e-003 4.8257e-002 9.4804e-002 6.3775e-003 8.6631e-002 2.5615e-001 1.6323e-001 1.9590e-002 3.0747e-004 8.4243e-005 4.4036e-005 3.3191e-006
           4 4.5395e-002 9.1862e-002 2.7260e-002 1.2905e-002 6.8390e-002 1.3020e-002 2.9431e-002 6.8115e-002 6.3732e-004 7.3446e-002 5.6517e-002 2.8265e-002 2.7864e-001 1.9578e-001 6.4660e-003 3.3283e-003 3.2179e-004 1.0943e-005
           5 5.7681e-002 7.5400e-002 2.8520e-003 4.2301e-002 3.9406e-002 4.6591e-003 6.0344e-002 6.7060e-003 4.4814e-002 4.1849e-002 1.8385e-002 8.6473e-002 9.3863e-003 3.2992e-001 1.7110e-001 3.6879e-003 7.9765e-004 1.4886e-004
           6 6.6910e-002 5.2528e-002 2.1270e-003 5.4128e-002 6.9014e-003 3.4630e-002 2.9772e-002 1.2996e-002 5.0894e-002 1.8034e-003 6.5180e-002 1.1521e-005 8.2207e-002 1.3463e-002 4.2396e-001 5.2647e-002 3.0836e-002 2.0263e-003
           7 7.2435e-002 3.0454e-002 1.5083e-002 4.3389e-002 1.2384e-003 4.6645e-002 1.2196e-003 4.3708e-002 7.3774e-003 4.1052e-002 1.1961e-002 4.7605e-002 6.3196e-003 6.0615e-002 6.5037e-002 4.2738e-001 2.3851e-002 1.2431e-004
           8 7.4332e-002 1.3652e-002 2.9996e-002 2.3028e-002 1.5856e-002 3.0547e-002 8.5433e-003 3.5839e-002 5.7706e-003 3.8642e-002 8.1478e-003 3.5162e-002 2.4256e-002 1.2355e-002 2.5275e-002 2.5243e-001 7.7562e-002 1.4137e-002
           9 7.3123e-002 3.6964e-003 3.9414e-002 6.5560e-003 3.1376e-002 8.8728e-003 2.8548e-002 9.4926e-003 3.0067e-002 6.6287e-003 3.6780e-002 5.3264e-004 4.1133e-002 1.2219e-002 1.4214e-002 2.7620e-003 2.9362e-001 2.0072e-002
          10 6.9546e-002 8.9023e-005 4.1091e-002 9.5958e-005 3.6002e-002 1.8755e-005 3.4695e-002 1.7369e-004 3.3963e-002 2.7791e-003 2.8468e-002 1.5264e-002 8.9591e-003 3.4621e-002 1.1152e-002 3.1363e-002 9.8368e-002 3.3720e-004
          11 6.4379e-002 1.2606e-003 3.6351e-002 2.7804e-003 2.9466e-002 5.4158e-003 2.4271e-002 1.0665e-002 1.6651e-002 2.0581e-002 4.8864e-003 3.1311e-002 2.4430e-003 1.4856e-002 2.4770e-002 3.1639e-002 1.1041e-001 1.4724e-005
          12 5.8310e-002 5.3701e-003 2.7991e-002 1.0366e-002 1.7741e-002 1.6476e-002 9.3514e-003 2.3747e-002 1.8426e-003 2.8753e-002 1.7220e-003 1.9404e-002 2.0135e-002 6.3497e-008 1.4113e-002 7.8250e-003 1.5272e-001 7.9481e-004
          13 5.1891e-002 1.0786e-002 1.8771e-002 1.8464e-002 7.0962e-003 2.4605e-002 7.6911e-004 2.6801e-002 1.7903e-003 1.9553e-002 1.4714e-002 2.6867e-003 2.4002e-002 1.0149e-002 2.3731e-004 1.3248e-002 2.1573e-002 1.6784e-002
