   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42
           0 5.1586e-001 2.8392e-001 1.2889e-001 4.9321e-002 1.5756e-002 4.4874e-003 1.2456e-003 3.6214e-004 1.1284e-004 3.5651e-005 9.9911e-006 2.0463e-006 2.2748e-007 7.6456e-009 1.1270e-009 1.1343e-008 2.9014e-008 3.0481e-008 1.6475e-008 3.9956e-009 4.0860e-011 8.6733e-010 1.9766e-009 2.0351e-009 1.4837e-009 8.7105e-010 4.1146e-010 1.2797e-010 6.3083e-012 3.6316e-011 1.9078e-010 4.0436e-010 5.8664e-010 6.6275e-010 6.0951e-010 4.6058e-010 2.8092e-010 1.3044e-010 3.9364e-011 4.2193e-012 4.1355e-013 1.9928e-012 9.6557e-013
           1 4.5986e-001 1.9149e-001 1.4889e-001 9.1794e-002 6.0717e-002 3.1358e-002 1.1537e-002 3.1586e-003 7.6224e-004 2.2663e-004 1.0475e-004 6.0347e-005 3.0254e-005 1.0071e-005 1.3862e-006 2.0949e-008 5.2415e-007 5.2627e-007 1.7033e-007 7.0049e-010 7.7231e-008 1.9110e-007 2.0741e-007 1.3837e-007 5.5349e-008 7.6535e-009 1.7410e-009 1.8489e-008 3.6081e-008 4.2541e-008 3.6976e-008 2.4832e-008 1.2489e-008 3.9873e-009 3.2750e-010 3.7145e-010 2.1984e-009 4.1330e-009 5.1939e-009 5.0662e-009 3.8342e-009 1.8431e-009 5.7261e-010
           2 1.8596e-002 4.9219e-001 1.0616e-001 1.8903e-001 9.1925e-002 4.7488e-002 2.9127e-002 1.6130e-002 6.7447e-003 2.0163e-003 4.3613e-004 8.0667e-005 2.3676e-005 1.8065e-005 1.8683e-005 1.4913e-005 7.6066e-006 1.9600e-006 4.5194e-008 3.1621e-007 7.8750e-007 7.3404e-007 3.7431e-007 8.1007e-008 7.4998e-010 7.0775e-008 1.6571e-007 2.0389e-007 1.7371e-007 1.0768e-007 4.5090e-008 8.5796e-009 1.9363e-010 9.4356e-009 2.3470e-008 3.3516e-008 3.6407e-008 3.3073e-008 2.6172e-008 1.8251e-008 1.0827e-008 4.4958e-009 1.3226e-009
           3 4.5868e-003 2.8656e-002 4.9361e-001 9.3401e-003 1.6639e-001 1.3517e-001 7.3825e-002 4.1783e-002 2.4699e-002 1.3260e-002 5.8657e-003 2.0458e-003 5.5564e-004 1.2451e-004 3.0625e-005 1.4101e-005 1.2177e-005 1.1530e-005 8.8116e-006 4.8347e-006 1.6304e-006 1.7081e-007 5.9326e-008 3.9708e-007 5.7357e-007 4.6879e-007 2.4136e-007 6.3684e-008 6.2897e-010 2.4310e-008 7.6364e-008 1.1341e-007 1.2010e-007 1.0171e-007 7.1540e-008 4.1741e-008 1.9383e-008 6.3251e-009 9.2057e-010 2.4005e-011 5.5874e-010 5.6784e-010 2.1805e-010
           4 2.7417e-004 5.4105e-004 1.1114e-001 4.5685e-001 9.7394e-003 9.7085e-002 1.3473e-001 8.4311e-002 4.5947e-002 2.6977e-002 1.6393e-002 9.2120e-003 4.4001e-003 1.6964e-003 5.1177e-004 1.2044e-004 2.4608e-005 6.9626e-006 4.9778e-006 6.1621e-006 7.1798e-006 6.4377e-006 4.2113e-006 1.8606e-006 4.1675e-007 1.0558e-009 1.6189e-007 4.1540e-007 5.1617e-007 4.4474e-007 2.8698e-007 1.3362e-007 3.5449e-008 7.0156e-010 1.1206e-008 4.0842e-008 6.8286e-008 8.2206e-008 8.0500e-008 6.6542e-008 4.4978e-008 2.0252e-008 6.1434e-009
           5 6.1593e-004 2.7663e-003 7.3710e-003 1.7689e-001 3.6573e-001 5.5349e-002 3.8366e-002 1.1766e-001 9.8246e-002 5.8248e-002 3.3452e-002 2.0215e-002 1.2345e-002 7.0501e-003 3.5186e-003 1.4715e-003 5.0439e-004 1.3990e-004 3.1861e-005 7.1527e-006 2.9133e-006 3.0262e-006 4.2135e-006 4.9775e-006 4.5244e-006 3.1386e-006 1.6219e-006 5.5567e-007 7.1951e-008 1.2967e-008 1.4810e-007 2.9846e-007 3.7265e-007 3.5475e-007 2.7414e-007 1.7393e-007 8.8318e-008 3.2985e-008 6.9640e-009 1.2895e-010 8.5348e-010 1.2315e-009 5.0618e-010
           6 1.1691e-004 7.4746e-005 3.4988e-003 2.2210e-002 2.4923e-001 2.7799e-001 9.8484e-002 7.3468e-003 8.4705e-002 9.6757e-002 6.5589e-002 3.8466e-002 2.2786e-002 1.4180e-002 8.8527e-003 5.1658e-003 2.6851e-003 1.2088e-003 4.5830e-004 1.4123e-004 3.4404e-005 7.0406e-006 1.8462e-006 1.2921e-006 1.8402e-006 2.6893e-006 3.2614e-006 3.2217e-006 2.6003e-006 1.6884e-006 8.3377e-007 2.6428e-007 2.3468e-008 1.8514e-008 1.1531e-007 2.1111e-007 2.5842e-007 2.5334e-007 2.1274e-007 1.5620e-007 9.6802e-008 4.1394e-008 1.2319e-008
           7 1.3814e-005 2.9453e-004 1.0073e-006 4.1688e-003 3.6284e-002 3.0179e-001 2.2121e-001 1.1796e-001 4.1434e-007 5.3640e-002 8.5967e-002 6.8957e-002 4.3492e-002 2.5948e-002 1.6054e-002 1.0273e-002 6.4706e-003 3.8352e-003 2.0644e-003 9.7720e-004 3.9613e-004 1.3476e-004 3.7789e-005 8.6893e-006 1.8466e-006 6.5441e-007 7.1351e-007 1.2632e-006 1.9924e-006 2.4870e-006 2.4957e-006 2.0723e-006 1.4493e-006 8.5183e-007 4.0584e-007 1.3950e-007 2.2177e-008 7.5748e-010 2.2886e-008 4.8425e-008 5.3079e-008 3.0482e-008 1.0054e-008
           8 3.8877e-005 5.5652e-005 2.1363e-004 1.2669e-004 3.3348e-003 4.6525e-002 3.4401e-001 1.9757e-001 1.1361e-001 3.5794e-003 3.1603e-002 7.0910e-002 6.7205e-002 4.6278e-002 2.8531e-002 1.7590e-002 1.1221e-002 7.3034e-003 4.6621e-003 2.8028e-003 1.5429e-003 7.6242e-004 3.3130e-004 1.2349e-004 3.8383e-005 9.6987e-006 2.0400e-006 4.8231e-007 2.9082e-007 4.6468e-007 8.5895e-007 1.3258e-006 1.6646e-006 1.7482e-006 1.5789e-006 1.2508e-006 8.7948e-007 5.5132e-007 3.0744e-007 1.5125e-007 6.4086e-008 2.0626e-008 5.4418e-009
           9 1.0687e-005 1.7604e-006 9.8580e-005 1.1737e-004 5.5449e-004 1.1787e-003 4.5078e-002 3.7934e-001 2.1362e-001 9.0361e-002 9.0755e-003 1.8874e-002 5.5694e-002 6.0801e-002 4.5647e-002 2.9354e-002 1.8364e-002 1.1683e-002 7.6703e-003 5.0942e-003 3.2803e-003 1.9886e-003 1.1182e-003 5.7271e-004 2.6066e-004 1.0305e-004 3.4763e-005 9.8017e-006 2.2435e-006 4.3112e-007 1.1656e-007 1.2429e-007 2.8376e-007 5.7673e-007 9.0228e-007 1.1292e-006 1.1886e-006 1.0931e-006 8.9828e-007 6.6082e-007 4.1497e-007 1.7976e-007 5.3812e-008
