   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33
           0 8.6144e-001 1.3312e-001 5.3726e-003 6.1714e-005 1.2768e-007 8.6337e-009 1.5856e-008 1.4978e-008 1.6352e-008 1.8059e-010 6.8924e-009 7.2581e-010 2.2598e-009 3.3558e-010 1.4250e-009 9.5914e-013 9.7893e-010 4.9957e-010 3.2762e-011 5.9273e-010 5.6915e-010 1.3152e-010 4.1859e-012 1.1180e-010 1.7843e-010 1.5229e-010 9.4523e-011 4.9262e-011 2.8967e-011 2.3476e-011 1.8353e-011 1.3458e-011 9.2596e-012 6.0407e-012
           1 1.2194e-001 6.1854e-001 2.4300e-001 1.6252e-002 2.6488e-004 6.1445e-007 1.9305e-009 6.6784e-009 2.0709e-008 2.6593e-008 2.0755e-009 1.7345e-009 3.5661e-009 5.8250e-013 3.9173e-009 4.1338e-010 1.5012e-009 1.5844e-009 5.9367e-012 6.5657e-010 6.8650e-010 1.0794e-010 3.0154e-011 1.8691e-010 2.1513e-010 1.4509e-010 7.5424e-011 3.5034e-011 1.9253e-011 1.4819e-011 1.1083e-011 7.8433e-012 5.2557e-012 3.3665e-012
           2 1.4558e-002 2.0236e-001 4.2097e-001 3.2898e-001 3.2420e-002 7.0751e-004 2.3785e-006 1.7579e-010 9.8721e-009 1.1431e-008 1.6361e-008 7.8402e-009 1.4141e-011 5.0497e-009 7.0502e-010 3.1284e-009 1.0980e-011 1.1124e-009 6.8479e-011 4.7363e-010 5.8258e-010 4.2119e-011 1.3242e-010 3.9387e-010 3.7836e-010 2.2902e-010 1.1027e-010 4.8722e-011 2.5988e-011 1.9547e-011 1.4329e-011 9.9759e-012 6.6031e-012 4.1935e-012
           3 1.7862e-003 3.8181e-002 2.4629e-001 2.6636e-001 3.9201e-001 5.3855e-002 1.5154e-003 5.9038e-006 3.5640e-009 8.5147e-009 7.8462e-009 1.7105e-008 1.0932e-008 5.0029e-010 3.8022e-009 1.9201e-009 1.9825e-009 4.1856e-010 9.7823e-010 3.4472e-011 9.8422e-010 6.4062e-010 2.1522e-011 1.3730e-010 3.1977e-010 2.8388e-010 1.7065e-010 8.5775e-011 4.9197e-011 3.9068e-011 2.9990e-011 2.1662e-011 1.4735e-011 9.5362e-012
           4 2.3811e-004 6.4529e-003 6.6081e-002 2.6056e-001 1.5138e-001 4.3257e-001 7.9907e-002 2.7956e-003 1.2426e-005 1.4285e-008 6.8597e-009 7.3437e-010 4.8763e-009 6.5791e-009 1.2396e-009 3.8638e-010 1.5006e-009 4.3186e-011 6.5055e-010 4.3344e-011 4.7141e-010 6.8241e-010 1.6218e-010 1.7098e-012 6.8050e-011 8.4564e-011 5.6332e-011 2.9347e-011 1.7068e-011 1.3662e-011 1.0543e-011 7.6408e-012 5.2078e-012 3.3744e-012
           5 3.5148e-005 1.0923e-003 1.4447e-002 9.3713e-002 2.5118e-001 7.2415e-002 4.5236e-001 1.1008e-001 4.6796e-003 2.2097e-005 8.2958e-008 1.5902e-008 7.4063e-009 2.3895e-008 2.0300e-008 1.5581e-009 3.9153e-009 3.8738e-009 1.9411e-009 1.1486e-009 1.6231e-009 1.3027e-011 1.2235e-009 1.3239e-009 5.2596e-010 1.0079e-010 7.9910e-012 3.2187e-015 5.7332e-013 1.4253e-012 2.0260e-012 2.1333e-012 1.8374e-012 1.3768e-012
           6 5.6408e-006 2.0068e-004 3.0031e-003 2.5544e-002 1.1769e-001 2.2466e-001 2.4728e-002 4.5346e-001 1.4339e-001 7.2538e-003 3.5065e-005 2.6565e-007 8.9198e-009 7.2815e-011 3.1532e-009 3.8784e-009 1.0710e-009 2.6783e-011 1.5344e-009 2.9679e-013 4.3311e-010 1.8341e-011 2.0422e-010 3.0634e-010 1.3307e-010 2.7250e-011 2.7056e-012 6.0054e-014 3.4334e-014 1.6184e-013 2.7332e-013 3.0959e-013 2.7641e-013 2.1113e-013
           7 1.0407e-006 3.8116e-005 6.4798e-004 6.3791e-003 3.9034e-002 1.3518e-001 1.8732e-001 2.9959e-003 4.3882e-001 1.7899e-001 1.0580e-002 4.8444e-005 8.2756e-007 1.8077e-008 2.1724e-009 2.1038e-008 1.9795e-008 2.0532e-009 2.4585e-009 4.3294e-009 2.1179e-009 6.1457e-010 1.6917e-009 2.4637e-010 8.8894e-011 3.7406e-010 3.4728e-010 2.0743e-010 1.2860e-010 1.0742e-010 8.5685e-011 6.3649e-011 4.4139e-011 2.8930e-011
           8 2.2406e-007 7.8828e-006 1.4340e-004 1.5870e-003 1.1419e-002 5.3680e-002 1.4453e-001 1.4509e-001 1.4066e-003 4.1160e-001 2.1578e-001 1.4657e-002 5.8271e-005 2.1704e-006 9.1557e-009 1.7053e-011 1.4894e-008 1.2044e-008 1.9015e-009 1.1011e-009 3.2493e-009 1.6427e-009 1.5217e-010 8.2093e-010 2.8250e-010 7.6920e-012 1.5752e-011 2.7480e-011 2.4607e-011 2.5581e-011 2.3920e-011 1.9890e-011 1.4895e-011 1.0265e-011
           9 5.2521e-008 1.9509e-006 3.4219e-005 4.0215e-004 3.2657e-003 1.8232e-002 6.8123e-002 1.4507e-001 1.0313e-001 1.4054e-002 3.7545e-001 2.5283e-001 1.9379e-002 5.8046e-005 5.0977e-006 1.3722e-009 2.9655e-010 1.7032e-008 1.0010e-008 1.3174e-009 1.3733e-009 2.3052e-009 2.3988e-009 4.3854e-011 3.0950e-010 3.7907e-010 1.9091e-010 7.6058e-011 3.6541e-011 2.4812e-011 1.6380e-011 1.0355e-011 6.3297e-012 3.7879e-012
          10 1.4430e-008 4.9162e-007 9.2712e-006 1.0790e-004 9.3064e-004 5.8832e-003 2.6506e-002 8.0692e-002 1.3714e-001 6.5630e-002 3.5253e-002 3.3392e-001 2.8931e-001 2.4557e-002 4.1896e-005 1.1035e-005 5.9939e-009 1.8160e-010 3.8372e-008 1.4793e-008 1.8841e-010 5.7224e-009 2.7692e-010 4.1380e-009 2.1443e-009 3.0735e-010 3.3808e-012 9.7029e-012 1.6712e-011 2.2307e-011 2.3987e-011 2.1652e-011 1.7024e-011 1.2076e-011
          11 5.0625e-009 1.1280e-007 2.5449e-006 3.0993e-005 2.7552e-004 1.8792e-003 9.6372e-003 3.5831e-002 9.0033e-002 1.2203e-001 3.5547e-002 5.9876e-002 2.9045e-001 3.2455e-001 2.9819e-002 1.3102e-005 2.1883e-005 1.2081e-007 3.5777e-010 3.9664e-008 6.2354e-009 4.1980e-012 4.5871e-009 1.3136e-010 1.3467e-009 1.8127e-009 9.8807e-010 4.2129e-010 2.1304e-010 1.5163e-010 1.0499e-010 6.9372e-011 4.4003e-011 2.7081e-011
          12 1.7558e-009 3.5211e-008 6.6454e-007 9.2653e-006 8.7254e-005 6.1534e-004 3.4092e-003 1.4542e-002 4.5402e-002 9.4958e-002 1.0175e-001 1.4554e-002 8.3629e-002 2.4817e-001 3.5826e-001 3.4570e-002 3.3722e-006 3.9751e-005 7.4945e-007 3.7975e-010 1.0273e-008 3.5072e-010 1.8635e-009 3.7164e-009 3.7922e-010 1.4509e-010 4.1793e-010 3.2330e-010 2.1959e-010 1.9297e-010 1.5921e-010 1.2086e-010 8.4953e-011 5.6139e-011
          13 4.0736e-010 2.0054e-008 2.0701e-007 2.9414e-006 2.8471e-005 2.0922e-004 1.2208e-003 5.6797e-003 2.0499e-002 5.4243e-002 9.4719e-002 7.8780e-002 3.0002e-003 1.0323e-001 2.0982e-001 3.9051e-001 3.7868e-002 1.2501e-004 6.3159e-005 3.3330e-006 1.5518e-008 7.8406e-008 6.1980e-009 1.4130e-008 2.2712e-010 6.4170e-009 6.0977e-009 3.3533e-009 1.9410e-009 1.5270e-009 1.1518e-009 8.1582e-010 5.4529e-010 3.4816e-010
          14 5.0526e-011 1.1146e-008 9.2606e-008 1.0421e-006 9.5096e-006 7.3625e-005 4.5300e-004 2.2225e-003 8.7980e-003 2.7203e-002 6.1399e-002 8.9230e-002 5.5703e-002 4.8085e-005 1.1644e-001 1.7781e-001 4.2154e-001 3.8339e-002 6.3455e-004 6.7555e-005 1.4026e-005 5.1054e-007 1.7346e-007 3.7427e-008 3.6126e-009 9.6154e-009 4.5145e-009 1.5871e-009 6.9417e-010 4.3428e-010 2.6505e-010 1.5627e-010 9.0273e-011 5.1804e-011
          15 7.9784e-012 3.1741e-009 4.4209e-008 3.9771e-007 3.4988e-006 2.7229e-005 1.7242e-004 8.8941e-004 3.7444e-003 1.2789e-002 3.4109e-002 6.5873e-002 7.9093e-002 3.4911e-002 3.9279e-003 1.2197e-001 1.5441e-001 4.5121e-001 3.4919e-002 1.8647e-003 2.8055e-005 3.2306e-005 4.6534e-006 1.6652e-007 8.8481e-009 2.9785e-008 2.1289e-008 1.1057e-008 6.3772e-009 5.0626e-009 3.8755e-009 2.7895e-009 1.8911e-009 1.2207e-009
          16 1.1761e-011 1.7534e-010 1.5579e-008 1.4896e-007 1.4583e-006 1.0780e-005 6.7566e-005 3.6375e-004 1.6161e-003 5.8974e-003 1.7529e-002 4.0487e-002 6.6848e-002 6.5511e-002 1.8343e-002 1.2264e-002 1.1966e-001 1.4074e-001 4.7911e-001 2.7220e-002 4.3046e-003 3.9772e-006 3.8857e-005 1.5748e-005 3.1339e-006 5.6420e-007 1.2055e-007 3.2974e-008 1.3420e-008 8.2347e-009 5.0684e-009 3.0631e-009 1.8227e-009 1.0743e-009
          17 2.0188e-011 4.3123e-011 3.6539e-009 5.4303e-008 6.2593e-007 4.5067e-006 2.8125e-005 1.5337e-004 7.0990e-004 2.7423e-003 8.7525e-003 2.2722e-002 4.5541e-002 6.3898e-002 5.0034e-002 7.0558e-003 2.2255e-002 1.1114e-001 1.3733e-001 5.0435e-001 1.4645e-002 8.2234e-003 3.2793e-004 6.9401e-006 2.6102e-005 1.3654e-005 5.3097e-006 2.0554e-006 1.0232e-006 7.3410e-007 5.1889e-007 3.5187e-007 2.2877e-007 1.4362e-007
          18 1.5406e-011 2.3959e-011 8.8197e-010 2.2020e-008 2.5067e-007 1.9344e-006 1.2555e-005 6.7934e-005 3.1998e-004 1.2921e-003 4.3694e-003 1.2273e-002 2.7891e-002 4.8487e-002 5.7306e-002 3.4569e-002 1.1995e-003 3.1365e-002 9.7608e-002 1.4918e-001 5.1828e-001 2.0884e-003 1.1461e-002 1.9926e-003 1.4108e-004 8.3790e-007 2.6616e-006 3.0067e-006 2.2257e-006 2.0352e-006 1.7201e-006 1.3257e-006 9.4076e-007 6.2541e-007
          19 3.9323e-012 3.0175e-011 6.2512e-010 1.1432e-008 9.6004e-008 8.5221e-007 5.8254e-006 3.1694e-005 1.5023e-004 6.2014e-004 2.1996e-003 6.5640e-003 1.6268e-002 3.2390e-002 4.8579e-002 4.7822e-002 2.0955e-002 9.0608e-005 3.8541e-002 7.8110e-002 1.8384e-001 5.0307e-001 4.7821e-003 8.6538e-003 5.1033e-003 1.5150e-003 4.1355e-004 1.2702e-004 5.4846e-005 3.5144e-005 2.2458e-005 1.4003e-005 8.5376e-006 5.1215e-006
          20 2.4383e-014 1.7661e-010 8.5620e-010 7.1431e-009 4.1348e-008 3.9756e-007 2.7271e-006 1.5333e-005 7.3770e-005 3.0761e-004 1.1246e-003 3.5214e-003 9.3142e-003 2.0344e-002 3.5452e-002 4.5452e-002 3.6559e-002 1.0421e-002 2.1850e-003 4.2631e-002 5.4330e-002 2.5269e-001 4.2443e-001 4.8156e-002 1.5373e-004 3.2511e-003 2.4161e-003 1.2145e-003 6.8239e-004 5.3036e-004 3.9863e-004 2.8278e-004 1.8969e-004 1.2156e-004
          21 2.5133e-012 1.9991e-010 8.9111e-010 4.4268e-009 2.3268e-008 2.0137e-007 1.3005e-006 7.6105e-006 3.7547e-005 1.5912e-004 5.9091e-004 1.9149e-003 5.3201e-003 1.2471e-002 2.3999e-002 3.6327e-002 3.9501e-002 2.5113e-002 3.7063e-003 5.7971e-003 4.3792e-002 2.6927e-002 3.6687e-001 2.4941e-001 1.2437e-001 1.9999e-002 2.1004e-003 1.6627e-004 8.4116e-006 2.0667e-006 1.5664e-005 2.5440e-005 2.6225e-005 2.1434e-005
