   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51
           0 2.7709e-001 3.1464e-001 2.1244e-001 1.1177e-001 5.0636e-002 2.0814e-002 8.0224e-003 2.9621e-003 1.0601e-003 3.7011e-004 1.2703e-004 4.3383e-005 1.4927e-005 5.1869e-006 1.7934e-006 6.0203e-007 1.9398e-007 6.2059e-008 2.1781e-008 9.3625e-009 4.8274e-009 2.4825e-009 9.8629e-010 1.9845e-010 1.0301e-013 5.9319e-011 8.9648e-011 3.9023e-011 1.5172e-013 3.1355e-011 9.6122e-011 1.2687e-010 9.9422e-011 4.3854e-011 5.1108e-012 4.2271e-012 3.0194e-011 5.7260e-011 6.6252e-011 5.4337e-011 3.1502e-011 1.0859e-011 7.0800e-013 1.9630e-012 1.0195e-011 1.9457e-011 2.5353e-011 2.6226e-011 2.2717e-011 1.6474e-011 9.1533e-012 3.4556e-012
           1 3.7770e-001 2.4746e-002 5.0906e-002 1.5242e-001 1.5974e-001 1.1280e-001 6.4287e-002 3.2107e-002 1.4693e-002 6.3189e-003 2.5963e-003 1.0331e-003 4.0322e-004 1.5581e-004 5.9731e-005 2.2613e-005 8.4263e-006 3.1154e-006 1.1715e-006 4.6216e-007 1.9303e-007 8.2232e-008 3.3003e-008 1.1301e-008 2.9804e-009 5.7045e-010 1.1193e-010 8.4862e-011 1.8347e-010 3.3097e-010 3.9056e-010 2.9424e-010 1.2370e-010 1.2011e-011 1.4573e-011 8.3862e-011 1.3754e-010 1.3156e-010 7.9680e-011 2.4735e-011 3.1735e-013 1.2123e-011 4.3418e-011 7.1818e-011 8.3129e-011 7.5664e-011 5.6550e-011 3.5159e-011 1.8137e-011 7.6712e-012 2.5962e-012 7.1943e-013
           2 2.3637e-001 1.0895e-001 1.5588e-001 1.1436e-002 2.8754e-002 1.0069e-001 1.2230e-001 9.9250e-002 6.4597e-002 3.6569e-002 1.8816e-002 9.0461e-003 4.1453e-003 1.8366e-003 7.9386e-004 3.3638e-004 1.4027e-004 5.7919e-005 2.3897e-005 9.9322e-006 4.1625e-006 1.7432e-006 7.1892e-007 2.8940e-007 1.1499e-007 4.6999e-008 2.0999e-008 1.0630e-008 5.8791e-009 3.2070e-009 1.5152e-009 5.2647e-010 9.4417e-011 2.0182e-013 1.8796e-011 2.5485e-011 8.0407e-012 6.8304e-013 2.0639e-011 5.3122e-011 7.2767e-011 6.7336e-011 4.3603e-011 1.7674e-011 2.3533e-012 9.0263e-013 8.5505e-012 1.7743e-011 2.2694e-011 2.1070e-011 1.3597e-011 5.5035e-012
           3 8.6393e-002 2.7699e-001 3.7517e-006 1.2338e-001 8.5260e-002 3.2408e-003 2.4629e-002 7.7349e-002 9.7790e-002 8.5293e-002 6.0285e-002 3.7176e-002 2.0865e-002 1.0955e-002 5.4803e-003 2.6434e-003 1.2394e-003 5.6897e-004 2.5763e-004 1.1585e-004 5.1937e-005 2.3199e-005 1.0292e-005 4.5302e-006 1.9895e-006 8.8422e-007 4.0461e-007 1.9220e-007 9.3660e-008 4.5313e-008 2.0835e-008 8.7434e-009 3.2766e-009 1.1274e-009 4.1136e-010 2.1179e-010 1.7838e-010 1.9511e-010 2.0748e-010 1.8464e-010 1.2716e-010 6.1123e-011 1.4885e-011 5.6334e-015 9.0078e-012 2.5776e-011 3.7188e-011 3.8420e-011 3.1561e-011 2.1186e-011 1.0938e-011 3.9553e-012
           4 1.9520e-002 1.9592e-001 1.6558e-001 5.4645e-002 3.3212e-002 1.0573e-001 4.5263e-002 1.6036e-004 2.4513e-002 6.4390e-002 8.0890e-002 7.3120e-002 5.4500e-002 3.5784e-002 2.1499e-002 1.2105e-002 6.4937e-003 3.3595e-003 1.6922e-003 8.3575e-004 4.0672e-004 1.9570e-004 9.3393e-005 4.4368e-005 2.1068e-005 1.0033e-005 4.7966e-006 2.2984e-006 1.1009e-006 5.2651e-007 2.5230e-007 1.2222e-007 6.0562e-008 3.0965e-008 1.6313e-008 8.7259e-009 4.6207e-009 2.3530e-009 1.1225e-009 4.9306e-010 1.9961e-010 7.7470e-011 3.2194e-011 1.7109e-011 1.2937e-011 1.2617e-011 1.3201e-011 1.3076e-011 1.1538e-011 8.6515e-012 4.9436e-012 1.8941e-012
           5 2.6624e-003 6.6254e-002 2.5592e-001 5.1415e-002 1.1557e-001 1.1600e-005 6.5154e-002 7.7345e-002 2.1106e-002 6.1435e-004 2.5516e-002 5.6024e-002 6.8393e-002 6.2800e-002 4.8531e-002 3.3402e-002 2.1163e-002 1.2609e-002 7.1749e-003 3.9447e-003 2.1136e-003 1.1102e-003 5.7411e-004 2.9336e-004 1.4874e-004 7.5161e-005 3.7986e-005 1.9222e-005 9.7297e-006 4.9165e-006 2.4791e-006 1.2517e-006 6.3747e-007 3.3049e-007 1.7548e-007 9.5311e-008 5.2407e-008 2.8698e-008 1.5387e-008 7.9841e-009 4.0073e-009 1.9769e-009 9.9454e-010 5.3825e-010 3.2908e-010 2.2995e-010 1.7703e-010 1.4098e-010 1.0894e-010 7.6119e-011 4.2148e-011 1.5975e-011
           6 1.9638e-004 1.1613e-002 1.2873e-001 2.5107e-001 2.4810e-003 1.1992e-001 2.2113e-002 1.9392e-002 7.1694e-002 4.9280e-002 7.6121e-003 3.1106e-003 2.6663e-002 4.9873e-002 5.8621e-002 5.4061e-002 4.2832e-002 3.0559e-002 2.0198e-002 1.2609e-002 7.5438e-003 4.3715e-003 2.4713e-003 1.3694e-003 7.4679e-004 4.0268e-004 2.1579e-004 1.1540e-004 6.1693e-005 3.2947e-005 1.7539e-005 9.3009e-006 4.9278e-006 2.6263e-006 1.4205e-006 7.8476e-007 4.4283e-007 2.5321e-007 1.4475e-007 8.1537e-008 4.4824e-008 2.4026e-008 1.2702e-008 6.7902e-009 3.8010e-009 2.3000e-009 1.5209e-009 1.0761e-009 7.7567e-010 5.2683e-010 2.9030e-010 1.1024e-010
           7 5.6936e-006 9.5419e-004 2.8078e-002 1.8976e-001 2.0709e-001 8.3817e-003 8.5666e-002 5.5916e-002 4.2812e-004 4.4165e-002 6.0112e-002 2.7008e-002 1.4246e-003 6.5697e-003 2.7501e-002 4.4822e-002 5.0667e-002 4.6636e-002 3.7543e-002 2.7511e-002 1.8825e-002 1.2236e-002 7.6446e-003 4.6301e-003 2.7376e-003 1.5899e-003 9.1151e-004 5.1765e-004 2.9185e-004 1.6361e-004 9.1355e-005 5.0946e-005 2.8470e-005 1.5987e-005 9.0311e-006 5.1286e-006 2.9216e-006 1.6663e-006 9.5162e-007 5.4565e-007 3.1591e-007 1.8591e-007 1.1184e-007 6.8906e-008 4.3364e-008 2.7684e-008 1.7762e-008 1.1324e-008 7.0598e-009 4.1445e-009 2.0450e-009 7.3403e-010
           8 4.5265e-009 2.3276e-005 2.4188e-003 4.9841e-002 2.3931e-001 1.5509e-001 3.5381e-002 4.6173e-002 7.4220e-002 5.8229e-003 1.7827e-002 5.2303e-002 4.1697e-002 1.1902e-002 1.6840e-005 1.0176e-002 2.7826e-002 4.0450e-002 4.3967e-002 4.0167e-002 3.2667e-002 2.4462e-002 1.7228e-002 1.1574e-002 7.4953e-003 4.7188e-003 2.9082e-003 1.7637e-003 1.0563e-003 6.2626e-004 3.6841e-004 2.1564e-004 1.2601e-004 7.3714e-005 4.3240e-005 2.5433e-005 1.4987e-005 8.8420e-006 5.2265e-006 3.1030e-006 1.8581e-006 1.1269e-006 6.9416e-007 4.3439e-007 2.7546e-007 1.7618e-007 1.1297e-007 7.2048e-008 4.5071e-008 2.6630e-008 1.3232e-008 4.7703e-009
           9 1.5072e-008 2.8883e-008 3.9603e-005 4.1634e-003 7.2673e-002 2.7688e-001 1.1408e-001 5.9330e-002 1.8871e-002 7.4124e-002 2.0522e-002 3.3914e-003 3.5959e-002 4.5477e-002 2.3938e-002 3.4266e-003 1.4859e-003 1.3425e-002 2.7634e-002 3.6435e-002 3.8103e-002 3.4472e-002 2.8231e-002 2.1495e-002 1.5484e-002 1.0691e-002 7.1468e-003 4.6599e-003 2.9793e-003 1.8748e-003 1.1652e-003 7.1762e-004 4.3958e-004 2.6854e-004 1.6388e-004 9.9958e-005 6.0941e-005 3.7163e-005 2.2711e-005 1.3945e-005 8.6300e-006 5.3937e-006 3.4066e-006 2.1717e-006 1.3943e-006 8.9904e-007 5.8034e-007 3.7299e-007 2.3569e-007 1.4087e-007 7.0709e-008 2.5637e-008
